key	text	tooltip
#Loc;1;text/db/historical_characters.loc		
historical_characters_on_screen_name_att_bel_photius	Фотій	true
historical_characters_on_screen_name_ollam_ri_pillage	Жорстокий Оллам Рі	true
historical_characters_on_screen_name_att_bel_ioannina	Йоаніна	true
historical_characters_on_screen_name_att_bel_narses	Нарсес	true
historical_characters_on_screen_name_ollam_ri_wisdom	Мудрий Оллам Рі	true
historical_characters_on_screen_name_ollam_ri_bounty	Щедрий Оллам Рі	true
historical_characters_on_screen_name_att_hist_char_hunni_attila_the_hun	Гун Аттила	true
historical_characters_on_screen_name_ybor_wrath	Ібор, гнів Годана	true
historical_characters_on_screen_name_ollam_ri_judgement	Справедливий Оллам Рі	true
historical_characters_on_screen_name_ybor_poet	Ібор, поет Годана	true
historical_characters_on_screen_name_ollam_ri_obstinance	Непохитний Оллам Рі	true
historical_characters_on_screen_name_ybor_healer	Ібор, цілитель Годана	true
historical_characters_on_screen_name_ybor_prophet	Ібор, пророк Годана	true
historical_characters_on_screen_name_att_bel_anastasius	Анастасій	true
historical_characters_on_screen_name_att_bel_theodosius	Феодосій	true
