key	text	tooltip
#Loc;1;text/db/incidents.loc		
incidents_localised_title_att_dilemma_religious_tengri_religious_sanctions_1_FIRST	Релігійна свобода	true
incidents_localised_description_att_incident_religious_arian_emmigration_1	Аріянська віра поширюється на сусідні землі - люди масово навертаються.	true
incidents_localised_description_slav_incident_venedians_bonus	Господи, нам випала нагода. Хоча гуни поки що залишили нас у спокої, вони спустошили прилеглі регіони. Замість того, щоб окупувати територію, вони знищили її і спалили все, перш ніж йти далі. Ці території, хоч і знаходяться в безладі, зараз доступні. Ми могли б захопити ці землі собі і відродити їх. Народ віддячить нам, а від цього наша сила зросте. Вперед, мій володарю, і захопи і возвелич себе!	true
incidents_localised_title_att_subject_military_none_the_lanista_1_b	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_c	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_a	Ланіста	true
incidents_localised_title_att_subject_military_none_the_lanista_1_d	Ланіста	true
incidents_localised_title_att_incident_religious_chirstian_vandalism_religious_other	Християнський фанатизм	true
incidents_localised_description_cha_incident_verden_failure	Можливо, Ви вирізали язичників, але тим самим Ви обурили саксонський народ. Ваші образи проти їхніх язичницьких богів і підлих, язичницьких способів призвели до відкритого повстання. Ви образили й виснажили саму основу їхнього життя, те, за що вони більше не витримають. Візьміть зброю в ім’я Бога, бо сакси точно не пощадять!	true
incidents_localised_description_att_incident_religious_orthodox_emmigration_1	Грецька християнська віра поширюється на сусідні землі - люди масово навертаються.	true
incidents_localised_title_att_eos_sassanid_insult_mid	Необережна розмова	true
incidents_localised_title_att_eos_incident_marib_dam_1_fully_repaired	Побічна шкода	true
incidents_localised_description_att_incident_religious_chirstian_vandalism_religious_zoroastrian_major_burial	Наслідки Декретів Феодосія вже деякий час відчуваються в усьому християнському світі. «Язичницькі» твори були спотворені, оскільки християнське населення підбурювалося до праведного божевілля.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_C	Злочини цього чоловіка незабаром з’ясовуються, як і Ваша причетність до цього. Люди бурмочуть про твою боягузтво на вулицях - ім'я твоєї родини буде назавжди заплямовано.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_B	Чоловіка карають смертю за скоєні злочини. Усі хвалять Ваше рішення притягнути його до відповідальності.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_A	Один із Ваших людей змушує звільненого замовкнути й позбавляється його тіла. На жаль, роздутий труп невдовзі з’являється в річці. Хоча ніхто не може безпосередньо пов’язати Вас зі злочином, незабаром поширюються чутки…	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_D	Вільновідпущеник залишає Ваш дім. Незабаром поширюються чутки, що брати вбитого помстилися...	true
incidents_localised_description_cha_incident_rebels_ireland	Ірландці знають, що їхня історія довга та славна. Століттями панували самі – жити під чужим ярмом їм огидно. У відповідь на Ваші спроби панувати там вони повстали, щоб раз і назавжди звільнити Смарагдовий острів.	true
incidents_localised_description_att_subject_religious_barb_stones_i_D	Ви посилаєте людей розслідувати претензії. Коли вони прибувають, земля вже перестала тремтіти, кам'яні воїни дрімають, і все добре.	true
incidents_localised_title_att_subject_religious_zoroastrian_pilgrims_1_SECOND	Прочани	true
incidents_localised_description_att_subject_religious_barb_stones_i_A	Мудрець кладе руки на каміння й співає до пізньої ночі. Коли наступного дня сходить сонце, каміння все ще стоїть. Немає жодних ознак того, що духи мертвих воїнів вийшли зі своїх кам’яних в’язниць.	true
incidents_localised_description_att_subject_religious_barb_stones_i_B	Коли Ви прибуваєте, щоб зробити свої приношення, один із каменів падає на землю і тріскається надвоє. Люди плачуть від жаху, бо дух ворога тепер вільно бродить серед них.	true
incidents_localised_description_att_subject_religious_barb_stones_i_C	Кров просочується в землю навколо каменів, і з цього моменту більше не відбувається землетрусів. Народ хвалить Вашу швидку думку.	true
incidents_localised_title_att_subject_politics_civil_challenger_i_D	Претендент	true
incidents_localised_title_att_eos_incident_religious_event_rebellion_att_fact_axum_att_rel_semitic_paganism	Релігійне повстання!	true
incidents_localised_title_att_subject_politics_civil_challenger_i_B	Претендент	true
incidents_localised_title_att_subject_politics_civil_challenger_i_C	Претендент	true
incidents_localised_title_att_subject_politics_civil_challenger_i_A	Претендент	true
