key	text	tooltip
#Loc;1;text/db/military_force_legacy_names.loc		
military_force_legacy_names_localised_name_att_legacy_roman_east_sons_of_rheaatt_sub_cult_roman_east	Сини Реї	true
military_force_legacy_names_localised_name_cha_navy_gen_holy_seabel_sub_cult_romancha_attila	Святе море	true
military_force_legacy_names_localised_name_att_legacy_roman_east_servants_of_charonatt_sub_cult_roman_east	Слуги Харона	true
military_force_legacy_names_localised_name_att_legacy_nomadic_hunnic_husbands_of_amazonsatt_sub_cult_nomadic_hunnic	Кохані Амазонії	true
military_force_legacy_names_localised_name_cha_army_lom_spirits_enduranceatt_sub_cult_roman_eastcha_attila	Духи витримки	true
military_force_legacy_names_localised_name_att_legacy_eastern_sassanid_verethragna_furyatt_sub_cult_eastern_sassanid	Лють Веретрагни	true
military_force_legacy_names_localised_name_cha_army_mus_fists_cordobaatt_sub_cult_eastern_sassanidcha_attila	Кулаки Кордови	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_cernunos_hornsatt_sub_cult_barbarian_celtic	Роги Кернунноса	true
military_force_legacy_names_localised_name_cha_navy_avar_waterbound_survivorsatt_sub_cult_nomadic_sarmatiancha_attila	Непідвладні воді	true
military_force_legacy_names_localised_name_cha_navy_mus_cresting_wavesatt_sub_cult_eastern_sassanidcha_attila	Верхні хвилі	true
military_force_legacy_names_localised_name_att_legacy_navy_roman_east_pontos_guardiansatt_sub_cult_roman_east	Вартові Понту	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_oak_ridersatt_sub_cult_barbarian_celtic	Дубові вершники	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_germanic_north_sails_blackatt_sub_cult_barbarian_germanic_north	Почорнілі вітрила	true
military_force_legacy_names_localised_name_att_legacy_roman_east_ares_terrorsatt_sub_cult_roman_east	Терор Ареса	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_desert_desert_voicesatt_sub_cult_eastern_desert	Голоси пустелі	true
military_force_legacy_names_localised_name_att_legacy_roman_east_medusa_head_wieldersatt_sub_cult_roman_east	Володарі голови Медузи	true
military_force_legacy_names_localised_name_att_legacy_barbarian_celtic_rolling_menhirsatt_sub_cult_barbarian_celtic	Котіння Менгірів	true
military_force_legacy_names_localised_name_att_legacy_roman_west_subjugatorsatt_sub_cult_roman_west	Підкорювачі	true
military_force_legacy_names_localised_name_att_legacy_eastern_desert_stone_burnersatt_sub_cult_eastern_desert	Запечені камені	true
military_force_legacy_names_localised_name_att_legacy_nomadic_hunnic_kan_servantsatt_sub_cult_nomadic_hunnic	Слуги Хана	true
military_force_legacy_names_localised_name_cha_army_mus_lions_shahadaatt_sub_cult_eastern_sassanidcha_attila	Леви Шахади	true
military_force_legacy_names_localised_name_cha_army_lom_men_gastaldatt_sub_cult_roman_eastcha_attila	Люди Гастальда	true
military_force_legacy_names_localised_name_att_legacy_roman_east_the_cyclops_slayersatt_sub_cult_roman_east	Вбивці Циклопів	true
military_force_legacy_names_localised_name_att_legacy_nomadic_sarmatian_riders_roughatt_sub_cult_nomadic_sarmatian	Довгі вершники	true
military_force_legacy_names_localised_name_cha_army_eng_terror_wessexatt_sub_cult_barbarian_germanic_westcha_attila	Терор Вессекса	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_caucasian_champions_swellatt_sub_cult_eastern_caucasian	Чемпіони Бриж	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_celtic_sea_horsesatt_sub_cult_barbarian_celtic	Морські коники	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_caucasian_guardians_pontosatt_sub_cult_eastern_sassanid	Вартові Понту	true
military_force_legacy_names_localised_name_att_legacy_eastern_caucasian_army_immortalsatt_sub_cult_eastern_caucasian	Безсмертне полум'я	true
military_force_legacy_names_localised_name_att_legacy_navy_barbarian_eastern_sassanid_avan_deliverersatt_sub_cult_eastern_sassanid	Визволителі Авана	true
