key	text	tooltip
#Loc;1;text/db/ministerial_positions_strings.loc		
ministerial_positions_strings_on_screen_att_minister_string_barbarian_1_retainer	Кумпан	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_2_master_supplies	Майстер постачання	true
ministerial_positions_strings_on_screen_att_minister_string_sands_negus_negast_aksum	Негус Негаст	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_3_master_infantry	Майстер піхоти	true
ministerial_positions_strings_on_screen_cha_minister_royal_companion	Королівський компаньйон	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_3_judge	Суддя	true
ministerial_positions_strings_on_screen_cha_minister_royal_protector	Королівський захисник	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_great_kan	Великий хан	true
ministerial_positions_strings_on_screen_cha_minister_marshal_court	Маршал суду	true
ministerial_positions_strings_on_screen_cha_minister_courtier	Придворний	true
ministerial_positions_strings_on_screen_cha_minister_retainer	Служник	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_2_noble	Староста	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_6_high_judge	Верховний суддя	true
ministerial_positions_strings_on_screen_att_minister_string_sands_lord_of_jews_himyar	Володар євреїв	true
ministerial_positions_strings_on_screen_cha_minister_noble	Аристократ	true
ministerial_positions_strings_on_screen_cha_minister_missi_dominici	Міссі Домінічі	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_5_venerable_elder	Шанований староста	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_2_grand_despoiler	Великий руйнівник	true
ministerial_positions_strings_on_screen_cha_minister_comes	Коміт	true
ministerial_positions_strings_on_screen_cha_minister_vizier	Візир	true
ministerial_positions_strings_on_screen_att_minister_string_roman_supreme_commander	Верховний головнокомандувач	true
ministerial_positions_strings_on_screen_placeholder	[Placeholder]	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_foot	Імперський майстер піхоти	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_4_noble_companion	Шляхетний кунак	true
ministerial_positions_strings_on_screen_bel_minister_string_generic	Лідер	true
ministerial_positions_strings_on_screen_cha_minister_marshal	Маршал	true
ministerial_positions_strings_on_screen_cha_leader_duke	Герцог	true
ministerial_positions_strings_on_screen_cha_leader_emir	Емір	true
ministerial_positions_strings_on_screen_att_minister_string_sands_king_or_arabs	Цар усіх арабів	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_4_tribal_chief	Вождь племені	true
ministerial_positions_strings_on_screen_cha_minister_earldoman	Староста	true
ministerial_positions_strings_on_screen_cha_leader_king	Король	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_soldiers	Майстер воїнів	true
ministerial_positions_strings_on_screen_cha_leader_wali	Валі	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_5_master_guard	Майстер варти	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_4_master_horse	Майстер кінноти	true
ministerial_positions_strings_on_screen_att_minister_string_roman_emperor	Імператор	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_6_supreme_commander	Верховний головнокомандувач	true
ministerial_positions_strings_on_screen_cha_minister_magistrate	Магістрат	true
ministerial_positions_strings_on_screen_cha_minister_seneschal	Сенешаль	true
ministerial_positions_strings_on_screen_cha_minister_chief_justice_court	Голова Верховного Суду	true
ministerial_positions_strings_on_screen_cha_minister_master_court	Майстер суду	true
ministerial_positions_strings_on_screen_cha_minister_master_horse	Майстер коней	true
ministerial_positions_strings_on_screen_cha_minister_chamberlain	Камергер	true
ministerial_positions_strings_on_screen_cha_leader_pope	Папа Римський	true
ministerial_positions_strings_on_screen_cha_minister_gastald_lom	Гастальд	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_1_dread_rider	Вершник жаху	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_king_of_kings	Цар царів	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_offices	Магістр оффіцій	true
ministerial_positions_strings_on_screen_cha_minister_count_palace	Грап палацу	true
ministerial_positions_strings_on_screen_att_minister_string_roman_master_horse	Імператорський майстер кінноти	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_high_king	Верховний король	true
ministerial_positions_strings_on_screen_cha_leader_kagan	Каган	true
ministerial_positions_strings_on_screen_att_minister_string_roman_commander_chief	Головнокомандувач	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_6_kan	Хан	true
ministerial_positions_strings_on_screen_cha_minister_marshal_army	Маршал армії	true
ministerial_positions_strings_on_screen_cha_leader_dux	Дукс	true
ministerial_positions_strings_on_screen_att_minister_string_eastern_1_castellan	Каштелян	true
ministerial_positions_strings_on_screen_att_minister_string_roman_military_count	Військовий грап	true
ministerial_positions_strings_on_screen_att_minister_string_barbarian_5_warlord	Воєвода	true
ministerial_positions_strings_on_screen_att_minister_string_nomadic_3_glorious_subjugator	Видатний підкорювач	true
