key	text	tooltip
#Loc;1;text/db/mission_text.loc		
mission_text_text_bel_objective_expedition_3_main_heading	Розділ III: Піднесення імперії	true
mission_text_text_mis_activity_blockade_port	Блокувати дане портове поселення:	true
mission_text_text_payload_treasury	Скарбниця:	true
mission_text_text_mis_event_issuer_europeans	Емісійна держава:	true
mission_text_text_mis_activity_research_n_civil_techs	Дослідіть %n цивільних технологій.	true
mission_text_text_att_objective_culture_nomadic_1_1_heading	Володарі коней	true
mission_text_text_att_objective_culture_nomadic_2_1_heading	Королівства кочовиків	true
mission_text_text_att_objective_culture_nomadic_3_1_heading	Підкорення Слабких	true
mission_text_text_att_objective_culture_nomadic_4_1_heading	Королівства кочовиків	true
mission_text_text_att_objective_culture_nomadic_5_1_heading	Підкорення Слабких	true
mission_text_text_att_objective_culture_nomadic_1_2_heading	Підкорення Слабких	true
mission_text_text_att_objective_culture_nomadic_2_2_heading	Шлях лука	true
mission_text_text_att_objective_culture_nomadic_3_2_heading	Володарі коней	true
mission_text_text_att_objective_culture_nomadic_4_2_heading	Шлях лука	true
mission_text_text_att_objective_culture_nomadic_5_2_heading	Володарі коней	true
mission_text_text_att_objective_culture_nomadic_1_3_heading	Допоміжні війська	true
mission_text_text_att_objective_culture_nomadic_2_3_heading	Горить моя Орда	true
mission_text_text_objective_sands_4_main_heading	Підйом із пісків	true
mission_text_text_mis_activity_control_n_provinces_client_1_of_many	Зберігайте контроль над, принаймні, однією з наступних провінцій, або самостійно, або через держави-данники та військових союзників:	true
mission_text_text_mis_outcome_fail	Місія не виконана!	true
mission_text_text_mis_building_in_provinces	Побудуйте в наступних провінціях даний тип будівельного ланцюга:	true
mission_text_text_bel_objective_expedition_2_main_heading	Розділ II: Викрадений трон	true
mission_text_text_mis_activity_sabotage_force_invade	Використовуйте агента проти наступної армії загарбників:	true
mission_text_text_objective_sands_5_main_heading	Пасує Імперії	true
mission_text_text_mis_activity_control_n_ports_nooption_including_n	Контролюйте наступні %n портових поселень прямо або через військових союзників:	true
mission_text_text_bel_objective_expedition_1_main_heading	Розділ I: Людина, яка все поверне	true
mission_text_text_mis_construct_n_buildings	Побудуйте %n будівель:	true
mission_text_text_mis_activity_have_n_confederated_factions	Нехай %n держави приєднаються до Вашої конфедерації.	true
mission_text_text_cha_objective_faction_cha_avars_1_1_heading	[[col:dark_r]]Військо: [[/col]]Птуй їхній і на своєму місці	true
mission_text_text_cha_objective_faction_cha_avars_2_1_heading	[[col:dark_r]]Військо: [[/col]]Баварська рапсодія	true
mission_text_text_cha_objective_faction_cha_avars_3_1_heading	[[col:dark_r]]Військо: [[/col]]Богема	true
mission_text_text_cha_objective_faction_cha_avars_4_1_heading	[[col:dark_r]]Військо: [[/col]]Єдине Кільце	true
mission_text_text_cha_objective_faction_cha_avars_5_1_heading	[[col:dark_r]]Військо: [[/col]]Вульгані болгари	true
mission_text_text_cha_objective_faction_cha_avars_1_2_heading	[[col:dark_r]]Військо: [[/col]]Знову в сідлі	true
mission_text_text_cha_objective_faction_cha_avars_2_2_heading	[[col:dark_r]]Військо: [[/col]]Знову в сідлі	true
mission_text_text_cha_objective_faction_cha_avars_3_2_heading	[[col:dark_r]]Військо: [[/col]]Знову в сідлі	true
mission_text_text_cha_objective_faction_cha_avars_4_2_heading	[[col:dark_r]]Військо: [[/col]]Знову в сідлі	true
mission_text_text_cha_objective_faction_cha_avars_5_2_heading	[[col:dark_r]]Військо: [[/col]]Знову в сідлі	true
