key	text	tooltip
#Loc;1;text/db/missions.loc		
missions_localised_description_cha_objective_cha_charlemagne_primary_1_seal_2	«Дрібні лорди рвуть, як собаки, тіло Європи. Справжній король повинен піднятися і розсіяти цих самозванців».	true
missions_localised_description_cha_objective_cha_charlemagne_primary_2_seal_3	«Перш ніж він зможе заявити про свої претензії як господаря цієї землі, ім’я справжнього короля має лунати у всіх закутках королівства».	true
missions_localised_description_cha_objective_cha_charlemagne_primary_3_seal_4	«Вороги розбиваються проти сили справжнього короля, як хвилі об берег. Рішучість його не здоланна».	true
missions_localised_description_cha_objective_cha_charlemagne_primary_4_seal_5	«Своїми могутніми діяннями король повинен створити вічну спадщину, загартовану руйнівною силою, часом та смертю ».	true
missions_localised_description_cha_objective_cha_charlemagne_primary_5_seal_6	«Об’єднана Європи на вершині. Нехай ніхто не руйнує те, що створив справжній король!»	true
missions_localised_title_att_senate_western_roman_construct_bch_roman_west_military_1	Військове будівництво	true
missions_localised_title_att_religious_manichaeism_convert_region_1	Релігійні вимоги	true
missions_localised_title_att_objective_suebi_primary_2_seal_3	Розділ II: Спустошення	true
missions_localised_title_att_objective_suebi_primary_1_seal_2	Розділ I: Підготовка	true
missions_localised_title_att_objective_suebi_primary_4_seal_5	Розділ IV: Відплата	true
missions_localised_title_att_objective_suebi_primary_3_seal_4	Розділ III: Руйнування	true
missions_localised_title_att_objective_suebi_primary_5_seal_6	Розділ V: Відпущення гріхів	true
missions_localised_title_att_religious_tengri_assassinate_character_1	Релігійні вимоги	true
missions_localised_title_att_mp_coop_loyalist	Спільна перемога лоялістів	true
missions_localised_description_att_bel_request_antoninia_ioannina_1	Коханий, пам’ятаєш, коли я сказала «роби що-небудь»? Я насправді мала на увазі «вбити Анастасія за те, що він доторкнувся своїми брудними руками до нашої доньки». Ми не можемо дозволити, що це йому зійшло з рук, ми просто не можемо.	true
missions_localised_description_att_objective_axum_primary_1_seal_2	Вони готувалися до війни.	true
missions_localised_description_att_objective_axum_primary_2_seal_3	Аттила народився з темряви та відчаю.	true
missions_localised_description_att_objective_axum_primary_3_seal_4	Залиши усі надії.	true
missions_localised_title_att_senate_nomadic_research_technology_military_1	Розвиток військової справи	true
missions_localised_description_att_objective_axum_primary_4_seal_5	Не буде милосердя ворогам.	true
missions_localised_description_att_objective_axum_primary_5_seal_6	Прийшов час відплати.	true
missions_localised_title_att_diplomatic_nomadic_mercenary_engage_force_army_1	Угода з  найманцями	true
missions_localised_description_att_religious_germanic_assassinate_character_1	Він говорить мовами фальшивих богів. Його треба прибрати!	true
missions_localised_description_att_religious_orthodox_assassinate_character_1	Його слова наповнюють вуха вірних обіцянками та розмовами про фальшивих богів. Патріарх просить, щоб ми його усунули.	true
missions_localised_description_pro_destroy_rebels_petrodava	Народ Петродави повстає проти нашого правління і хоче вигнати нас зі своєї землі. Їм треба показати, що ми тепер тут господарі, а не вони.	true
missions_localised_description_att_senate_nomadic_research_technology_civil_1	Ми повинні вкладати час і золото в нашу цивільну адміністрацію, щоб наші родини могли розділити здобич наших перемог.	true
missions_localised_title_att_diplomatic_eastern_roman_blockade_port_1	Військова координація	true
missions_localised_title_att_diplomatic_western_roman_blockade_port_1	Військова координація	true
missions_localised_description_att_religious_manichaeism_construct_bch_religion_manichaeist_major_1	Наші єпископи просять нас побудувати храм, щоб утримувати як Атар, так і Абан, щоб вірні могли віддавати свої жертви очисному вогню.	true
missions_localised_title_att_objective_bel_vandals_primary_5_seal_6	Розділ V: Непереборний	true
missions_localised_title_att_objective_bel_vandals_primary_4_seal_5	Розділ IV: Новий світ	true
missions_localised_title_att_objective_bel_vandals_primary_3_seal_4	Розділ III: Занепалі імперії, воскреслі королі	true
missions_localised_title_att_objective_bel_vandals_primary_2_seal_3	Розділ II: Нескорений, звільнений	true
missions_localised_title_att_objective_bel_vandals_primary_1_seal_2	Розділ I: Наше за правом	true
missions_localised_title_att_objective_caledonians_primary_1_seal_2	Розділ I: Підготовка	true
missions_localised_title_att_objective_caledonians_primary_2_seal_3	Розділ II: Спустошення	true
missions_localised_title_att_objective_caledonians_primary_3_seal_4	Розділ III: Руйнування	true
missions_localised_title_att_objective_caledonians_primary_4_seal_5	Розділ IV: Відплата	true
missions_localised_title_att_objective_caledonians_primary_5_seal_6	Розділ V: Відпущення гріхів	true
missions_localised_description_att_bel_request_antoninia_rumours_2	Феодосій відплатив за Вашу ласку, осквернивши святість Вашого шлюбного ложа. Якщо Ви хочете зберегти повагу своїх підданих, Ви повинні кинути на нього всю силу свого гніву.	true
missions_localised_description_att_senate_eastern_engage_force_navy_1	Люди пустелі також можуть битися на морі. Давайте покажемо тим, хто в нас сумнівається.	true
missions_localised_title_att_senate_eastern_roman_research_technology_civil_1	Цивільний розвиток	true
missions_localised_title_att_senate_western_roman_research_technology_civil_1	Цивільний розвиток	true
missions_localised_title_cha_objective_cha_cordoba_primary_2_seal_3	Королівське ім'я	true
missions_localised_title_cha_objective_cha_cordoba_primary_1_seal_2	Розбитий світ	true
missions_localised_title_cha_objective_cha_cordoba_primary_5_seal_6	Відродження Європи	true
missions_localised_title_cha_objective_cha_cordoba_primary_4_seal_5	Створена спадщина	true
missions_localised_title_cha_objective_cha_cordoba_primary_3_seal_4	Течія війни	true
missions_localised_description_att_vc_2_imperial_separatist	Тріумф лоялістів	true
missions_localised_description_att_religious_celtic_assassinate_character_1	Він говорить мовами і говорить про фальшивих богів. Його треба прибрати.	true
missions_localised_description_att_victory_mission_1_success	Успіх	true
missions_localised_description_att_religious_catholic_assassinate_character_1	Папа Римський оголосив цю людину єретиком і вимагає від усіх чесних католиків виконувати його волю.	true
missions_localised_title_att_religious_manichaeism_construct_bch_religion_manichaeist_minor_1	Релігійні вимоги	true
missions_localised_title_att_senate_eastern_roman_construct_bch_roman_east_military_1	Військове будівництво	true
missions_localised_title_cha_mission_italian_kingdom	Королівство Італія	true
missions_localised_title_att_religious_catholic_construct_bch_religion_catholic_legendary_1	Релігійні вимоги	true
missions_localised_title_att_religious_orthodox_construct_bch_religion_orthodox_legendary_1	Релігійні вимоги	true
missions_localised_description_att_religious_arian_convert_region_1	Ми повинні поширювати праведну віру всім на наших землях. Єпископ благає Вас навернути неосвічених.	true
missions_localised_title_att_senate_nordic_capture_regions_own_settlement_1	Звільнення	true
missions_localised_title_att_senate_nomadic_construct_bch_nomad_community_1	Містобудування	true
missions_localised_title_att_diplomatic_nomadic_engage_force_army_1	Військова координація	true
missions_localised_description_att_bel_request_justinian_photius_1	У спальні ведуться найзапекліші битви. Мужній, могутній Велізарію, доля, яка чекає на тебе, набагато більша, ніж твої теперішні страждання.	true
missions_localised_title_att_senate_eastern_make_trade_agreement_1	Торгівельні питання	true
missions_localised_description_ch_vc_1_short	Швидка перемога	true
missions_localised_description_cha_mission_spanish_kingdom	Розширте свій вплив, створіть королівство на цих землях і створіть спадок, який триватиме віки! Зріть це, і буде Вам вічна слава - всі знатимуть і шануватимуть Ваше ім'я!	true
missions_localised_title_pro_build_farm_adrianople	Побудуйте ферму в Адріанополі	true
missions_localised_title_att_objective_nords_primary_2_seal_3	Розділ II: Спустошення	true
missions_localised_title_att_objective_nords_primary_1_seal_2	Розділ I: Підготовка	true
missions_localised_title_att_objective_nords_primary_5_seal_6	Розділ V: Відпущення гріхів	true
missions_localised_title_att_objective_nords_primary_4_seal_5	Розділ IV: Відплата	true
missions_localised_title_att_objective_nords_primary_3_seal_4	Розділ III: Руйнування	true
missions_localised_description_att_diplomatic_nomadic_raid_region_1	Наш союзник просить нас здійснити набіг на цей регіон, щоб нашкодити торгівлі ворога.	true
missions_localised_description_att_eos_religious_mission_build_att_rel_church_east	Ми благаємо Вашу світлість повернутися до практик, які так добре нам послужили. Надайте нам чотири нові релігійні споруди, і Ваша нагорода буде як матеріальною, так і духовною.	true
missions_localised_title_att_vc_1_christian	Перемога християн	true
missions_localised_title_att_vc_2_christian	Блискуча християнська перемога	true
missions_localised_description_pro_political_actions	Важливо підтримувати інтерес до подій навколо суду. Амбіції могутніх людей, які прагнуть правити, повинні бути під контролем.	true
missions_localised_description_att_objective_alans_primary_4_seal_5	Не буде милосердя ворогам.	true
missions_localised_description_att_objective_alans_primary_3_seal_4	Залиши усі надії.	true
missions_localised_description_att_objective_antes_primary_5_seal_6	Прийшов час відплати.	true
missions_localised_description_att_objective_antes_primary_4_seal_5	Не буде милосердя ворогам.	true
missions_localised_description_att_objective_alans_primary_5_seal_6	Прийшов час відплати.	true
missions_localised_description_att_objective_antes_primary_3_seal_4	Залиши усі надії.	true
missions_localised_description_att_objective_antes_primary_2_seal_3	Аттила народився з темряви та відчаю.	true
missions_localised_description_att_objective_antes_primary_1_seal_2	Вони готувалися до війни.	true
missions_localised_description_att_objective_alans_primary_2_seal_3	Аттила народився з темряви та відчаю.	true
missions_localised_description_att_objective_alans_primary_1_seal_2	Вони готувалися до війни.	true
missions_localised_title_pro_engage_hun_third_wave	Вступити в бій із військовою навалою гунів	true
missions_localised_title_att_vc_1_historical	Історична перемога	true
missions_localised_title_att_diplomatic_nomadic_raid_region_1	Військова координація	true
missions_localised_description_att_religious_hellenic_recruit_agent_1	Політ орла означає, що потрібно найняти нового священника. Ми не повинні ігнорувати прохання богів.	true
missions_localised_title_pro_build_torp_adrianople	Побудуйте торп в Адріанополі	true
missions_localised_description_cha_mission_cordoba_caliphate	Розширте свій вплив, створіть королівство на цих землях і створіть спадок, який триватиме віки! Зріть це, і буде Вам вічна слава - всі знатимуть і шануватимуть Ваше ім'я!	true
missions_localised_description_att_objective_nords_primary_5_seal_6	Прийшов час відплати.	true
missions_localised_description_att_objective_nords_primary_3_seal_4	Залиши усі надії.	true
missions_localised_description_att_objective_nords_primary_4_seal_5	Не буде милосердя ворогам.	true
