key	text	tooltip
#Loc;1;text/db/multiplayer_faction_descriptions.loc		
multiplayer_faction_descriptions_naval_description_rom_iceni	text_rejected	true
multiplayer_faction_descriptions_land_description_pro_greek_cities	placeholder	true
multiplayer_faction_descriptions_land_description_pro_rome	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_suebi	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_rome	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_aedui	placeholder	true
multiplayer_faction_descriptions_land_description_pro_gaul	placeholder	true
multiplayer_faction_descriptions_land_description_rom_iceni	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_suebi	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_aedui	placeholder	true
multiplayer_faction_descriptions_land_description_rom_athens	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_athens	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_aestii	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_aestii	placeholder	true
multiplayer_faction_descriptions_land_description_rom_sparta	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_sparta	text_rejected	true
multiplayer_faction_descriptions_naval_description_pro_gaul	placeholder	true
multiplayer_faction_descriptions_land_description_rom_pontus	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_arverni	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_pontus	text_rejected	true
multiplayer_faction_descriptions_naval_description_pro_rome	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_rome	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_macedon	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_anartes	placeholder	true
multiplayer_faction_descriptions_land_description_rom_parthia	text_rejected	true
multiplayer_faction_descriptions_naval_description_pro_greek_cities	placeholder	true
multiplayer_faction_descriptions_land_description_rom_epirus	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_epirus	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_carthage	text_rejected	true
multiplayer_faction_descriptions_naval_description_pro_samnites	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_ptolemaics	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_ptolemaics	text_rejected	true
multiplayer_faction_descriptions_naval_description_pro_lucanian	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_macedon	text_rejected	true
multiplayer_faction_descriptions_naval_description_rom_anartes	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_parthia	text_rejected	true
multiplayer_faction_descriptions_land_description_pro_lucanian	placeholder	true
multiplayer_faction_descriptions_land_description_pro_samnites	placeholder	true
multiplayer_faction_descriptions_naval_description_rom_arverni	text_rejected	true
multiplayer_faction_descriptions_land_description_rom_carthage	text_rejected	true
