key	text	tooltip
#Loc;1;text/db/names.loc		
names_name_2147322348	Наміорикс	true
names_name_2147322848	Аннавос	true
names_name_2147323248	Аджелей	true
names_name_2147323548	Дубня	true
names_name_2147325448	Курігальзу	true
names_name_2147326048	Едіній	true
names_name_2147326148	Арсиній	true
names_name_2147327048	Муцій	true
names_name_2147328548	Барбатус	true
names_name_2147328848	Дентер	true
names_name_2147329948	Денто	true
names_name_2147330549	Тудітана	true
names_name_2147330949	Горація	true
names_name_2147332949	Адалард	true
names_name_2147333149	Арегізель	true
names_name_2147333849	Гунтрам	true
names_name_2147334149	Леудаст	true
names_name_2147334849	Вілліхард	true
names_name_2147335349	Хамесіндіс	true
names_name_2147335449	Інгоберг	true
names_name_2147336849	Оарозбалакос	true
names_name_2147337649	Геметі	true
names_name_2147322649	Верторіс	true
names_name_2147325849	Аліттум	true
names_name_2147326349	Цереллій	true
names_name_2147327449	Сенцій	true
names_name_2147327649	Тремелій	true
names_name_2147328049	Перперн	true
names_name_2147328349	Габіній	true
names_name_2147328549	Бас	true
names_name_2147328749	Корніцен	true
names_name_2147328949	Гракх	true
names_name_2147329749	Цека	true
names_name_2147331048	Модіа	true
names_name_2147333548	Ернуст	true
names_name_2147333748	Гісберт	true
names_name_2147334148	Леудагар	true
names_name_2147335548	Нантехільдіс	true
names_name_2147335648	Руотілд	true
names_name_2147335848	Аргуанагос	true
names_name_2147336148	Чуарсасос	true
names_name_2147337048	Радамазіс	true
names_name_2147337248	Шу-турул	true
names_name_2147337548	Хшаяршан	true
names_name_2147343048	Анзазе	true
names_name_2147343548	Скілас	true
names_name_2147344248	Гормізд	true
names_name_2147344348	Анзазе	true
names_name_2147344448	Геметі	true
names_name_2147345348	Менрот	true
names_name_2147346048	Інгіборг	true
names_name_2147346248	Торгнир	true
names_name_2147346548	Егфріт	true
names_name_2147346848	Вітлег	true
names_name_2147347348	Гоар	true
names_name_2147347748	Годас	true
names_name_2147348748	Рехіар	true
names_name_2147349448	Арисбохе	true
names_name_2147349848	Такідеамані	true
names_name_2147349948	Амміта	true
names_name_2147350149	Яса	true
names_name_2147351249	Граціанус	true
names_name_2147352749	Деусдедит	true
names_name_2147353449	Маріус	true
names_name_2147353549	Майкл	true
names_name_2147353949	Серенус	true
names_name_2147354349	Арінтей	true
names_name_2147355149	Улітус	true
names_name_2147356149	Джудіт	true
names_name_2147356249	Глассан	true
names_name_2147356549	Енна	true
names_name_2147356649	Сітмайт	true
names_name_2147357749	Абегіна	true
names_name_2147358749	Адріан	true
names_name_2147358949	Барбата	true
names_name_2147359549	Нігра	true
names_name_2147359749	Скаєва	true
names_name_2147343249	Кассівеллаун	true
names_name_2147343749	Спурій Ацілій Лепід	true
names_name_2147344649	Ірен	true
names_name_2147345249	Руа	true
names_name_2147345449	Арнбьорг	true
names_name_2147345749	Гаутхільдур	true
names_name_2147347249	Освелд	true
names_name_2147348049	Вандаларій	true
names_name_2147348949	Текломброутес	true
names_name_2147349049	Дил	true
names_name_2147349149	Талатем	true
names_name_2147349349	Аманішакхето	true
names_name_2147349649	Насахма	true
names_name_2147350248	Джабала	true
names_name_2147350448	Фахрія	true
names_name_2147351148	Хуніло	true
names_name_2147351348	Ібор, поет Годана	true
names_name_2147351548	Аргентея	true
names_name_2147352348	Антіох	true
names_name_2147353348	Леон	true
names_name_2147354248	Віатор	true
names_name_2147354448	Малалас	true
names_name_2147355048	Промотус	true
names_name_2147356448	Рехтабра	true
names_name_2147357448	Гейлтрам	true
names_name_2147357548	Домельч	true
names_name_2147357848	Анасонія	true
names_name_2147359048	Капіто	true
names_name_2147359448	Мамерка	true
names_name_2147359548	Нерва	true
names_name_2147359748	Сатурніна	true
names_name_2147360148	Фабриція	true
names_name_2147360448	Шавлія	true
names_name_2147361048	Нуніоліна	true
names_name_2147361748	Ідвал	true
names_name_2147361948	Папа Римський Євген II	true
names_name_2147362048	Торамана	true
names_name_2147362448	Ласота	true
names_name_2147362848	Крилаті	true
names_name_2147360849	Трпимир	true
names_name_2147361649	Хільде	true
names_name_2147322942	Бріттос	true
names_name_2147323942	Дівіко	true
names_name_2147325242	Диїпанії	true
names_name_2147326542	Корунканій	true
names_name_2147326942	Люцій	true
names_name_2147327342	Пулло	true
names_name_2147327542	Сорнацій	true
names_name_2147328342	Венто	true
names_name_2147328442	Агрікола	true
names_name_2147328742	Цинциннат	true
names_name_2147329742	Бульба	true
names_name_2147330243	Новела	true
names_name_2147330343	Потіта	true
names_name_2147330843	Дурмія	true
names_name_2147331143	Салонія	true
names_name_2147333443	Еберульф	true
names_name_2147333543	Ермінігільд	true
names_name_2147334743	Вальдомар	true
names_name_2147335143	Клотіхільда	true
names_name_2147335543	Мервіг	true
names_name_2147335843	Аргішті	true
names_name_2147337043	Пуртайос	true
names_name_2147337743	Сторане	true
names_name_2147342944	Сурена	true
names_name_2147343144	Луктеріос	true
names_name_2147343344	Агарос	true
names_name_2147343844	Аврункулей	true
names_name_2147344544	Амата	true
names_name_2147344944	Хролфр	true
names_name_2147345944	Гервор	true
names_name_2147346144	Рагнфрідр	true
names_name_2147346444	Квенбер	true
names_name_2147346944	Етельмер	true
names_name_2147348544	Гундіок	true
names_name_2147348944	Адхеба	true
names_name_2147349044	Сеазана	true
names_name_2147349544	Індібиліс	true
names_name_2147349844	Такфаріни	true
names_name_2147350245	Абу	true
names_name_2147350645	Фозея	true
names_name_2147351145	Вульфіло	true
names_name_2147351345	Хнодомар	true
names_name_2147352345	Антемій	true
names_name_2147352745	Дезидерій	true
names_name_2147352845	Динаміус	true
names_name_2147353145	Іраклій	true
names_name_2147353445	Марінус	true
names_name_2147354945	із Сердіки	true
names_name_2147355245	Королева Мавія	true
names_name_2147355545	Альред	true
names_name_2147356545	Лаегайре	true
names_name_2147356645	Ейтне	true
names_name_2147357745	Венедоція	true
names_name_2147358245	Робурі	true
names_name_2147360446	Салонія	true
names_name_2147361546	Hakon	true
names_name_2147362746	Річард	true
names_name_2147323143	Флатуціас	true
names_name_2147323343	Аунені	true
names_name_2147325043	Аспатини	true
names_name_2147325643	Нікануур	true
names_name_2147325743	Сарру-кін	true
names_name_2147325843	Ахаті-вакрат	true
names_name_2147327043	Модіус	true
names_name_2147327843	Вітелій	true
names_name_2147328043	Цецилій	true
names_name_2147328243	Цезар	true
names_name_2147328743	Цинна	true
names_name_2147329343	Квадрат	true
names_name_2147330242	Нігра	true
names_name_2147330642	Аматія	true
names_name_2147333442	Еберхард	true
names_name_2147334142	Леобвін	true
names_name_2147334242	Мегінфрід	true
names_name_2147334342	Рабан	true
names_name_2147334542	Сігерік	true
names_name_2147335342	Хайльвік	true
names_name_2147335542	Мерофлед	true
names_name_2147336042	Байормайос	true
names_name_2147336142	Хофарнос	true
names_name_2147336542	Худдан	true
names_name_2147337142	Сайтафарнес	true
names_name_2147337442	Уктанну	true
names_name_2147342945	Араш	true
names_name_2147344845	Гензерік	true
names_name_2147345445	Ангантир	true
names_name_2147345745	Гандальфр	true
names_name_2147345845	Ганнвор	true
names_name_2147346345	Інгмарр	true
names_name_2147347045	Деорвін	true
names_name_2147347445	Амаласуінта	true
names_name_2147347545	Бадуїла	true
names_name_2147348245	Бертін	true
names_name_2147348345	Евалес	true
names_name_2147349245	Адхарбал	true
names_name_2147350144	Бахабіль	true
names_name_2147350544	Менна	true
names_name_2147350944	Гостум	true
names_name_2147352044	Флорина	true
names_name_2147352544	Цезарій	true
names_name_2147354444	Юстиніан	true
names_name_2147354644	із Дористолона	true
names_name_2147355044	Пробінус	true
names_name_2147355444	Алікс	true
names_name_2147355644	Еорменхільд	true
names_name_2147355744	Фулрад	true
names_name_2147356244	Артур	true
names_name_2147358144	Меліна	true
names_name_2147358744	Лео	true
names_name_2147359144	Красса	true
names_name_2147359644	Претекстата	true
names_name_2147360047	Кальпурнія	true
names_name_2147360547	Валерія	true
names_name_2147360647	Галла	true
names_name_2147360747	Ласота	true
names_name_2147361447	Бьорн	true
names_name_2147361647	Ранвейг	true
names_name_2147362547	Зоря	true
names_name_2147362947	Адельтруда	true
names_name_2147322340	Морітекс	true
names_name_2147322440	Пенніос	true
names_name_2147323140	Есмеріос	true
names_name_2147323440	Буссугнате	true
names_name_2147324740	Вахуміса	true
names_name_2147324940	Аршама	true
names_name_2147325240	Диїпаа'ні	true
names_name_2147325640	Ніїккууламуусу	true
names_name_2147325840	Ахассуну	true
names_name_2147326040	Ебутій	true
names_name_2147326240	Барріус	true
names_name_2147327040	Мінуцій	true
names_name_2147327640	Требацій	true
names_name_2147328740	Ціло	true
names_name_2147329240	Паво	true
names_name_2147329440	Северус	true
names_name_2147331141	Салюстій	true
names_name_2147331241	Валерія	true
names_name_2147333041	Альдхард	true
names_name_2147333741	Гілтберт	true
names_name_2147333841	Гунтар	true
names_name_2147334941	Енор	true
names_name_2147335241	Файлуба	true
names_name_2147335441	Інгітруда	true
names_name_2147335941	Асандр	true
names_name_2147336441	Ігуркапкапу	true
names_name_2147336541	Катокас	true
names_name_2147337041	Пітофарнаки	true
names_name_2147337241	Скілурос	true
names_name_2147343746	Думновеллаун	true
names_name_2147343846	Бридеї	true
names_name_2147344246	Яздегерд	true
names_name_2147344746	Іскальм	true
names_name_2147344946	Алгаут	true
names_name_2147347046	Еовін	true
names_name_2147347446	Амаласунта	true
names_name_2147347946	Сунільда	true
names_name_2147348046	Тзацо	true
names_name_2147348146	Алахіс	true
names_name_2147348846	Сванахільд	true
names_name_2147349746	Піє	true
names_name_2147350747	Тесфає	true
names_name_2147351047	Кипча	true
names_name_2147351147	Теус	true
names_name_2147351547	Аретуза	true
names_name_2147351647	Чаріто	true
names_name_2147351747	Евантія	true
names_name_2147351847	Гонорія	true
names_name_2147352147	Теодора	true
names_name_2147352947	Євстохій	true
names_name_2147354147	Тиберій	true
names_name_2147354547	із Афін	true
names_name_2147354847	із Нікосії	true
names_name_2147358047	Дубня	true
names_name_2147358147	Меропія	true
names_name_2147358947	Барба	true
names_name_2147359247	Флава	true
names_name_2147359347	Ленат	true
names_name_2147360044	Калідія	true
names_name_2147360344	Нуміція	true
names_name_2147360644	Євдоксія	true
names_name_2147360844	Міслав	true
names_name_2147362044	Хінгіла	true
names_name_2147362144	Еадбальд	true
names_name_2147362344	Еанфлед	true
names_name_2147319642	Август	true
names_name_2147322441	Пеннос	true
names_name_2147322841	Арамо	true
names_name_2147323041	Какстос	true
names_name_2147323741	Пеккія	true
names_name_2147324941	Арсиукка	true
names_name_2147326441	Канцій	true
names_name_2147327241	Пісентій	true
names_name_2147328041	Опімій	true
names_name_2147328641	Калідус	true
names_name_2147329141	Месалла	true
names_name_2147329841	Цинна	true
names_name_2147330340	Постума	true
names_name_2147330940	Гирція	true
names_name_2147334840	Вілліфрід	true
names_name_2147335440	Інгельтруд	true
names_name_2147335640	Роза	true
names_name_2147336240	Діймерітія	true
names_name_2147336840	Нутеш	true
names_name_2147337140	Садіманос	true
names_name_2147337440	Угурназір	true
names_name_2147337640	Гемегішкіріхаллат	true
names_name_2147343847	Гудлейкр	true
names_name_2147344547	Аліттум	true
names_name_2147345347	Енет	true
names_name_2147345947	Гильдур	true
names_name_2147346847	Енгельтеов	true
names_name_2147349047	Македа	true
names_name_2147350546	Іллі	true
names_name_2147350946	Альцек	true
names_name_2147351546	Аравія	true
names_name_2147352046	Плацидія	true
names_name_2147352246	Еней	true
names_name_2147352346	Антимус	true
names_name_2147352546	Каллінік	true
names_name_2147353046	Франсіо	true
names_name_2147354246	Венеранд	true
names_name_2147354346	Аргірос	true
names_name_2147354946	із Синопи	true
names_name_2147355246	Дрого	true
names_name_2147357046	Дезидерата	true
names_name_2147357346	Аль-Валід	true
names_name_2147357646	Морлео	true
names_name_2147358046	Друка	true
names_name_2147358346	Талабарі	true
names_name_2147358846	Агрікола	true
names_name_2147359846	Тріарії	true
names_name_2147359946	Ацилія	true
names_name_2147360245	Ларція	true
names_name_2147361445	Халфдан	true
names_name_2147362545	Злата	true
names_name_2147362645	Дардус	true
names_name_2147362845	Цвентіболд	true
names_name_2147319545	Секунд	true
names_name_2147322346	Наматіос	true
names_name_2147322446	Рабілос	true
names_name_2147322546	Сепліос	true
names_name_2147322746	Адбугіо	true
names_name_2147323046	Целекорікс	true
names_name_2147323646	Магетію	true
names_name_2147323746	Порія	true
names_name_2147323846	Смерте	true
names_name_2147323946	Амбіорикс	true
names_name_2147324846	Ара	true
names_name_2147325146	Чишпі	true
names_name_2147325946	Іштар-гамелат	true
names_name_2147326746	Габіній	true
names_name_2147327246	Плацидій	true
names_name_2147327646	Требеллій	true
names_name_2147328546	Барба	true
names_name_2147329146	Мурена	true
names_name_2147330047	Імперіоза	true
names_name_2147330847	Еквиція	true
names_name_2147331147	Шавлія	true
names_name_2147333447	Ебрегізель	true
names_name_2147334347	Радульф	true
