key	text	tooltip
#Loc;1;text/db/political_parties.loc		
political_parties_description_localised_pro_politics_visigothi_ruler	Вестготи спочатку були осілими землеробами в Дакії. Тепер, вигнані кочовими завойовниками зі степу, вони виявили неабияку здібність до війни.	true
political_parties_name_localised_cha_politics_mercia_ruler	Іклінги	true
political_parties_description_localised_att_politics_himyar_separatist_ruler	З усіх боків оточені споконвічними ворогами та нещодавно змінивши державну релігію, войовничі королі Хим’яру нетерпимі до загроз їхній владі – незалежно від джерела.	true
political_parties_description_localised_att_politics_franci_separatist_ruler	Франки - це конфедерація германських племен, які колись займали регіони Середнього та Нижнього Рейну. В обмін на боротьбу як римські федерати вони керують переважно незалежним королівством у провінції Галлія.	true
political_parties_name_localised_att_politics_burgundii_ruler	Бурґунди	true
political_parties_description_localised_cha_politics_mercia_council	Коли він вважає за потрібне, вельможі є наймудрішими та найдосвідченішими, щоб надавати королю поради в державних справах.	true
political_parties_name_localised_att_politics_franci_council	Інша аристократія	true
political_parties_description_localised_bel_politics_visigothi_ruler	Колишнім федератам Західної імперії було дозволено оселитися, вестготи деякий час правили в Південній Галлії та Північній Іспанії, над переважно незалежним королівством. Однак після розпаду Західної імперії сусідні франки взагалі витіснили їх із Галлії.	true
political_parties_description_localised_att_politics_ostrogothi_ruler	На північ від Чорного моря східні готи — буквально «прославлені сонцем, що сходить» — побудували могутню імперію між Доном і Дністром.	true
political_parties_description_localised_bel_politics_ostrogothi_ruler	Після захоплення Італії у Одоакра, віроломного короля римлян, остготи вступили в золоту добу процвітання та прогресу. Однак недавні династичні суперечки, що відбулися після смерті Теодоріха Великого, зробили їх вразливими для нападів з усіх боків.	true
political_parties_name_localised_att_politics_hunni_council	Інша аристократія	true
political_parties_name_localised_att_politics_alani_council	Інша аристократія	true
political_parties_name_localised_pro_politics_visigothi_ruler	Вестготи	true
political_parties_description_localised_att_politics_garamantes_ruler	Їхня культура, тримається рабською працею, забезпеченою їхніми слабшими сусідами, гарамантська еліта панує над розкішним, процвітаючим суспільством, яке все ще має коріння кочових звичаїв пустель.	true
political_parties_name_localised_att_politics_antean_council	Інша аристократія	true
political_parties_description_localised_att_politics_burgundii_ruler	Бургунди, вихідці з балтійського острова Борнхольм, є германським племенем, яке мігрувало на південь і захід і тепер живе вздовж кордонів римської території.	true
political_parties_name_localised_att_politics_franci_separatist_ruler	Франки	true
political_parties_name_localised_att_politics_himyar_separatist_ruler	Хим'ярські старости	true
political_parties_name_localised_att_politics_antean_ruler	Анти	true
political_parties_name_localised_bel_politics_visigothi_ruler	Вестготське королівство	true
political_parties_name_localised_att_politics_suebi_council	Інша аристократія	true
