key	text	tooltip
#Loc;1;text/db/projectile_shot_type_enum.loc		
projectile_shot_type_enum_button_tooltip_text_small_arm_heavy	Важкий постріл||Спричиняє більше пробиття броні, але меншу звичайну шкоду та потребує більше часу для перезарядки. Найбільш ефективний проти важкоброньованих ворогів. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_torch	Смолоскип	true
projectile_shot_type_enum_button_tooltip_text_small_arm_default	Звичайний постріл||Це типовий постріл для цього загону. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_default	Звичайний боєприпас||Це типовий постріл для цього загону. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_explosive	Вибуховий боєприпас||Спричиняє велику шкоду на великій площі, але потребує більше часу для перезарядки. Найбільш ефективний проти щільних формувань. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_flaming	Палаючий постріл||Має значний моральний вплив і завдає більше звичайної шкоди, але менше бронебійної шкоди. Найбільш ефективний проти легкоброньованих ворогів і будівель. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_whistling	Свистячий боєприпас||Спричиняє менше шкоди, але має страшний звук. Негативно впливає на моральний стан, атаку ближнього бою та швидкість пострілу будь-якого загону, повз яку він проходить. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_flammable	Запалювальний боєприпас||Завдає шкоду крізь обладунки, але потребує більше часу для перезарядки. Найбільш ефективний проти загонів на легкозаймистій землях та будівлях. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_whistling	Свистячий постріл||Заподіює дуже невелику шкоду, але має страшний звук. Негативно впливає на моральний дух, атаку ближнього бою та час перезарядки, впливає на загін повз який пролітає. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_artillery_poison	Отруйний боєприпас||Зменшує атаку ближнього бою, захист ближнього бою та викликає втому. Зменшується відстна пострілу. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_extended	Далекий постріл||Має більшу дальність, але завдає менше шкоди. Значення змінюються залежно від загону.	true
projectile_shot_type_enum_button_tooltip_text_small_arm_poison	Отруйний постріл||Отруює загін, та з часом спричиняє втрати.	true
projectile_shot_type_enum_button_tooltip_text_oil	Палаюча нафта	true
projectile_shot_type_enum_button_tooltip_text_explosives	Вибуховий горщик	true
