key	text	tooltip
#Loc;1;text/db/provincial_initiative_records.loc		
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_semitic	Військовий запал	true
provincial_initiative_records_localised_name_att_edict_barbarian_resettlement	Переселення	true
provincial_initiative_records_localised_name_att_edict_manichaeist_induction_hearers	Посвята слухачів	true
provincial_initiative_records_localised_name_att_edict_arian_docrines_arius	Вчення Арія	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_judaism	Військовий запал	true
provincial_initiative_records_localised_name_att_edict_eastern_enlightenment	Східне Просвітництво	true
provincial_initiative_records_localised_name_att_edict_sands_trade_judaism	Торгівля та промисловість	true
provincial_initiative_records_localised_name_att_edict_manichaeist_exaltation_elect	Воздвиження обраних	true
provincial_initiative_records_localised_name_att_edict_sands_trade_semitic	Торгівля та промисловість	true
provincial_initiative_records_localised_name_att_edict_celtic_power_taranis	Сила Тараніса	true
provincial_initiative_records_localised_name_att_edict_slavic_sacred_winds	Священні вітри	true
provincial_initiative_records_localised_name_att_edict_slavic_peruns_glory	Слава Перуна	true
provincial_initiative_records_localised_name_att_edict_rome_east_rural_development	Сільський розвиток	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_teachings	Вчення Зороастра	true
provincial_initiative_records_localised_name_att_edict_celtic_aegis_toutatis	Егіда Тевтата	true
provincial_initiative_records_localised_name_att_edict_tengri_wisdom	Мудрість Тенгрі	true
provincial_initiative_records_localised_name_att_edict_catholic_ecumenical_matters	Екуменічні питання	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_blessing_minerva	Благословіння Мінерви	true
provincial_initiative_records_localised_name_att_edict_tengri_glory_ancestors	Слава предків	true
provincial_initiative_records_localised_name_att_edict_rome_east_urbanisation	Урбанізація	true
provincial_initiative_records_localised_name_att_edict_germanic_might_tiw	Могутність Тіва	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_pursuit_truth	Прагнення до істини	true
provincial_initiative_records_localised_name_att_edict_arian_almsgiving	Милостиня	true
provincial_initiative_records_localised_name_att_edict_barbarian_warrior_rites	Військові звичаї	true
provincial_initiative_records_localised_name_att_edict_orthodox_progress	Християнський прогрес	true
provincial_initiative_records_localised_name_att_edict_orthodox_divine_liturgy	Божа відправа	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_will_jupiter	Воля Юпітера	true
provincial_initiative_records_localised_name_att_edict_catholic_mission	Християнська місія	true
provincial_initiative_records_localised_name_att_edict_rome_west_bread_circuses	Хліб і видовища	true
provincial_initiative_records_localised_name_att_edict_eastern_mass_conscription	Повна мобілізація	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_east_chruch	Військовий запал	true
provincial_initiative_records_localised_name_att_edict_rome_west_auxiliary_recruitment	Підтримка ауксиліїв	true
provincial_initiative_records_localised_name_att_edict_sands_trade_east_church	Торгівля та промисловість	true
provincial_initiative_records_localised_name_att_edict_germanic_judgment_wodan	Суд Водана	true
