key	text	tooltip
#Loc;1;text/db/quotes_people.loc		
quotes_people_quote_person_onscreen_pyrrhus	Пірр Епірський (319 - 272 рр. до н.е.), після перемоги в Аускулі	true
quotes_people_quote_person_onscreen_tacitus_histories	Тацит, римський історик (56 - 117 рр. н.е.), з «Історій»	true
quotes_people_quote_person_onscreen_shakespeare_titus	Вільям Шекспір, англійський драматург (1564 - 1616 рр. н.е.), з "Тіта Андроніка"	true
quotes_people_quote_person_onscreen_terence	Теренцій, римський драматург (195–159 рр. до н.е.)	true
quotes_people_quote_person_onscreen_priscus	Пріск, римський дипломат та історик (бл. 410–472 рр. н.е.), при дворі Аттили	true
quotes_people_quote_person_onscreen_nero_mushrooms	Нерон, римський імператор (15 - 68 рр. н.е.), про гриби, якими отруїли Клавдія	true
quotes_people_quote_person_onscreen_marcian	Маркіан, римський імператор (392 - 457 рр. н.е.)	true
quotes_people_quote_person_onscreen_martial	Марціал, латинський поет (40–104 рр. н.е.)	true
quotes_people_quote_person_onscreen_maharbal_cannae	Магарбал, командир карфагенської кавалерії (бл. 2 ст. до н. е.), після перемоги Ганнібала під Каннами	true
quotes_people_quote_person_onscreen_phormio	Форміон, афінський адмірал (бл. 428 р. до н.е.)	true
quotes_people_quote_person_onscreen_ambrose	Святий Амвросій (330 - 397 рр. н.е.)	true
quotes_people_quote_person_onscreen_archimedes_last	Архімед, грецький винахідник (287 - 212 до н. е.), його останні слова	true
quotes_people_quote_person_onscreen_alcaeus	Алкей Мітіленський, грецький поет (бл. 620 — 6 ст. до н. е.)	true
quotes_people_quote_person_onscreen_plautus	Плавт, римський драматург (254 - 184 до н. е.)	true
quotes_people_quote_person_onscreen_juvenal	Ювенал, римський поет (бл. 1 ст. н. е.)	true
quotes_people_quote_person_onscreen_tacitus	Тацит, римський історик (56–117 рр. н.е.)	true
quotes_people_quote_person_onscreen_marcus_aurelius	Марк Аврелій, римський імператор (121–180 рр. н.е.)	true
quotes_people_quote_person_onscreen_mencius	Мен-цзи, китайський філософ (372 - 289 до н. е.)	true
quotes_people_quote_person_onscreen_persius	Персій, римський поет (34–62 рр. н.е.)	true
quotes_people_quote_person_onscreen_euphemus	Евфем, архонт Афін (бл. 416 р. до н.е.)	true
quotes_people_quote_person_onscreen_maxim_military	Військова довершеність	true
quotes_people_quote_person_onscreen_virgil	Вергілій, римський поет (70-19 рр. до н.е.)	true
quotes_people_quote_person_onscreen_socrates	Сократ, грецький філософ (469 - 399 до н.е.)	true
quotes_people_quote_person_onscreen_scipio	Сципіон Африканський, римський полководець (235 - 183 до н. е.)	true
quotes_people_quote_person_onscreen_xenophon	Ксенофонт, грецький полководець та історик (430–354 рр. до н.е.)	true
quotes_people_quote_person_onscreen_catullus	Катулл, римський поет (84–54 рр. до н.е.)	true
quotes_people_quote_person_onscreen_theodoric	Теодорік I, король вестготів (пом. 451 р. н.е.)	true
quotes_people_quote_person_onscreen_agesilaus	Агесілай II із Спарти (444–360 рр. до н.е.), тримаючи простягнутий спис	true
quotes_people_quote_person_onscreen_justinian_sophia	Юстиніан I, римський імператор (482 - 565 рр. н.е.), на соборі Святої Софії	true
