key	text	tooltip
#Loc;1;text/db/random_localisation_strings.loc		
random_localisation_strings_string_finances_vassal_income_breakdown_faction	%S	true
random_localisation_strings_string_building_construction_requires_main_slot_upgrade	Ви повинні спочатку перебудувати своє місто.	true
random_localisation_strings_string_sea_region_control_status_hostile	Ворожий	true
random_localisation_strings_string_siege_suffering_attrition	Залога вичерпала припасами, і тепер страждає від виснаження	true
random_localisation_strings_string_finances_tribute_income_breakdown_other	Від інших	true
random_localisation_strings_string_cancel_construction_confirmation	Ця будівля зводиться, Ви впевнені, що бажаєте її демонтувати?	true
random_localisation_strings_string_unit_stat_bonus_morale_superior	Чудовий моральний дух	true
random_localisation_strings_string_unit_stat_bonus_armour_improved	Покращена броня	true
random_localisation_strings_string_famous_battle_battle_of	Битва	true
random_localisation_strings_string_round_id_august	Серпень	true
random_localisation_strings_string_round_id_late_july	Кінець липня	true
random_localisation_strings_string_difficulty_level_4	Надто висок.	true
random_localisation_strings_string_difficulty_level_5	Легенд.	true
random_localisation_strings_string_difficulty_level_2	Нормал.	true
random_localisation_strings_string_difficulty_level_3	Висок.	true
random_localisation_strings_string_difficulty_level_1	Низьк.	true
random_localisation_strings_string_siege_turns_to_attrition	Ходи, що залишилися до того, як у залоги закінчиться провіянт:	true
random_localisation_strings_string_character_role_daughter	Дочка	true
random_localisation_strings_string_cannot_build_insufficient_funds	У Вас недостатньо коштів, щоб замовити це будівництво.	true
random_localisation_strings_string_StratHud_Building_Card_Recruit_Selection	Клацніть ЛКМ, щоб побудувати цю споруду, клацніть ПКМ, щоб отримати додаткову інформацію.	true
random_localisation_strings_string_finance_header_liege_lord	Володіння	true
random_localisation_strings_string_character_role_retainer	Наймит	true
random_localisation_strings_string_stats_clan_naval_ranked_games_won	text_rejected	true
random_localisation_strings_string_character_situation_conversion_catholic	Навернення провінції	true
random_localisation_strings_string_click_to_mark_current_selection_for_dismantling	Натисніть, щоб позначити споруду для знесення. Знесення споруди поверне частину коштів у Вашу скарбницю.	true
random_localisation_strings_string_opponent_accepts_surrender_title	Погоджуються здатися:	true
random_localisation_strings_string_replenish_prerequisites_not_met	Ви повинні мати можливість набирати такі типи місцевих загонів та мати достатньо коштів для поповнення цієї армії. Вартість:	true
random_localisation_strings_string_unknown_ship_state	Деякі дані цієї ескадрильї невідомі. Підійшовши ближче, можна отримати більше інформації.	true
random_localisation_strings_string_round_id_late_june	Кінець червня	true
random_localisation_strings_string_StratHudbutton_Construction_Site	Незабудована земля||Тут можна створити нові будівельні майданчики.	true
random_localisation_strings_string_mission_text_text_mis_activity_attain_fame_level_specific	PLACEHOLDER %d	true
