key	text	tooltip
#Loc;1;text/db/region_unit_resources.loc		
region_unit_resources_string_Auxilia_Assyrian	Ассирійські ауксилії	true
region_unit_resources_string_Auxilia_Parthian	Парфянські ауксилії	true
region_unit_resources_string_Auxilia_Thracian	Фракійські ауксилії	true
region_unit_resources_string_Auxilia_local_Phazania_Libue_Aithiops	Місцева ауксилії Фазанії, Лівії, Айтіопс	true
region_unit_resources_string_Auxilia_Persian	Перські ауксилії	true
region_unit_resources_string_Auxilia_Germanic	Германські ауксилії	true
region_unit_resources_string_Auxilia_Egyptian	Єгипетські ауксилії	true
region_unit_resources_string_Auxilia_Scythian	Скіфські ауксилії	true
region_unit_resources_string_Auxilia_Sabaean	Сабейські ауксилії	true
region_unit_resources_string_Auxilia_Thracia	Місцеві ауксилії Фракії	true
region_unit_resources_string_Auxilia_Caucasia	Місцеві кавказькі ауксилії	true
region_unit_resources_string_Auxilia_Iberian	Іберійські ауксилії	true
region_unit_resources_string_Auxilia_Nabatea_ArabiaMagna_ArabiaFelix	Місцеві ауксилії Набатеї,  Великої Аварії, Аравії Щасливої	true
region_unit_resources_string_Auxilia_Bactrian	Бактрійські ауксилії	true
region_unit_resources_string_Auxilia_Gallic	Галльські ауксилії	true
region_unit_resources_string_Auxilia_Briton	Бритські ауксилії	true
region_unit_resources_string_Auxilia_Bosporus	Місцеві боспорські ауксилії	true
region_unit_resources_string_Auxilia_Celtic	Кельтські ауксилії	true
region_unit_resources_string_Auxilia_Hellas	Місцеві грецькі ауксилії	true
region_unit_resources_string_Auxilia_Hellenic	Грецькі ауксилії	true
region_unit_resources_string_Auxilia_Italian	Італійські ауксилії	true
region_unit_resources_string_Auxilia_local_Gedrosia_Arachosia_Bactria_Aria	Місцеві ауксилії Гедрозії, Арахозії, Бактрії, Арії	true
region_unit_resources_string_Auxilia_Arabian	Аравійські ауксилії	true
region_unit_resources_string_Auxilia_Illyrian	Іллірійські ауксилії	true
region_unit_resources_string_Auxilia_Syria	Місцеві ауксилії Сирії	true
region_unit_resources_string_Auxilia_Roman	Римські ауксилії	true
region_unit_resources_string_Auxilia_local_Macedonia	Місцеві ауксилії Македонії	true
region_unit_resources_string_Auxilia_local_Raetia_et_Noricum	Місцеві ауксилії Реції та Норика	true
region_unit_resources_string_Auxilia_Galatia_et_Cappadocia	Місцеві ауксилії Галатії та Каппадокії	true
region_unit_resources_string_Auxilia_North_African	Північноафриканські ауксилії	true
region_unit_resources_string_Auxilia_Sarmatian	Сарматські ауксилії	true
region_unit_resources_string_Auxilia_local_Tarraconensis	Місцеві ауксилії Тарраконської Іспанії	true
region_unit_resources_string_Auxilia_local_Cartaginensis	Місцеві Ауксилії Карфагена	true
region_unit_resources_string_CiG_Regional_Roman	Римляни	true
region_unit_resources_string_CiG_Regional_German	Германці	true
region_unit_resources_string_CiG_Regional_Greek	Греки	true
region_unit_resources_string_CiG_Regional_Celtic	Кельти	true
region_unit_resources_string_CiG_Regional_Briton	Брити	true
region_unit_resources_string_Auxilia_Saka	Сакські ауксилії	true
region_unit_resources_string_Auxilia_Asia	Місцеві азійські ауксилії	true
