key	text	tooltip
#Loc;1;text/db/regions.loc		
regions_onscreen_cha_reg_franconia_frankfurt	Франкфурт	true
regions_battle_name_cha_reg_gascony_bordeaux	Бордо	true
regions_onscreen_bel_reg_tuscia_et_umbria_faesulae	Ф'єзоле	true
regions_onscreen_att_reg_bithynia_nicomedia	Нікомедія	true
regions_onscreen_att_reg_gallaecia_brigantium	Бріґантіум	true
regions_onscreen_att_reg_hercynia_budorgis	Будоргіс	true
regions_battle_name_cha_reg_northumbria_york	Йорк	true
regions_onscreen_att_reg_belgica_colonia_agrippina	Колония Агріппіна	true
regions_onscreen_att_reg_belgica_durocorterum	Дурокорторум	true
regions_onscreen_cha_sea_lake	Озеро	true
regions_onscreen_bel_reg_byzacena_thysdrus	Тіздр	true
regions_battle_name_att_reg_aethiopia_aksum	Аксум	true
regions_battle_name_att_reg_media_atropatene_rhaga	Рага	true
regions_battle_name_cha_sea_atlantic_ocean	Атлантичний океан	true
regions_onscreen_att_sea_sinus_syracusanus	Сіракузька затока	true
regions_battle_name_att_reg_mediterraneus_orientalis_gortyna	Гортина	true
regions_battle_name_cha_reg_exarchate_ancona	Анкона	true
regions_onscreen_bel_reg_picenum_suburbicarium_ancona	Анкона	true
regions_onscreen_cha_reg_munster_cork	Корк	true
regions_onscreen_bel_reg_tuscia_et_umbria_arretium	Арретіум	true
regions_battle_name_bel_reg_sicilia_syracuse	Сиракузи	true
regions_onscreen_att_reg_tarraconensis_caesaraugusta	Кесаравгуста	true
regions_onscreen_att_reg_sarmatia_asiatica_samandar	Семендер	true
regions_battle_name_cha_reg_obodrites_rerik	Рерік	true
regions_battle_name_att_reg_terra_incognita	Terra Incognita	true
regions_battle_name_att_reg_pannonia_sirmium	Сірмій	true
regions_onscreen_bel_reg_austrasia_remorum	Реморум	true
regions_onscreen_cha_reg_rome_siena	Сієна	true
regions_onscreen_cha_reg_gascony_agen	Ажен	true
regions_onscreen_cha_reg_west_neustria_nantes	Нант	true
regions_onscreen_bel_reg_byzacena_sufetula	Суфетула	true
regions_onscreen_att_reg_mediterraneus_orientalis_constantia	Констанція	true
regions_battle_name_att_reg_syria_antiochia	Антіохія	true
regions_battle_name_att_sea_mare_tyrrhenum	Тірренське море	true
regions_battle_name_att_reg_sarmatia_asiatica_tanais	Танаїс	true
regions_battle_name_cha_reg_leon_valladoid	Вальядолід	true
