key	text	tooltip
#Loc;1;text/db/religions.loc		
religions_onscreen_att_rel_semitic_paganism	Семітське язичництво	true
religions_onscreen_cha_rel_paganism	Язичництво	true
religions_onscreen_att_rel_east_zoroastrian	Зороастризм	true
religions_onscreen_att_rel_east_manichaeism	Маніхейство	true
religions_onscreen_cha_rel_tengrism	Тенгріанство	true
religions_onscreen_att_rel_pag_slavic	Слов'янське язичництво	true
religions_onscreen_cha_rel_judaism	Юдаїзм	true
religions_onscreen_att_rel_chr_arian	Аріян. християнство	true
religions_onscreen_att_rel_pag_roman	Греко-рим. язичництво	true
religions_onscreen_att_rel_pag_celtic	Кельтське язичництво	true
religions_onscreen_att_rel_judaism	Юдаїзм	true
religions_onscreen_att_rel_pag_tengri	Тенгріанство	true
religions_onscreen_att_rel_church_east	Східне християнство	true
religions_onscreen_att_rel_pag_germanic	Герман. язичництво	true
religions_onscreen_cha_rel_christianity	Християнство	true
religions_onscreen_cha_rel_islam	Мусульманство	true
religions_onscreen_att_rel_other	Незначні релігії	true
religions_onscreen_att_rel_chr_catholic	Латин. християнство	true
religions_onscreen_att_rel_chr_orthodox	Грецьке християнство	true
