key	text	tooltip
#Loc;1;text/db/resources.loc		
resources_onscreen_text_res_att_dye	Барвники	true
resources_onscreen_text_res_rom_iron	Залізо	true
resources_onscreen_text_res_rom_wine	Вино	true
resources_onscreen_text_res_rom_lead	Свинець	true
resources_onscreen_text_res_rom_glass	Скляний посуд	true
resources_onscreen_text_res_rom_oil	Оливкова олія	true
resources_onscreen_text_res_cha_cloth	Тканина	true
resources_long_description_res_rom_textiles	Торгівля розкішним текстилем була надзвичайно прибутковою, оскільки одяг і декоративні тканини були очевидною ознакою статусу та престижу. Шовк, наприклад, охоронявся китайським секретом понад дві тисячі років і високо цінувався, коли ним торгували в Європі. Після відкриття Шовкового шляху в І столітті до нашої ери шовк став дуже бажаним і, хоча деякі вважали його аморальним і декадентським, він завжди був дуже прибутковим. Іншим виробом, пов'язаним з тканиною, був тірський, або імператорський, пурпур. Цей барвник використовувався для королівських і церемоніальних мантій і виготовлявся з мюрекса, молюска. Це був гарний колір, але, що важливіше, він не блід. Потрібні були тисячі молюсків, щоб добути навіть невелику кількість барвника. Фінікійці, назва яких походить від грецького слова, що означає пурпур, і їхня колонія в Карфагені торгували барвником через Середземне море.	true
resources_onscreen_text_res_att_see	Престол Пентархії	true
resources_onscreen_text_res_att_gold	Золото	true
resources_onscreen_text_res_att_salt	Сіль	true
resources_onscreen_text_res_att_gems	Коштовне каміння	true
resources_long_description_res_rom_leather	Люди використовували шкури для захисту та одягу з тих пір, як вони могли ловити та вбивати тварин. Археологічні докази цього сягають часів палеоліту. З розвитком тваринництва збільшувалося використання та доступність шкур. Гарбування вдосконалювалося із виготовленням більш міцної та універсальної шкіри замість сиром’ятної шкіри. Документальні свідчення гарбування сягають корінням до єгиптян. Для гарбування шкіри використовувалися всілякі досить відразливі речовини, від дубильних речовин з корі дерев до фекалій і мозку тварин. Виробництво шкіри було смердючим, брудним і навіть смертельно отруйним ремеслом, і їх зазвичай виганяли на околиці міст. Вироблена шкіра була надзвичайно корисною, і це компенсувало неприємний процес. Бурдюки, сумки, човни, панцирі, сандалі, чоботи, піхви, збруя та багато іншого.	true
resources_description_res_rom_glass	Мистецтво видування скла — це магія, зрозуміла всім.	true
resources_description_res_att_gems	Коштовне каміння, що вибухає неперевершеним сяйвом.	true
resources_description_res_att_gold	Кажуть, що Земля обертається завдяки любові, і вони мають рацію: любові до золота.	true
resources_description_res_att_salt	Неперевершено цінна сіль - основа життя.	true
resources_description_res_cha_cloth	Вовняна тканина для одягу і захисту.	true
resources_description_res_cha_copper	Можливо, це й не золото, але тільки дурень нехтує цим корисним металом.	true
resources_description_res_rom_timber	Якісна деревини - міцний човен.	true
resources_description_res_rom_leather	Навіть дика природа може подарувати розкіш і комфорт.	true
resources_description_res_rom_lead	М'який і звичайний, але корисний.	true
resources_description_res_rom_wine	Істина у вині.	true
resources_description_res_rom_iron	Залізо настільки міцне, наскільки міцна рука, яка його кує.	true
resources_description_res_att_spices	Спеції повинні литися.	true
resources_description_res_rom_marble	Імперії будуються з безсмертного каменю, кидаючи виклик часу.	true
