key	text	tooltip
#Loc;1;text/db/shortcut_localisation.loc		
shortcut_localisation_onscreen_increase_camera_rot	Вповільнити камеру	true
shortcut_localisation_onscreen_deselect_all	Прибрати виділення	true
shortcut_localisation_onscreen_attack_ping	Позначка нападу	true
shortcut_localisation_onscreen_shift	SHIFT	true
shortcut_localisation_onscreen_show_diplomacy	Показати дипломатію	true
shortcut_localisation_onscreen_game_controls	Керування грою/інтерфейсом	true
shortcut_localisation_onscreen_fps	FPS	true
shortcut_localisation_onscreen_toggle_labels	Ярлики	true
shortcut_localisation_onscreen_step_fwd_fast	Прокрутити вперед	true
shortcut_localisation_onscreen_keyboard_OEM_102	Для команди керування встановлена нетипова клавіша, передбачена розробником.	true
shortcut_localisation_onscreen_standard_ping	Стандартна позначка	true
shortcut_localisation_onscreen_decel	Уповільнення	true
shortcut_localisation_onscreen_accel	Прискорення камери	true
shortcut_localisation_onscreen_adv_shift_rclick_queue	Клацаючи правою кнопкою миші за натиснутої клавіші SHIFT, Ви маєте можливість скласти чергу наказів про рух та бій.	true
shortcut_localisation_onscreen_select_prev	Вибрати попереднє	true
shortcut_localisation_onscreen_toggle_minimised_radar	Вімк/Вимкн	true
shortcut_localisation_onscreen_chat_with_all	Спілкуйтеся з усіма	true
shortcut_localisation_onscreen_show_radial	Показати радіальне меню	true
shortcut_localisation_onscreen_decrease_camera_rot	Прискорити камеру	true
shortcut_localisation_onscreen_select_all_artillery	Всі облогові машини	true
shortcut_localisation_onscreen_ctrl	Ctrl	true
shortcut_localisation_onscreen_intelli_zoom	Розумне масштабування	true
shortcut_localisation_onscreen_misc	Інше	true
shortcut_localisation_onscreen_step_r	Прокручування праворуч	true
shortcut_localisation_onscreen_step_l	Прокручування ліворуч	true
shortcut_localisation_onscreen_show_overview	Показати вибраний огляд	true
shortcut_localisation_onscreen_general_zoom	Камеру на полководця	true
shortcut_localisation_onscreen_none	Ні	true
shortcut_localisation_onscreen_show_prestige	Показати таблицю репутації	true
shortcut_localisation_onscreen_unit_control	Дії загону	true
shortcut_localisation_onscreen_chat_with_team	Спілкуйтеся з командою	true
shortcut_localisation_onscreen_select_all_infantry	Вся піхота	true
shortcut_localisation_onscreen_select_next	Вибрати наступне	true
shortcut_localisation_onscreen_show_finance	Показати фінансову систему	true
