key	text	tooltip
#Loc;1;text/db/slots_gdp_values.loc		
slots_gdp_values_onscreen_name_port4	Порт	true
slots_gdp_values_onscreen_name_port5	Порт	true
slots_gdp_values_onscreen_name_port0	Порт	true
slots_gdp_values_onscreen_name_port1	Порт	true
slots_gdp_values_onscreen_name_port2	Порт	true
slots_gdp_values_onscreen_name_port3	Порт	true
slots_gdp_values_onscreen_name_settlement4	Містечко	true
slots_gdp_values_onscreen_name_settlement5	Містечко	true
slots_gdp_values_onscreen_name_settlement2	Містечко	true
slots_gdp_values_onscreen_name_settlement3	Містечко	true
slots_gdp_values_onscreen_name_settlement1	Містечко	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses5	Коні	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses4	Коні	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses3	Коні	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses2	Коні	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses1	Коні	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses0	Коні	true
slots_gdp_values_onscreen_name_rice4	Родючий ґрунт	true
slots_gdp_values_onscreen_name_rice5	Дуже родючий ґрунт	true
slots_gdp_values_onscreen_name_rice2	Мізерний ґрунт	true
slots_gdp_values_onscreen_name_rice3	Посередній ґрунт	true
slots_gdp_values_onscreen_name_rice0	Посередній ґрунт	true
slots_gdp_values_onscreen_name_rice1	Безплідний ґрунт	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition3	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition2	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition1	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition0	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition5	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition4	Морські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone3	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone2	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone1	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone0	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone5	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone4	Камінь	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition5	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition4	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition3	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition2	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition1	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition0	Філософські звичаї	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing3	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing2	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing1	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing0	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing5	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing4	Ковальство	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja4	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja5	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja2	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja3	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja0	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja1	Ніндзя	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans2	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans3	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans0	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans1	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans4	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans5	Ремісництво	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining4	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining5	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining0	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining1	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining2	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining3	Залізо	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining4	Золото	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining5	Золото	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining2	Золото	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining3	Золото	true
