key	text	tooltip
#Loc;1;text/db/special_ability_groups.loc		
special_ability_groups_name_Commander	Командувач	true
special_ability_groups_name_Navigator	Навігатор	true
special_ability_groups_name_Defender	Захисник	true
special_ability_groups_tooltip_Opportunist	Опортуніст (суходіл)||Стимулюйте своїх вояків до дії, збільшуючи швидкість і шкоду від їхніх ударів.\\n\\n[[col:green]]Швидкий наступ III[[/col]]	true
special_ability_groups_tooltip_Augur	Авгур (суходіл)||Погані прикмети не дозволять ворогу використати власні здібності проти Вас.\\n\\n[[col:green]]Страх III[[/col]]	true
special_ability_groups_name_Mariner	Моряк	true
special_ability_groups_name_Scourge	Батіг	true
special_ability_groups_tooltip_Commander	Командувач (суходіл)||Покращує моральний дух вояків на короткий час.\\n\\n[[col:green]]Згуртованість III[[/col]]	true
special_ability_groups_tooltip_Defender	Захисник (суходіл)||Готує своїх воїнів до тримання та відбивання нападів вершників у битві.\\n\\n[[col:green]]Єднання III[[/col]]	true
special_ability_groups_tooltip_Navigator	Навігатор (море)||Покращує майстерність веслування своїх екіпажів, щоб жоден вітер не міг їх стримати.\\n\\n[[col:green]]Потужні весла III[[/col]]	true
special_ability_groups_name_Opportunist	Опортуніст	true
special_ability_groups_tooltip_Mariner	Моряк (море)||Панування над хвилями збільшує влучність стріл і ударів мечами Ваших воїнів.\\n\\n[[col:green]]Надихання III[[/col]]	true
special_ability_groups_tooltip_Scourge	Батіг (суходіл)||Ледь почувши про наближення військ, вороги втрачають бойовий запал і волю до перемоги.\\n\\n[[col:green]]Бойовий вигук III[[/col]]	true
special_ability_groups_name_Augur	Авгур	true
