key	text	tooltip
#Loc;1;text/db/start_pos_characters.loc		
start_pos_characters_legacy_override_2140801682	Легіон X "Gemina"	true
start_pos_characters_legacy_override_2140804582	Легіон III "Augusta"	true
start_pos_characters_legacy_override_2140804594	Легіон XXII "Primigenia"	true
start_pos_characters_legacy_override_2140804195	Легіон II "Traiana"	true
start_pos_characters_legacy_override_2140804596	Легіон VII "Gemina"	true
start_pos_characters_legacy_override_2140804592	Легіон VI "Victrix"	true
start_pos_characters_legacy_override_2140804199	Легіон XXII "Fulminata"	true
start_pos_characters_legacy_override_2140804604	Легіон XXX "Ulpia Victrix"	true
start_pos_characters_legacy_override_2140804202	Легіон III "Cyrenaica"	true
start_pos_characters_legacy_override_2140804608	Легіон I "Adiutrix"	true
start_pos_characters_legacy_override_2140804222	Легіон X "Frentensis"	true
start_pos_characters_legacy_override_2140804230	Легіон III "Parthica"	true
start_pos_characters_legacy_override_2140801744	Легіон III "Cyrenaica"	true
start_pos_characters_legacy_override_2140801745	Легіон XI "Claudia"	true
start_pos_characters_legacy_override_2140801746	Легіон X "Frentensis"	true
start_pos_characters_legacy_override_2140801747	Легіон III "Parthica"	true
start_pos_characters_legacy_override_2140804240	Легіон IV "Flavia Felix"	true
start_pos_characters_legacy_override_2140801742	Легіон II "Traiana"	true
start_pos_characters_legacy_override_2140801743	Легіон XXII "Fulminata"	true
start_pos_characters_legacy_override_2140801748	Легіон III "Augusta"	true
start_pos_characters_legacy_override_2140801749	Легіон VI "Victrix"	true
start_pos_characters_legacy_override_2140801755	Легіон XXX "Ulpia Victrix"	true
start_pos_characters_legacy_override_2140801756	Легіон I "Adiutrix"	true
start_pos_characters_legacy_override_2140801750	Легіон IV "Flavia Felix"	true
start_pos_characters_legacy_override_2140801751	Легіон XXII "Primigenia"	true
start_pos_characters_legacy_override_2140801752	Легіон VII "Gemina"	true
start_pos_characters_legacy_override_2140804567	Легіон X "Gemina"	true
start_pos_characters_legacy_override_2140803077	Зимовий Серпанок	true
