key	text	tooltip
#Loc;1;text/db/subtitles.loc		
subtitles_subtitle_text_HIS_EURO_2	Вони приносять зброю диму й вогню, зброю, яка вбиває без честі, без уміння.	true
subtitles_subtitle_text_HIS_EURO_3	Але незважаючи на це, ці іноземці та їхні гармати могли дати людині силу та перемогу. І перемога знищує безчестя.	true
subtitles_subtitle_text_HIS_EURO_1	До наших берегів прийшли чужинці.	true
subtitles_subtitle_text_TRN_NAGCAV	Непорушна, як камінь, кіннота монахів-воїнів наґінати чудова проти ворожої кінноти, але слабка проти списів і стрілецьких військ.	true
subtitles_subtitle_text_ENV_SNOW_1	Коли прийде весна?\\nВ лещатах холодної білої смерті\\nЗемля задихається.\\n	true
subtitles_subtitle_text_ENV_CHERRY_1	Тендітна краса\\nДух піднімає вище: \\nВісниця весни.\\n	true
subtitles_subtitle_text_TRN_BOWSEN_2	Ці лучники присвятили своє життя майстерності володіння луком. Жодна ціль не живе довго, коли її стріли злітають.	true
subtitles_subtitle_text_TRN_BOWSAM_1	На відміну від ашіґару з луком, самурай з луком може захищатися в ближньому бою та пускати у ворога палаючими стрілами!	true
subtitles_subtitle_text_TRN_BOWSEN_1	Стріли швидкі, як вітер - очі гострі, як у яструба.	true
subtitles_subtitle_text_TRN_BOWSHP_1	Швидко рухається, цей маленький човен перевозить лучників, озброєних смертельними вогняними стрілами, здатними перетворити ворожі човни на попіл.	true
subtitles_subtitle_text_TRN_BOWMON_1	Маючи неймовірну дальність вбивства своїми луками, цих монахів-воїнів найкраще використовувати для відбивання значних ворогів.	true
subtitles_subtitle_text_TRN_BOWASH_1	Ідеально підходить для придушення ворога перед початком бою. Ці війська найкраще тримати на відстані, і вони зазнають великих втрат, якщо вступлять у ближній бій.	true
subtitles_subtitle_text_TRN_CAVYAR_1	Кавалерія Ярі відмінно справляється з переслідуванням ворога, що втікає, але зазнає значних втрат, коли протистоїть списоносцям або стрілецьцями.	true
subtitles_subtitle_text_TRN_CAVTAI_1	Воїни тайсьо вправні в ближньому бою, але вразливі для списів і стріл.	true
subtitles_subtitle_text_TRN_CAVTAI_2	Їх найкраще зарезервувати для захисту полководця, який підвищує моральний дух загонів поблизу.	true
subtitles_subtitle_text_TRN_CAVLIG_1	Ідеально підходить для знищення ворогів, що тікають, або щоб відігнати стрілецькі війська.	true
subtitles_subtitle_text_TRN_CAVLIG_2	Ця швидка легка кавалерія вразлива проти добре навченої піхоти.	true
subtitles_subtitle_text_TRN_CAVKAT_1	Кіннота Катани перевершує кінноту ворога, але вразлива для списа та лука.	true
subtitles_subtitle_text_TRN_CAVBOW_2	Однак універсальність має свою ціну: вони менш точні, ніж піші лучники, і слабкі проти списоносців.	true
subtitles_subtitle_text_TRN_HEVBUN_2	Він сильний, але повільний і може бути потоплений гарматним вогнем.	true
subtitles_subtitle_text_TRN_CAVBOW_1	Кіннота з луками може вести вогонь як верхи, так і пішки.	true
