key	text	tooltip
#Loc;1;text/db/technologies.loc		
technologies_long_description_cha_frank_civil_judicial_power	Перегляд Франкської правової системи Карла Великого в 780 р. н.е. встановив посаду «scabini» — основу сучасної правової посади «асесора», помічника та радника судді чи магістрату в більшості країн Центральної та Північної Європи. Кожен суд був представлений сімома скабінами, які повинні бути наче енциклопедії з прав пам'ятаючи все про франкські закони та Салічну правду. Ці люди користувалися особливою повагою і звітували безпосередньо перед суддею або, у багатьох випадках, самі виносили вироки на основі свого розуміння правових прецедентів. Закон Каролінгів також забороняв суддям, дивно очевидним кроком, отримувати хабарі та наказував їм ухвалювати рішення виключно на основі доказів і слідства. Вони також повинні були завжди мати при собі копію «Lex Ripuara»(Ріпуарської правди) — збірки німецького права, яка стала основою та джерелом натхнення для пізнішого «Lex Salica» (Салічно правди).	true
technologies_onscreen_name_att_slav_civil_elite_dominance_sclaveni	Домінування еліти	true
technologies_long_description_att_eastern_civil_systemised_laws_and_taxation	Адміністративна та економічна реформа була складною в перші часи імперії Сасанідів, оскільки могутні знатні династії, змагаючись за особисту владу, створювали надто великий тиск, щоб дозволити стабільним довгостроковим реформам відбутися, спричиняючи економіку до стагнації. Проте повстання Маздака зруйнувало соціально-економічну систему і повністю знищило владу знаті. Скориставшись нагодою, шахиншах негайно придушив повстання та взяв контроль, тепер звільнившись від тиску знаті. Він здійснив широкі реформи, створивши систему адміністративних округів і законів, а також систематизував податки та збори відповідно до того, як передбачав дім Сасанів. Згодом інші східні королівства взяли приклад з Персії, зменшивши ризик повстання, додавши стримувань і противаг до своїх внутрішніх систем, головним чином через призначення урядовців, чиїм обов’язком було забезпечити виконання побажань короля.	true
technologies_long_description_att_roman_east_civil_state_monopolies	Східна Римська імперія в період розквіту охоплювала приблизно 1,3 мільйона квадратних кілометрів. Різноманітність клімату, що охоплювала величезні імперські володіння, варіювалася від середземноморської тепла до холодних балканських лісів, і разом з цим з’явилася велика різноманітність сільськогосподарської продукції. Основною культурою була пшениця, яку вирощували на більшій частині території Імперії, а також ячмінь, жито та овес, особливо в більш північних, посушливих місцевостях. Предмети розкоші, такі як оливки та вино, були ключовими фінансовими культурами та приносили найбільше грошей. Відкриття численних крихітних ділянок ґрунту в регіонах Сирійського масиву вказує на наявність там спеціалізованої промисловості, присвяченої вирощуванню та виробництву оливок, подібно до спеціалізованих виноградників, розкиданих по всій Імперії. Різноманітність вирощуваних культур використовувалася як усередині, так і ззовні, підтримуючи як Рим, так і його народ, а також ними торгували. Крім загальноімперського та міжнародного поширення, дані свідчать про те, що Близький Схід також був центром процвітаючої місцевої торгівлі. Впровадження монет і поширення кераміки по всій території підтверджують це, як і економічну розвиненість яка переважала віддалені імперські регіони, такі як Британія.	true
technologies_onscreen_name_cha_celtic_military_select_fyrd	Відібраний фірд	true
technologies_long_description_cha_english_military_warrior_culture	Битва була невід’ємною частиною «варварської» культури Темної доби. Племена часто воювали з сусідніми германськими, нордичними, кельтськими та кочовими народами і навіть між собою. Міжплемінні битви, як правило, велися в набагато меншому масштабі - атаки зазвичай складалися з коротких набігів, які проводила еліта класу воїнів. Суперники-сусіди здійснювали набіги на територію один одного майже як спорт, а не як серйозну організовану спробу розширити свої межі. З іншого боку, дикі норди робили це тому, що їхня земля не могла давати сільськогосподарських урожаїв, необхідних для прогодування зростаючого населення. І зрештою оселилися в таких місцях, як Англія та Франція, де умови були більш сприятливими. Для потенційних воїнів вияви особистої хоробрості були єдиним гарантованим шляхом до слави та пошани. Бойові вміння прищеплювалися з самого раннього дитинства під час полювання, а потім відточувалися під час набігів з чотирнадцяти років. Аристократи могли скористатися цією можливістю, щоб залучити послідовників для створення власного бойового загону, тоді як члени класу вільних воїнів мали справити враження на відомий загін, щоб забезпечити собі місце. Типовий племінний бойовий стиль уникав упорядкованого, тактичного бою цивілізованих народів на користь героїчної атаки, яку повторював військовий загін, доки його ворог не був розбитий або їхня кількість не стала занадто малою.	true
technologies_short_description_cha_celtic_military_siege_techniques	Думайте нестандартно, якщо хочете увійти туди.	true
technologies_long_description_att_barbarian_military_maintained_military_households	У глибині душі варварський член племені був воїном і тільки воїном. Коли не воював, він шукав іншого бою. Лише в битві людина могла здобути славу й багатство, необхідні для покращення свого становища в племені. Це було нелегке життя, і лише найсильніші жили без діла далеко від поля бою. Іншим доводилося працювати, працюючи в полях і лісах, чекаючи слави, яку можна було здобути в битві або в набігах на ворогів племені. Виховані на звичаях бенкетів і грабіжництва, молоді воїни жадали можливості проявити себе проти гідного ворога. Не зважаючи на небезпеки, що чекали попереду, доведені до божевілля співами та піснями, озброєні списами з кістяними наконечниками та списами, лютість їхньої першої атаки викликала страх і славу.	true
technologies_onscreen_name_cha_english_civil_court_scholars	Судові вчені	true
technologies_onscreen_name_cha_muslim_military_siege_masters	Майстри облоги	true
technologies_short_description_att_barbarian_military_standardised_military_equipment	Стандартизоване спорядження перетворює натовп на армію.	true
technologies_long_description_att_barbarian_civil_administrative_assimilation	Коли експедиція Велізарія прямувала з Метони до Сицилії, відсутність вітру затримала їх на шістнадцять днів, а через середземноморську спеку постраждало водопостачання, а також і люди. Проте Антоніна, дружина Велізарія — яку історики вважають справжньою владою великого полководця — підготувала провіант і заховала скляні пляшки в темних кутках трюму його флагманського човна. Засипавши пляшки піском, вода була захищена від спеки, тож Велізарій зміг забезпечити, щоб кожен отримав необхідну кількість води.	true
technologies_short_description_bel_other_military_mercenary_contracts	Конкретні умови служіння узгодяться пізніше.	true
technologies_onscreen_name_cha_nomad_civil_exchange_expertise	Обмін досвідом	true
technologies_onscreen_name_cha_christ_civil_feudalism	Феодалізм	true
technologies_long_description_att_eastern_sands_civil_specialised_cultivation	Коли процвітала торгівля між аравійськими та африканськими пустельними королівствами та іншим світом, закони попиту та пропозиції почали впливати саме на те, що робили із землею, щоб збільшити прибутки та ще більше підтримувати прибуткові торгівельні угоди. Овець, корів, коней і верблюдів зазвичай вирощували на експорт, а зернові були основною культурою. В Аксумі кістка з рогів слонів і носорогів стала предметом розкоші аж до Риму, Сасанідської Персії та Індії, що призвело до інтенсивного полювання на цих істот. Крім того, аксумські царі розбудували мережу внутрішніх торгівельних шляхів, щоб гарантувати, що товари потрапляли до узбережжя та на торгівельні човни в порту Адуліс якомога швидше та ефективніше.	true
technologies_onscreen_name_att_hunnic_military_employment_of_foreign_siege_experts	Іноземні експерти з облоги	true
technologies_onscreen_name_bel_other_civil_architectural_renovation	Архітектурне оновлення	true
technologies_onscreen_name_att_eastern_military_official_inspections	Офіційні перевірки	true
technologies_onscreen_name_bel_other_civil_religious_decorum	Релігійний декорум	true
technologies_onscreen_name_cha_english_military_battlefield_medicine	Польова хірургія	true
technologies_onscreen_name_cha_muslim_civil_grand_caliphate	Великий Халіфат	true
technologies_short_description_bel_other_civil_kings_court	Тримайте друзів поруч, а ворогів ближче.	true
technologies_short_description_bel_roman_civil_state_construction_programme	Уявлення Імперії подано в її спорудах.	true
technologies_short_description_bel_roman_military_advanced_naval_manoeuvres	Мислення на ногах гарантує, що всі інші залишаться стояти на своїх.	true
technologies_long_description_cha_nomad_military_call_vassals	З початком Великого переселення народів все змінилося без можливості повернення назад. Варварські королівства, які знищили залишки Західної Римської імперії, взяли на себе більшу частину її працездатної інфраструктури, зокрема, що стосується організації збройних сил. Звичайно, це також дало їм можливість контролювати молодий, освічений римський клас, який інакше міг би боротися проти нового режиму.  Їм пропонували статус, владу – через призов до армії, що забезпечити їхню вірність. Варварські королівства все ще були в основному войовничими суспільствами, і тому приналежність до войовничого класу була чимось, до чого можна було прагнути. Члени були зобов’язані воювати за короля та надавати війська зі своїх власних свит, коли він закликав.	true
technologies_long_description_cha_barb_civil_master_craftsmen	Варварські народи не втратили свого вміння створювати гарні речі ручної роботи, які демонстрували високорозвинені здібності роботи з деревом, металом і дорогоцінним камінням, навіть після того, як оселилися у «комфортному» житті в королівствах на колишніх територіях Західної Римської імперії. В останні роки під час археологічних розкопок було виявлено багато складних, вишуканих артефактів, які свідчать про це. Завдяки вивченню їхніх відмінних моделей стало можливим скласти хронологію появи та розширення використовуваних методів виробництва та технології. Завдяки спеціалізації на певній майстерності чи ремеслі цінність людини зростала в геометричній прогресії, а вироблені нею речі ставали набагато ціннішими за вартість використаних матеріалів. Це, у свою чергу, гарантувало багатьом засоби до існування.	true
technologies_onscreen_name_att_barbarian_military_organised_armour_production	Організоване виробництво обладунків	true
technologies_onscreen_name_cha_barb_military_planned_movement	Запланований рух	true
technologies_long_description_att_roman_civil_imperial_church	До християнства вважалося, що боги несуть відповідальність за всі земні та потойбічні події. Дослідження більш природних розчинів виявило попереднє розуміння атомів, яке вплинуло на розуміння елементів. Коли римляни завойовували, їхня філософія розширилася, щоб стати самозвеличенням - Рим переміг, отже Рим мав рацію. Великі будівлі на їхню славу та на честь богів були зведені з бетону у вражаюче короткі терміни. Християнство та уявлення про богоподібність імператора згодом підкріпили самозаглиблене уявлення про римську філософію та її погляд на світ – імператору було доручено об’єднати світ в ім’я Бога! Це уявлення зберігалося серед варварських королівств, що пішли за Імперією, до Середньовіччя й далі — монарх був обраний самим Богом, щоб правити від Його імені.	true
technologies_long_description_cha_frank_military_battlefield_medicine	Початок Середньовіччя приніс із собою досягнення та авантюрні набіги у швидко зростаючий світ медицини та хірургії. У VII столітті нашої ери грецький лікар Павло з Егіни написав «Медичний збірник у семи книгах» — збірку медичних досліджень і практик інших вчених, включаючи теорії та передові (на той час) хірургічні процедури. Хоча хірургія не набула поширення протягом багатьох наступних століть, методи, які обговорювалися та впроваджувалися в ранньому Середньовіччі, використовувалися, щоб допомогти перев’язати солдатів, щоб вони могли продовжувати боротьбу. Застарілі підходи до ампутації також використовувалися для видалення понівечених або інфікованих кінцівок, хоча шанси жертви на виживання були надзвичайно мізерними. Хірург займався латанням воїнів. Пізніше, якщо рани інфікувалися й призводили до смерті, це його просто не хвилювало.	true
technologies_short_description_cha_barb_civil_irrigation_techniques	За допомогою якого вода направляється туди, де вона може бути найбільш корисною.	true
technologies_long_description_att_roman_military_heavy_cavalry_tactics_east	Коли Римська імперія розділялася і боролася в пізній античності, однією з головних проблем її армії була кавалерія, яка значно поступалася порівняно з кіннотою ворогів. Гунські та варварські орди, що рушили зі степів, робили це на конях, а на сході армії Сасанідів розбивали своїх ворогів важкими катафрактіями. Рим повільно пристосовувався до мінливого вигляду кінної війни, оскільки їхні головні союзники переважно виставляли піхоту. Східна Римська імперія, зокрема, розробила клібінарії на основі східних катафрактіїв, як відповідь на загрозу, яку становив нестримний напад Сасанідів. Серед істориків точаться дебати щодо того, коли кіннота досягла переваги над піхотою, поклавши початок зміні парадигми, що призвело до остаточного підйому кінних лицарів та їхнього панування на бойовищі. Багато хто вважає, що це почалося в битві під Адріанополем, коли потужність готської важкої кавалерії змела важку піхоту римлян з поля. Проте минуло багато століть, перш ніж видовищне поєднання важкого коня та обладунків у середньовічних лицарях стало нормою.	true
technologies_long_description_att_roman_military_heavy_cavalry_tactics_west	Коли Римська імперія розділялася і боролася в пізній античності, однією з головних проблем її армії була кавалерія, яка значно поступалася порівняно з кіннотою ворогів. Гунські та варварські орди, що рушили зі степів, робили це на конях, а на сході армії Сасанідів розбивали своїх ворогів важкими катафрактіями. Рим повільно пристосовувався до мінливого вигляду кінної війни, оскільки їхні головні союзники переважно виставляли піхоту. Східна Римська імперія, зокрема, розробила клібінарії на основі східних катафрактіїв, як відповідь на загрозу, яку становив нестримний напад Сасанідів. Серед істориків точаться дебати щодо того, коли кіннота досягла переваги над піхотою, поклавши початок зміні парадигми, що призвело до остаточного підйому кінних лицарів та їхнього панування на бойовищі. Багато хто вважає, що це почалося в битві під Адріанополем, коли потужність готської важкої кавалерії змела важку піхоту римлян з поля. Проте минуло багато століть, перш ніж видовищне поєднання важкого коня та обладунків у середньовічних лицарях стало нормою.	true
technologies_onscreen_name_bel_roman_civil_state_monopolies	Державні монополії	true
technologies_short_description_att_barbarian_military_royal_rhetoric	Пряник кращий за батіг.	true
technologies_onscreen_name_cha_nomad_military_improved_siege_engines	Покращені облогові машини	true
technologies_onscreen_name_att_eastern_civil_new_city_administration	Нова адміністративна система	true
technologies_short_description_bel_roman_civil_long_lease_contracts	Домовленості, як і життя, речі ефемерні (нетривалі).	true
technologies_long_description_cha_celtic_civil_manuscript_production	Бувши найбільш вивченою книгою того часу, Біблія була сумлінно й вишукано переписана латинською мовою чернечими орденами, відповідно до слова Божого. Одним із найвідоміших рукописів тієї епохи є Утрехтський Псалтир, вишукана та яскрава колекція чорнильних ілюстрацій, які супроводжують кожен із Псалмів, і один із найвідоміших і добре збережених розфарбованих зразків. Також відомий як «мініатюрний», від латинського «minium» (свинцевий червоний), використовуваний для фарбування разом з іншими пігментами, такими як вермільйон (червоний). До пізньої античності папірус перестав використовуватися як поверхня для письма на користь міцнішого та довговічнішого пергаменту або пергаменту, які ретельно готували перед тим, як писати. Велум, виготовлений із телячої шкіри, який зазвичай використовувався для якісних текстів, замочували у воді та вапні та залишали сохнути на кілька днів. Після цього зайве волосся було видалено, а шкіра обрамлена та притиснута. Нарешті аркуш пергаменту натирали плоским предметом, щоб було легше писати.	true
technologies_long_description_cha_nomad_civil_new_aristocracy	З початком Великого переселення народів все змінилося без можливості повернення назад. Варварські королівства, які знищили залишки Західної Римської імперії, взяли на себе більшу частину її працездатної інфраструктури, зокрема, що стосується організації збройних сил. Звичайно, це також дало їм можливість контролювати молодий, освічений римський клас, який інакше міг би боротися проти нового режиму.  Їм пропонували статус, владу – через призов до армії, що забезпечити їхню вірність. Варварські королівства все ще були в основному войовничими суспільствами, і тому приналежність до войовничого класу була чимось, до чого можна було прагнути. Члени були зобов’язані воювати за короля та надавати війська зі своїх власних свит, коли він закликав.	true
technologies_short_description_cha_muslim_civil_celebrated_philosophy	Найвеличніші мудреці цього часу, зібрані разом для наукових звершень.	true
technologies_long_description_cha_barb_military_fortified_settlements	З розвитком суспільства зростала потреба у більших поселеннях для розміщення більшої кількості людей. Це призвело до появи укріплених поселень, які, як правило, будували на ділянках із природним захистом, таким як вершини пагорбів, скелі чи береги річки з кам’яними або дерев’яними оборонними спорудами, що відрізняло їх від менших племінних поселень. Деякі історики стверджують, що додавання укріплень було не оборонним рішенням, а фактично питанням престижу.	true
technologies_short_description_att_eastern_military_advanced_archery_training	Наші стріли сонце затьмарять.	true
technologies_long_description_att_eastern_sands_civil_prestige_goods	Пустельні королівства отримали величезну користь від близькості до Шовкового шляху. Доступ до Індійського океану означав, що торгівельні човни з Індії та Китаю регулярно заходили в гавані Аксума та Хим'яру, навантажені екзотичними скарбами зі сходу. «Періпл Еритрейського моря», маніфест торгівельних шляхів, портів і гаваней всього регіону, дуже детально документує колосальний обсяг торгівлі. Згідно Періплу, Королівство Аксум, було одним із найбільших експортерів слонової кістки у світі, а також добували золото та смарагди. Кажуть, що деякі хим'ярські царі також дарували щедрі подарунки римським імператорам, щоб заслужити їхню прихильність. Король Каріб'іл навіть вважався «другом імператорів».	true
technologies_short_description_cha_barb_civil_trade_rights	Ця земля наша. З цього випливає, що частка того, що проходить через неї, також є нашим.	true
technologies_short_description_cha_barb_civil_craft_specialisation	Майстри ніколи не будуть голодними.	true
technologies_onscreen_name_att_hunnic_military_hunnic_storm	Гунський буревій	true
technologies_onscreen_name_att_hunnic_civil_multicultural_tolerance	Систематичне розграбування	true
technologies_onscreen_name_att_barbarian_military_military_manouvers_alani	Аланські військові хитрощі	true
technologies_onscreen_name_att_hunnic_civil_multicultural_practices	Організоване вимагання	true
technologies_onscreen_name_cha_celtic_military_master_smiths	Майстерні ковалі	true
technologies_short_description_cha_nomad_military_campaign_planning	Хоча жоден план не вберігає від смерті після зустрічі з ворогом, його відсутність призводить до поразки.	true
