key	text	tooltip
#Loc;1;text/db/uied_component_texts.loc		
uied_component_texts_localised_string_casualties_inflicted_tx_NewState_Text_140064	Завдано втрат	true
uied_component_texts_localised_string_tx_text_NewState_Text_6f003b	Низьк.	true
uied_component_texts_localised_string_tx_text_NewState_Text_700025	Нейтралітет	true
uied_component_texts_localised_string_sort_skill_selected_up_Tooltip_530064	За рангом	true
uied_component_texts_localised_string_button_decimate_Tooltip_770001	Підвищити єдність своїх збройних сил важким шляхом, знищивши 10% поточного війська.	true
uied_component_texts_localised_string_button_txt_twitch_Text_6b005e	Twitch	true
uied_component_texts_localised_string_recruitment_tx_subtitle_NewState_Text_530062	Місцеве вербування	true
uied_component_texts_localised_string_tx_queue_NewState_Text_390009	Вибрані захисні засоби	true
uied_component_texts_localised_string_tx_descr_NewState_Text_570040	Підійде до швидких військ з чисельною кіннотою	true
uied_component_texts_localised_string_tx_other_Tooltip_1a0063	Прибуток, отриманий з інших джерел, як-от виплати в результаті дипломатичних переговорів або данина від будь-яких данницьких чи маріонеткових держав.	true
uied_component_texts_localised_string_pip_trade_naval_trading_Tooltip_78003b	Торгівля	true
uied_component_texts_localised_string_activate_ping_Tooltip_79006c	Увімкнення вістки||Сповіщення використовується, щоб надати інструкції союзниками. Ця кнопка покаже різні режими сповіщень.	true
uied_component_texts_localised_string_StatusIcon_Garrisoned_Tooltip_6a0056	Як залога	true
uied_component_texts_localised_string_button_defensive_Tooltip_690058	Захисний	true
uied_component_texts_localised_string_copy_of_tx_type_NewState_Text_79005a	Багатство	true
uied_component_texts_localised_string_panel_heading_Tooltip_210046	Це показує Вашу статистику і Вашого супротивника в битві.||Натисніть кнопку статистики загону, щоб побачити, чи отримали Ваші війська досвід.	true
uied_component_texts_localised_string_PH_text_NewState_Text_3b007a	Величезний подарунок	true
uied_component_texts_localised_string_tx_queue_NewState_Text_4c006c	Облогові машини	true
uied_component_texts_localised_string_button_minimise_Tooltip_560070	Згорнути панель	true
uied_component_texts_localised_string_legacy_name_Tooltip_30054qp	Назва збройних сил. ЛКМ - для зміни.	true
uied_component_texts_localised_string_total_food_NewState_Text_250065	Всього їжі	true
uied_component_texts_localised_string_DY_text_NewState_Text_3c0079	Завершити хід? Деякі питання залишаються відкритими:	true
uied_component_texts_localised_string_abandon_subpanel_Tooltip_680060	ЛКМ - не залишати	true
uied_component_texts_localised_string_60_tx_NewState_Text_14006d	40 хвилин	true
uied_component_texts_localised_string_save_date_NewState_Text_25002e	12/02/2008	true
uied_component_texts_localised_string_merceneries_tx_subtitle_NewState_Text_4d0019	Наявні найманці	true
uied_component_texts_localised_string_tx_total_attitude_NewState_Text_5c0047	Загальний рівень ставлення:	true
uied_component_texts_localised_string_general_details_tx_title_NewState_Text_25001c	Подробиці про провінцію	true
uied_component_texts_localised_string_offer_hostage_tx_NewState_Text_5f0064	Запропонувати заручника	true
uied_component_texts_localised_string_panel_heading_Tooltip_630036	Умови для досягнення перемоги змінюються в залежності від режиму і налаштувань гри.	true
uied_component_texts_localised_string_DY_text_NewState_Text_330048	Тепер Ви можете мовити свій ігровий процес через Twitch.tv! Увійдіть за допомогою параметрів мовлення, а потім скористайтеся кнопкою мовлення у верхньому лівому куті, щоб транслювати свій ігровий процес!	true
uied_component_texts_localised_string_tx_public_order_NewState_Text_610042	Багатство і Прибуток	true
uied_component_texts_localised_string_tx_trade_NewState_Text_520017	Торгівля	true
uied_component_texts_localised_string_offer_regions_tx_NewState_Text_410072	Запропонувати регіони	true
uied_component_texts_localised_string_button_gift_unit_Tooltip_72001b	Подарувати загони||Натисніть, щоб передати контроль над вибраними загонами глядачеві. Глядач може повернути загони, вибравши їх і клацнувши це ще раз.	true
uied_component_texts_localised_string_ships_captured_tx_NewState_Text_3b006ac	Захоплено човнів	true
uied_component_texts_localised_string_tx_title_NewState_Text_6f002d	Історія	true
uied_component_texts_localised_string_friends_Tooltip_730032	Друзі	true
uied_component_texts_localised_string_option2_text_tx_decline(breaks_alliance)_Text_50045	Відмовити (союз буде розірваний)	true
uied_component_texts_localised_string_resource_Tooltip_420063	Немає необхідних ресурсів.	true
uied_component_texts_localised_string_string_Tooltip_5b000ahdb	Показати повідомлення пов'язане з цією подією.	true
uied_component_texts_localised_string_disembark_timer_Tooltip_7d0040	Контроль ворога цією землею збентежує Ваших людей! Якщо Ви не зійдете на берег і не почнете битву, незабаром, Ваші війська почнуть дезертувати!	true
uied_component_texts_localised_string_stat_bar_Tooltip_5b006d	Вам доведеться платити цю суму кожного ходу, коли у Вас є цей загін.||Якщо Ви не використовуєте цей загін, можливо, буде дешевше розпустити його та найняти іншого пізніше, ніж платити за утримання.	true
uied_component_texts_localised_string_dy_event_NewState_Text_3c0077	Втрачено провінцій	true
uied_component_texts_localised_string_dy_kills_Tooltip_320036	Вороги, що загинули завдяки цьому загону.||Вбивство ворогів зараховуються до досвіду.	true
uied_component_texts_localised_string_no_settlement_icon_NewState_Tooltip_70072	Ця держава без своєї землі.	true
uied_component_texts_localised_string_button_retreat_inactive_Tooltip_45006a	Ви не можете відступити.	true
uied_component_texts_localised_string_dy_cost_Tooltip_33004c	Вартість робітників	true
uied_component_texts_localised_string_button_lock_chat_Tooltip_660034	Увімкнути/вимкнути мінімальний режим	true
uied_component_texts_localised_string_button_maintain_blockade_Tooltip_220012	Встановити блокаду	true
uied_component_texts_localised_string_tx_atwar_NewState_Text_51003a	У війні:	true
uied_component_texts_localised_string_tx_end_treasury_NewState_Text_510011u	Скарбниця наприкінці	true
uied_component_texts_localised_string_pip_status_client_state_Tooltip_1a003a	Держава, що сплачує Вам данину	true
uied_component_texts_localised_string_dy_spectator_open_Text_1e006f	Відчинено	true
uied_component_texts_localised_string_Flags_Tooltip_40042	Ваша держава і її очільник під час збереження.	true
uied_component_texts_localised_string_button_txt_game_Text_4002a	Гра	true
uied_component_texts_localised_string_button_sea_raid_Tooltip_400009	Морський напад	true
uied_component_texts_localised_string_tx_title_NewState_Text_290074	Прогноз торгівлі	true
uied_component_texts_localised_string_checkbox_passworded_selected_down_off_Tooltip_310013	Ігри з паролем видні.||Тицьніть тут, щоб приховати ігри під паролем.||Ця гра обмежує коло гравців.	true
