key	text	tooltip
#Loc;1;text/db/unit_abilities.loc		
unit_abilities_tooltip_text_steady_advance	Стійкий рух||	true
unit_abilities_tooltip_text_steady_retreat	Стійкість||Покращує здатність загону оборонятися ціною їх мобільності.	true
unit_abilities_tooltip_text_com_force_concentration	Концентрація сили||Дружні загони покращують наступальні можливості та робить їх моральний дух непорушним, протягом тривалого часу. Можна використовувати лише один раз за битву.	true
unit_abilities_tooltip_text_att_ramming_speed	Швидкість тарана!||Збільшує швидкість човна, щоб завдати більшої шкоди під час удару по ворогу.	true
unit_abilities_tooltip_text_com_taunt_group	Гуртове глузування||	true
unit_abilities_tooltip_text_precision_shot	Прицільний постріл||Покращує шкоду від стрілецької зброї на тривалий час. Змінюються в залежності від характеристики загону.	true
unit_abilities_tooltip_text_com_inspire_group	Надихання гурту||Ваш полководець, на короткий час, покращує бойові здібності дружніх загонів у зоні його впливу.	true
unit_abilities_tooltip_text_frenzy	Навіженість||Покращує напад загону на тривалий період часу.	true
unit_abilities_tooltip_text_a_mp_test_15	Стадо та бійня||Кругова форма, яка дозволяє ворогом входити, але не виходити. Усі ворожі вояки які потраплять всередину кола піддаються руйнівній шкоді.	true
unit_abilities_tooltip_text_a_mp_test_14	Арена — Готуйся||Загін шикується в бойовий стрій, яка запобігає використання ворогом бонусів нападу та відбиває першу хвилю.	true
unit_abilities_tooltip_text_a_mp_test_17	Арена — Підніміть щити||Вояки піднімають свої щити, збільшуючи ймовірність відбивання стрільних атак.	true
unit_abilities_tooltip_text_a_mp_test_16	Арена — Відпустити коней||Змушує кавалерійський загін зіскочити з коней, перетворюючись на піший загін  ближнього бою. Це незворотна дія, оскільки коні миттєво розбігаються.	true
unit_abilities_tooltip_text_a_mp_test_11	Арена — Бойовий вигук||Бойовий вигук заставляє вояків шалено кидатися в бій з грізними вигуками. Додає моральний бонус союзниками в зоні дії.	true
unit_abilities_tooltip_text_a_mp_test_10	Загороджувальний вогонь||Загін збільшує швидкість обстрілу, сповільнюючи певні типи загонів.	true
unit_abilities_tooltip_text_a_mp_test_13	Арена - Дерев'яні мечі - шалені серця||Загін у відчаї та недостатньо оснащений. Починають несамовито битися, що аж серця вистрибують із грудей. Завдають високого рівня шкоду та ігнорують будь-які отримані пошкодження протягом певного часу.	true
unit_abilities_tooltip_text_a_mp_test_12	Арена - Тримати стрій||Ця команда закликає вояків не залишати стрій. Усі союзні загони в ближньому бою отримують посилення захисту ближнього бою.	true
unit_abilities_tooltip_text_form_testudo_defensive	Нерухома черепаха||Війська цього загону підіймають свої щити над головами в нерухомий захисний стрій.	true
unit_abilities_tooltip_text_warcry	Бойовий вигук||	true
unit_abilities_tooltip_text_com_we_stand_and_fight	Стояти і битися||Охорона стає навколо полководця, покращується захист. \\n\\n[[col:green]]Захисні здібності[[/col]]	true
unit_abilities_tooltip_text_cantabrian_circle	Кантабрійське коло||Вершнки стріляють під час руху навколо ворога.	true
unit_abilities_tooltip_text_light_infantry_behaviour	Повадки легкої піхоти||	true
unit_abilities_tooltip_text_com_relentless	Невблаганний||Ваш полководець трохи покращує можливості всіх загонів, тимчасово знімаючи їхню втому. Можна використовувати лише один раз за битву.	true
unit_abilities_tooltip_text_att_gen_presence_02	Присутність II||Зменшує час відновлення здібностей союзників у даній зоні.	true
unit_abilities_tooltip_text_att_gen_presence_03	Присутність III||Зменшує час відновлення здібностей союзників у даній зоні.	true
unit_abilities_tooltip_text_att_gen_presence_01	Присутність I||Зменшує час відновлення здібностей союзників у даній зоні.	true
unit_abilities_tooltip_text_att_gen_presence_04	Присутність IV||Зменшує час відновлення здібностей союзників у даній зоні.	true
unit_abilities_tooltip_text_att_gen_presence_05	Присутність V||Зменшує час відновлення здібностей союзників у даній зоні.	true
unit_abilities_tooltip_text_form_pike_wall	Стіна ратищ||Загін шикується в щільну оборонну формацію.	true
unit_abilities_tooltip_text_kill_elephants	Вбивство слонів||Погоничі слонів вбиватимуть своїх верхових тварин шипами. Використовувати, лише якщо слони дуріють.	true
unit_abilities_tooltip_text_form_flying_wedge	Літаючий клин||Загін шикується у легку клиноподібну форму для нападу.	true
unit_abilities_tooltip_text_com_second_wind	Друге дихання||Усуває будь-яку втому, яку має вибраний дружній загін.	true
unit_abilities_tooltip_text_screech	Злякати||Знижує моральний дух ворожого загону на тривалий період часу.	true
unit_abilities_tooltip_text_com_inspire_unit	Надихання||Підвищує бойові здібності дружніх загонів, на короткий час.	true
