key	text	tooltip
#Loc;1;text/db/unit_castes.loc		
unit_castes_localised_name_medium_aux	Середні допоміжні війська	true
unit_castes_localised_name_light_merc	Легкі найманці	true
unit_castes_localised_name_heavy_aux	Важкі допоміжні війська	true
unit_castes_localised_name_generic	Звичайні війська	true
unit_castes_localised_name_heavy_merc	Важкі найманці	true
unit_castes_localised_name_light_aux	Легкі допоміжні війська	true
unit_castes_localised_name_light	Легкі війська	true
unit_castes_localised_name_medium	Середні війська	true
unit_castes_localised_name_medium_merc	Середні найманці	true
unit_castes_localised_name_heavy	Важкі війська	true
