key	text	tooltip
#Loc;1;text/db/unit_class.loc		
unit_class_tooltip_art_siege	Величезні облогові машини ідеальні для руйнування стін і воріт.	true
unit_class_tooltip_shp_mel	Ідеально підходить для взяття на абордаж ворожих човнів, але діяти потрібно швидко.	true
unit_class_tooltip_inf_mel	Вояки на передовій треновані для ближнього бою з ворогами	true
unit_class_tooltip_cav_mis	Швидка та далекобійна стрілецька кіннота добре виснажує ворогів, але слабка у ближньому бою.	true
unit_class_tooltip_cav_shk	Молот для піхоти будь-якої армії якщо атакують у фланг або тил ворога.	true
unit_class_tooltip_inf_pik	Довгі ратища перетворюють цих воїнів на смертоносних в прямих зіткненнях, але вразливими, на флангах і в тилу. Ідеальні проти кавалерії.	true
unit_class_tooltip_chariot	Швидкі вояки з широким радіусом повороту можуть з легкістю розбивати слабкі загони, але стають слабкі у затяжному бою.	true
unit_class_tooltip_inf_mis	Загони дальнього бою можуть забезпечувати підтримку військ ближнього бою, але самі дуже слабкі в ближньому бою.	true
unit_class_tooltip_cav_mel	Багатоцільова кіннота ближнього бою із щитами поступається більш спеціалізованим загонам ворога.	true
unit_class_tooltip_shp_fir	Важкі обладунки та відмінний рукопашний бій не допоможуть коли на Вас ллється палаюча нафта!	true
unit_class_tooltip_shp_mis	Вони можуть закидати снарядами ворожі човни, але повинні триматися подалі від ворожих човнів ближнього бою.	true
unit_class_tooltip_art_fld	Маючи велику далекобійність і здатність завдавати великої шкоди, польову артилерію можна повільно рухати полем битви, проте вона дуже слабка в ближньому бою.	true
unit_class_tooltip_inf_spr	Повільні та з великим запасом місць, вони добре справляються зі своєю роботою. Пам'ятайте, що це не військові човни.	true
unit_class_tooltip_shp_stk	Використовуйте ці швидкі та спритні човни, щоб атакувати стрілецькі човни, проте уникайте близьких сутичок.	true
unit_class_tooltip_shp_art	Ці завдають великої шкоди з великої відстані, але їх можна нейтралізувати абордажем або тараном.	true
unit_class_tooltip_shp_trn	Повільні та з великим запасом місць, вони добре справляються зі своєю роботою. Пам'ятайте, що це не військові човни.	true
unit_class_tooltip_art_fix	Стаціонарна артилерія потужно б'є, проте слабка у ближньому бою.	true
unit_class_onscreen_art_fix	Стаціонарна артилерія	true
unit_class_onscreen_shp_trn	Вантажний човен	true
unit_class_onscreen_shp_art	Артилерійський човен	true
unit_class_onscreen_shp_stk	Таранний човен	true
unit_class_onscreen_inf_spr	Списоносці	true
unit_class_onscreen_art_fld	Польова артилерія	true
unit_class_onscreen_cav_shk	Ударна кіннота	true
unit_class_onscreen_cav_mis	Кінні стрільці	true
unit_class_onscreen_inf_mel	Піхота ближнього бою	true
unit_class_onscreen_shp_mel	Човен ближнього бою	true
unit_class_onscreen_shp_fir	Вогнеметний човен	true
unit_class_onscreen_shp_mis	Стрілецький човен	true
unit_class_onscreen_cav_mel	Кіннота ближ. бою	true
unit_class_onscreen_chariot	Колісниця	true
unit_class_onscreen_inf_mis	Піші стрільці	true
unit_class_onscreen_inf_pik	Піхота із ратищами	true
unit_class_onscreen_art_siege	Облогові машини	true
unit_class_tooltip_elph	Немає кращого за слона, щоб пробити стрій ворога. Вірний засіб зупинити слонів - палаючі снаряди та списи.	true
unit_class_tooltip_spcl	Несподіванка - це бойові тварини на полі.	true
unit_class_onscreen_com	Командування	true
unit_class_tooltip_com	Ця невелика варта захистить полководця, поки він воює.	true
unit_class_onscreen_spcl	Особливі	true
unit_class_onscreen_elph	Слони	true
