key	text	tooltip
#Loc;1;text/db/unit_description_historical_texts.loc		
unit_description_historical_texts_text_att_lon_light_tra_ger	Бірдин був невеликим торгівельним човном, більш маневровим, ніж кнор або інші, більші човни. Це означало, що вони більше покладаються на весла, ніж їхні важчі побратими, але все ще були достатньо легкими, щоб їх можна було витягнути на берег. Води навколо Данії були та залишаються неймовірно підступними; за оцінками, вони містять 20 000 уламків човнів, починаючи з кам'яного віку і до наших днів. До них належать низка довгих човнів, виявлених у гавані Роскілле, які зараз знаходяться в Музеї човнів вікінгів. Один із них називається "Скулелев 3" і вважається чудовим зразком бірдину.	true
unit_description_historical_texts_text_att_merc_mar_des_desert_corsairs_long	Морська війна в стародавньому світі була лише ще одним способом боротьби один з одним для піхоти. Найдавніші задокументовані морські битви — це бої стародавнього Китаю, битви «захоплення та гаки», де абордажні операції та ближній бій вирішували переможця. Під час Другої Пунічної війни Рим порушив панування Карфагена над хвилями, створивши «корвус» — міст, який дозволяв його солдатам переходити на борт іншого човна і битися. Отже, у давнину різниця між морськими та наземними битвами була невеликою, але в основному це було питання «морських ніг»(стійкості) — збереження рівноваги під час повалення супротивника.	true
unit_description_historical_texts_text_att_lib_light_art_cel	Невеликі гребні човни були корисні для рибальства та невеликих військових дій, дозволяючи військам безшумно веслувати на берег і зненацька нападати на ворога. У північній частині кельтської Британії найпоширенішою формою човна для такого використання була шкіра, натягнута на дерев’яний каркас. Відомий під різними назвами залежно від країни походження його виробника, зазвичай називався «currach»(куррах) або «curragh» в Ірландії чи Шотландії, але іноді «naomhog» — буквально «маленька свята жінка» — або «каное» на заході країна. В Вельсі, на острові Мен і вздовж північно-західного узбережжя Англії один і той же човен був відомий як «коракл». Більші версії також були побудовані, використовуючи дошки, але в іншому випадку дотримуючись тих самих методів і відомі як «curach adhmaid» або «bad iomartha», що означало «дерев’яний куррах» і «весловий човен» відповідно.	true
unit_description_historical_texts_text_att_dro_heavy_mis_dbl_sco_eas	Слово «дромон» походить від грецького слова «dromao», що означає «бігати», і застосовувалося до легких, швидких човнів, побудованих у різноманітних формах і розмірах. Екіпаж дромонів складався з 200 чоловік; 50 чоловік на нижній палубі, 100 на верхній та 50 бойових морських піхотинців. Вважається, що використовували трикутні вітрила, а не квадратні, і озброєний шпичаком на носі човна, а не тараном. Повідомлялося, що деякі з них мали зброю, схожу на труби, яка використовувалася для направлення грецького вогню на човни ворога.	true
unit_description_historical_texts_text_att_merc_mar_ger_germanic_artillery_crew_long	Морська війна в стародавньому світі була лише ще одним способом боротьби один з одним для піхоти. Найдавніші задокументовані морські битви — це бої стародавнього Китаю, битви «захоплення та гаки», де абордажні операції та ближній бій вирішували переможця. Під час Другої Пунічної війни Рим порушив панування Карфагена над хвилями, створивши «корвус» — міст, який дозволяв його солдатам переходити на борт іншого човна і битися. Отже, у давнину різниця між морськими та наземними битвами була невеликою, але в основному це було питання «морських ніг»(стійкості) — збереження рівноваги під час повалення супротивника.	true
unit_description_historical_texts_text_att_lib_light_art_ger	Лібурни були маленькими, компактними галерами, ідеальними для патрулювання римського узбережжя. Вони були названі на честь іллірійського племені, яке використовувало подібні човни під час набігів на римлян. Протягом ІІІ століття нашої ери Римська імперія зазнавала постійних нападів все сильніших варварських сил з півночі та сходу. На півночі пікти та скоти здійснювали набіги на Британію, сакси грабували з півночі та сходу, готи з’являлися у дедалі більшій кількості з Причорномор’я через тиск кочових племен зі Степу. До 477 р. н.е. вандали майже знищили римську фльоту і повністю захопили Середземне море, після чого західне море стало відоме як Wendelsae - «Море вандалів».	true
unit_description_historical_texts_text_att_lon_light_tra_cel	Протягом більшої частини історії єдиним способом переміщення вантажів і людей на великі відстані з будь-якою розумною швидкістю був шлях водою - це залишалося до винайдення залізниці. Торгівельні човни перевозили товари навколо Середземного моря, здебільшого дотримуючись узбережжя та вгору по прохідним річкам. Модель грецьких поселень і колонізації майже повністю базувалася на тому, куди могли дістатися грецькі човни. Також було значно легше рухати війська морем, ніж відправляти їх на великі відстані суходолом. Для таких завдань наймали або реквізували торгівельні човни, і це було додатковим стимулом для полководців швидко завершити кампанію. Війна завдала шкоди торгівлі та використала човни, необхідні для життєво важливих постачань харчів та товарів.	true
unit_description_historical_texts_text_cha_eng_fyrd_slingers	Праща — одна з найдавніших існуючих зброї дальнього бою, яка, ймовірно, датується ще до неоліту. Про його використання протягом історії свідчать зображення на ассирійських і єгипетських рельєфах, а також рельєфах пізніших часів, таких як колона Траяна та гобелен із Байє. Праща — це, по суті, відрізок матеріалу (зазвичай шкіра, але іноді розтягнутий свинячий міхур) із підставкою в центрі для утримання каменю. Потім метальник тримає кінці та обертає пращу, щоб створити імпульс. Витягуючи руку й одночасно збільшуючи силу обертання, а потім відпускаючи камінь у потрібний момент, за допомогою пращі камінь можна кинути на велику відстань — набагато більшу, ніж це було б можливо без неї. Багато молодих людей виросли, кидаючи каміння, знайдене в руслах річок Європи, що давало їм природну перевагу під час застосування навичок у бою. Скелі та каміння були в наявності, тому, хоча списи, можливо, потребували ремонту після битви, пращники завжди були добре забезпечені. Часто люди з низьким статусом у суспільстві, а отже, і в бою, пращники зазвичай займали позицію позаду ветеранів-воїнів, забезпечуючи загороджувальний вогонь, щоб заважати ворогові під час атаки. Натомість ветерани використовували свої щити, щоб захистити пращників. Праща могла бути ефективною зброєю проти близьких формувань ворога або кавалерії.	true
unit_description_historical_texts_text_att_nom_steppe_mounted_brigands_long	Далеко від того, щоб бути простими, неосвіченими варварами, різні степові племена мали велике культурне багатство. Спочатку займаючи землі між Каспійським морем і північними берегами Чорного моря, багато степових народів мігрували на захід, починаючи з VI століття до нашої ери. За географічним розташуванням вони були першими, хто зіткнувся з мародерськими, вбивчими гунами. Усі степовики були винятковими кавалеристами, блискучими у володінні складно-загнутими луками та смертельним рукопашним боєм. Поховання свідчать про те, що степові жінки були такими ж войовничими, як і їхні чоловіки, і, ймовірно, билися разом з ними в битві. Це цілком може бути джерелом грецьких міфів про амазонок-войовниць.	true
