key	text	tooltip
#Loc;1;text/db/vo_fmv_texts.loc		
vo_fmv_texts_text_cha_win_lombards	Європа розпалася. |Ведені псевдопророками та роздерті дурними примхами дрібних королів, |люди потрапили у ярмо війни, несправедливості та невігластва. |Але Ви скинули цих тиранів. Могутністю своєї зброї |Ви зруйнували їх престоли та принесли справжню віру, |справедливість і мир. |Тепер, в один голос, Ваш народ вітає Вас |- як першого зі справжніх королів Європи!	true
vo_fmv_texts_text_att_seal_3	Вони готувалися до війни. |Світом опанувала темрява. |Земля охолола, і вітер шепотів про смерть. |«І побачивши вороного коня, |і той, хто сидів на ньому, мав у руці терези...» |Народився Аттила. |Усі стали перед ним навколішки, |бо вони знали, що він проковтне землю і запалить гори. |Аттила народився з темряви та відчаю.	true
vo_fmv_texts_text_att_seal_5	Залиш надію. |Тільки віра врятує їх. |Праведні кричали від страху: |"Не слухайте псевдопророків та єретиків! Виганяйте їх геть, бо вони накличуть на нас батіг Божий" |"І коли Він зняв п'ятий замок, |я побачивши душі вбитих і слово Боже..." |Не буде милосердя грішникам.	true
vo_fmv_texts_text_att_seal_4	Темрява та відчай: |тінь йшла за сонцем на південь. |«І ось блідий кінь: |і ім'я йому, що сидить на ньому, — Смерть, |і пекло слідує за ним… » |Його гнів поглине світ, |і він із задоволенням спостерігає, як він горить. |Орда подивилася на Аттилу, і світ затремтів. |Залиш усі надії.	true
vo_fmv_texts_text_att_seal_6	Немає милосердя до грішних, |бо вони слабкі. |Збережи наш дух, |і збережи нас від вічної темряви. |«Він відкрив шостий замок, |і ось сонце почорніло |і місяць став кривавим...» |Захисти їх. |Віддайте їм свою силу. |Настав день відплати.	true
vo_fmv_texts_text_cha_win_asturias	Європа розпалася. |Ведені псевдопророками та роздерті дурними примхами дрібних королів, |люди потрапили у ярмо війни, несправедливості та невігластва. |Але Ви скинули цих тиранів. Могутністю своєї зброї |Ви зруйнували їх престоли та принесли справжню віру, |справедливість і мир. |Тепер, в один голос, Ваш народ вітає Вас |- як першого зі справжніх королів Європи!	true
vo_fmv_texts_text_cha_intro	До Вас було багато королів. |Багато імен, багато звань. |Люди, які повстали з нічого. |Люди, які ризикували всім, що любили. |Ведені славою і гідністю, надихали звичайних людей. |Ви думаєте, Ви інший? |Яким чином обрано? |Хто надав Вам право керувати? |Це були люди. |Це був Бог. |Це були самі Ви.	true
vo_fmv_texts_text_belisarius_intro	Я й не представляв кращої людини для цього… |Відбити колишню Західну Римську імперію від варварів? |Доставити її нашому улюбленому імператору на тарілочці?|Ці ігри мають бути на Вашу честь! |Коли я почув, що Юстиніан мав на увазі Вас, не можу сказати, що був здивований... |Ви ж були улюбленим охоронцем його дядька. |Не кажучи вже про Ваші досягнення у битві біля Дари...|І ті, як Ви придушили заворушення в Ніцці... |Ви останній із великих полководців, |і Ваша відданість явно не викликає сумнівів. |Однак… руїни Риму — це дике й непередбачуване місце,|багато чого може статися за межами досяжності цих гарних стін. |Чоловік може озирнутися довкола себе та подумати, можливо, що все належить йому. |Удачі... |Велізарій	true
vo_fmv_texts_text_cha_win_westphalia	Європа розпалася. |Ведені псевдопророками та роздерті дурними примхами дрібних королів, |люди потрапили у ярмо війни, несправедливості та невігластва. |Але Ви скинули цих тиранів. Могутністю своєї зброї |Ви зруйнували їх престоли та принесли справжню віру, |справедливість і мир. |Тепер, в один голос, Ваш народ вітає Вас |- як першого зі справжніх королів Європи!	true
