key	text	tooltip
#Loc;1;text/db/agent_string_subculture_overrides.loc		
agent_string_subculture_overrides_description_override_87	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_89	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_95	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_67	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_61	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_63	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_71	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_79	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_46	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_48	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_58	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_21	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_37	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_30	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_10	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_18	Behind every great man there stands a great woman.	true
agent_string_subculture_overrides_description_override_192	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_592	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_792	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_291	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_391	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_397	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_296	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_494	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_794	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_698	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_283	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_483	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_783	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_182	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_582	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_682	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_381	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_580	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_484	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_289	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_489	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_689	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_553	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_150	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_250	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_257	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_357	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_457	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_655	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_758	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_742	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_141	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_641	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_540	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_147	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_346	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_245	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_445	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_545	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_144	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_644	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_349	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_649	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_448	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_748	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_173	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_373	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_673	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_472	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_670	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_277	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_677	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
agent_string_subculture_overrides_description_override_575	A proponent of the faith and an inspiration to all, whose words can just as readily demoralise or distract.	true
