key	text	tooltip
#Loc;1;text/db/ancillaries.loc		
ancillaries_onscreen_name_att_eos_anc_companion_eastern_eunuch_guard	Eunuch Guard	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_gian	Tattooed Madman	true
ancillaries_onscreen_name_att_cel_anc_barbarian_companion_hero_old	Heroic Veteran	true
ancillaries_colour_text_att_sp_item_priest_amulet_of_woden	Woden! Woden! Grant me your vision!	true
ancillaries_onscreen_name_att_cha_companion_all_general_foodtaster	Foodtaster	true
ancillaries_colour_text_att_cha_apparel_all_general_mailcoat_short	Shorter and more lightweight than its heavier counterpart - the sort of shirt one hopes to be wearing when ambushed.	true
ancillaries_colour_text_att_sp_apparel_general_robe_of_glory	The angels themselves guide the righteous body to the New Paradise.	true
ancillaries_onscreen_name_mk_companion_all_general_shieldbearer_east	Shieldbearer	true
ancillaries_onscreen_name_att_sp_item_priest_urceus	Urceus	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_thorns	Clearly it is the work of God, else these thorns would have decayed by now.	true
ancillaries_onscreen_name_att_cha_apparel_all_general_mail_curtain	Aventail	true
ancillaries_onscreen_name_att_sp_item_veteran_verutum	Verutum	true
ancillaries_colour_text_att_sp_item_general_wooden_lathed_bow	With lathes of wood added, the power of the bow increases greatly.	true
ancillaries_colour_text_att_sp_item_general_ciborium_	All right, which one of you has been at the Eucharist again?	true
ancillaries_colour_text_att_sp_item_priest_depiction_of_the_first_creation	The mother of life sent man to battle the demon of greed.	true
ancillaries_onscreen_name_att_item_barbarian_golden_arm_ring	Golden Arm Ring	true
ancillaries_onscreen_name_att_companion_barbarian_childhood_friend	Childhood Friend	true
ancillaries_colour_text_att_cha_item_frankish_general_relic_splinter	Possession of which brings the bearer closer to God.	true
ancillaries_onscreen_name_att_sp_item_priest_gladiator_sweat	Gladiator Sweat	true
ancillaries_colour_text_att_sp_apparel_priest_sudreh	This shirt, the white of the asha, leads me along the good path.	true
ancillaries_colour_text_att_cha_companion_avar_general_gepid_slave	The defeated lose all rights and, justly, serve their subjugators.	true
ancillaries_onscreen_name_att_sp_companion_priest_tatar_ubyr	Tatar Ubyr	true
ancillaries_onscreen_name_mk_item_all_general_decorated_koran_ibadi	Decorated Koran	true
ancillaries_onscreen_name_att_sp_apparel_priest_saints_cloak	Saint's Cloak	true
ancillaries_onscreen_name_att_cha_item_all_general_shield_embossed	Escutcheon	true
ancillaries_colour_text_att_sp_apparel_general_red_robes_of_marriage	We celebrate the union of these two under the eternal blue sky.	true
ancillaries_colour_text_att_sp_companion_priest_greco_roman_convert	A new follower is an eager assistant.	true
ancillaries_onscreen_name_att_cha_companion_all_general_drillmaster	Drillmaster	true
ancillaries_onscreen_name_mk_companion_all_general_shieldbearer_euro	Shieldbearer	true
ancillaries_colour_text_att_sp_companion_general_heroic_veteran_slavs	Remember, if your head comes away from your neck, it's over.	true
ancillaries_colour_text_att_eos_anc_companion_eastern_govt_office_agriculture	Control of the food supply is a position of vital importance.	true
ancillaries_colour_text_att_sp_companion_general_local_guides	The threat of crucifixion can really focus the mind.	true
ancillaries_colour_text_att_sp_apparel_general_howdah	A bed carried by a camel?	true
ancillaries_onscreen_name_att_sp_item_priest_statuette_of_ziu	Statuette of Ziu	true
ancillaries_onscreen_name_att_sp_apparel_veteran_raiders_helm	Raider's Helm	true
ancillaries_colour_text_att_sp_companion_general_zoroastrian_follower	I say you are Lord, and I should know. I've followed a few.	true
ancillaries_colour_text_att_cha_companion_cordoba_general_khurusani_warrior	Resplendant and prestigious, the Khurusani bring an air of sophistication to proceedings	true
ancillaries_colour_text_att_sp_apparel_veteran_hunters_cloak	Able to stalk the forest unseen and unheard.	true
ancillaries_onscreen_name_att_sp_companion_priest_bodyguard	Bodyguard	true
ancillaries_colour_text_att_sp_companion_general_priestess_of_freyja	In beauty, death; in life, war: the Goddess looks to all things.	true
ancillaries_colour_text_att_sp_item_veteran_chest_of_coins	Everyone loves treasure chests. Well, maybe not so much the chests themselves…	true
ancillaries_colour_text_att_sp_companion_general_noble_steed	A prince among horses to carry a leader of men.	true
ancillaries_onscreen_name_att_sp_companion_priest_priest_of_jupiter_optimus_maximus	Priest of Jupiter Optimus Maximus	true
ancillaries_onscreen_name_att_sp_apparel_priest_solar_wheel_amulet	Solar Wheel Amulet	true
ancillaries_colour_text_att_sp_companion_general_sagittarius_slavs	Skills learned in the arena are useful on the battlefield.	true
ancillaries_colour_text_att_sp_apparel_general_druids_cloak	The white represents purity, the mud stains are where I slept last night.	true
