key	text	tooltip
#Loc;1;text/db/campaign_battle_presets.loc		
campaign_battle_presets_onscreen_name_coastal_preset_01	Coastline	true
campaign_battle_presets_onscreen_name_coastal_preset_02	Waterfront	true
campaign_battle_presets_onscreen_name_att_western_city_rome	Roma	true
campaign_battle_presets_onscreen_name_cha_port_small_01	Genoa	true
campaign_battle_presets_onscreen_name_cha_land_01	Al-Andalus	true
campaign_battle_presets_onscreen_name_cha_land_03	Po Valley	true
campaign_battle_presets_onscreen_name_cha_land_02	Saxony	true
campaign_battle_presets_onscreen_name_att_nordic_port_a_minor	Alabu	true
campaign_battle_presets_onscreen_name_att_nordic_port_b_minor	Flevum	true
campaign_battle_presets_onscreen_name_bel_town_01	Astorga	true
campaign_battle_presets_onscreen_name_bel_town_02	Thagaste	true
campaign_battle_presets_onscreen_name_bel_port_01	Carthago Nova	true
campaign_battle_presets_onscreen_name_bel_port_02	Tingis	true
campaign_battle_presets_onscreen_name_att_nordic_city_a_minor	Virunum	true
campaign_battle_presets_onscreen_name_att_nordic_city_b_minor	Petrodava	true
campaign_battle_presets_onscreen_name_att_nordic_city_c_minor	Belz	true
campaign_battle_presets_onscreen_name_bel_city_02	Ravenna	true
campaign_battle_presets_onscreen_name_bel_city_03	Roma	true
campaign_battle_presets_onscreen_name_bel_city_01	Carthago	true
campaign_battle_presets_onscreen_name_cha_city_04	Paris	true
campaign_battle_presets_onscreen_name_cha_city_03	Winchester	true
campaign_battle_presets_onscreen_name_cha_city_02	Cordoba	true
campaign_battle_presets_onscreen_name_cha_city_01	Ravenna	true
campaign_battle_presets_onscreen_name_att_western_city_port_ravenna	Ravenna	true
campaign_battle_presets_onscreen_name_bel_land_01	African Coast	true
campaign_battle_presets_onscreen_name_bel_land_02	Italia	true
campaign_battle_presets_onscreen_name_bel_land_03	Hispania	true
campaign_battle_presets_onscreen_name_bel_land_04	Gaul	true
campaign_battle_presets_onscreen_name_cha_port_01	Ravenna	true
campaign_battle_presets_onscreen_name_cha_town_01	Wurzburg	true
campaign_battle_presets_onscreen_name_cha_town_02	Coimbra	true
campaign_battle_presets_onscreen_name_cha_town_03	Angouleme	true
campaign_battle_presets_onscreen_name_att_eastern_city_port_constantinople	Constantinople	true
campaign_battle_presets_onscreen_name_att_eastern_port_constantinople	Constantinople	true
campaign_battle_presets_onscreen_name_ambush_preset_02	Wetland	true
campaign_battle_presets_onscreen_name_ambush_preset_01	Ridge	true
campaign_battle_presets_onscreen_name_land_preset_04	Pyrenees 	true
campaign_battle_presets_onscreen_name_land_preset_05	Swamp	true
campaign_battle_presets_onscreen_name_land_preset_01	Plains	true
campaign_battle_presets_onscreen_name_land_preset_02	Cobblestone	true
campaign_battle_presets_onscreen_name_land_preset_03	Woodland	true
campaign_battle_presets_onscreen_name_naval_preset_01	Cap Bon	true
campaign_battle_presets_onscreen_name_naval_preset_03	Mediterranean	true
campaign_battle_presets_onscreen_name_naval_preset_02	Black Sea	true
campaign_battle_presets_onscreen_name_river_preset_01	The Tiber	true
campaign_battle_presets_onscreen_name_river_preset_02	The Nile	true
