key	text	tooltip
#Loc;1;text/db/character_skills.loc		
character_skills_localised_name_att_skill_background_champion_elite_nomadic	Great Warrior	true
character_skills_localised_name_cha_skill_general_motivator	Motivator	true
character_skills_localised_description_att_skill_background_general_merchant_roman	This man cares little for nation, allegiance or creed. Only for coin.	true
character_skills_localised_name_att_trad_army_roman_4_nomad_hunters	Nomad Hunters	true
character_skills_localised_description_att_skill_background_spy_agriculture_nomadic	Some animals are more equal than others.	true
character_skills_localised_name_mk_skill_priest_belief_islam	Beliefs	true
character_skills_localised_description_att_trad_navy_roman_1_coastal_patrol	In home waters, these sailors remain unrivalled.	true
character_skills_localised_name_att_skill_background_champion_marine_eastern	Corsair	true
character_skills_localised_name_mk_skill_priest_belief_pagan	Beliefs	true
character_skills_localised_description_att_skill_background_priest_militarist_eastern	Well, I suppose peace is AN option, but so is bloody dancing!	true
character_skills_localised_description_cha_trad_army_cavalry_training	Only from the great aristocratic families are the best generals from.	true
character_skills_localised_name_att_skill_background_champion_scout_nomadic	Pathfinder	true
character_skills_localised_name_cha_skill_priest_back_elder	Elder	true
character_skills_localised_description_cha_trad_army_looters	Leave nothing behind but flesh for the carrion.	true
character_skills_localised_name_cha_skill_spy_local_agents	Local Agents	true
character_skills_localised_description_att_agent_skills_champion_skirmishing	A continuous barrage of missiles consistently wears an enemy down to dust.	true
character_skills_localised_description_att_skill_background_champion_standard_bearer_eastern	The banner of a victorious, resplendent nation is raised proudly in this man's hands.	true
character_skills_localised_name_att_skill_background_wife_roman_noble	Noble	true
character_skills_localised_description_bel_trad_army_roman_3_attacking_enemy	If you’re on their soil, the fight is almost done before a single blow is struck.	true
character_skills_localised_name_att_skill_background_champion_aide_camp_roman	Tribunus Militum	true
character_skills_localised_description_att_skill_background_priest_benefactor_eastern	When the cat is away, this man makes sure the mice stay entirely where they should.	true
character_skills_localised_description_att_trad_army_eastern_4_savaran_regime	With nobility at the fore, the sea of cavalry consumes all before it.	true
character_skills_localised_name_att_skill_background_general_handler_eastern	Handler	true
character_skills_localised_name_att_trad_army_roman_4_heavy_training	Heavy Training	true
character_skills_localised_description_att_trad_army_barbarian_4_bane_east	Glittering towers fall before the oathsworn sword.	true
character_skills_localised_description_cha_trad_navy_double_planking	What if, instead of one plank of wood, they had to get past… two!	true
