key	text	tooltip
#Loc;1;text/db/commodity_unit_names.loc		
commodity_unit_names_plural_barrels	Barrels	true
commodity_unit_names_singular_logs	Log	true
commodity_unit_names_plural_loaves	Loaves	true
commodity_unit_names_singular_chests	Chest	true
commodity_unit_names_plural_chunks	Chunks	true
commodity_unit_names_singular_pounds	Pound	true
commodity_unit_names_plural_bundle	Bundles	true
commodity_unit_names_plural_hundreds	Hundreds	true
commodity_unit_names_plural_sextarius	Sextarius	true
commodity_unit_names_plural_kilnful	kilnful	true
commodity_unit_names_singular_bundle	Bundle	true
commodity_unit_names_plural_amphora	Amphorae	true
commodity_unit_names_plural_pounds	Pounds	true
commodity_unit_names_singular_cask	Cask	true
commodity_unit_names_plural_chests	Chests	true
commodity_unit_names_singular_loaves	Loaf	true
commodity_unit_names_singular_chunks	Chunk	true
commodity_unit_names_singular_bales	Bale	true
commodity_unit_names_singular_ounce	Ounce	true
commodity_unit_names_singular_slabs	Slab	true
commodity_unit_names_singular_kilnful	kilnful	true
commodity_unit_names_singular_ingot	Ingot	true
commodity_unit_names_singular_amphora	Amphora	true
commodity_unit_names_singular_tusks	Tusk	true
commodity_unit_names_singular_sacks	Sack	true
commodity_unit_names_singular_barrels	Barrel	true
commodity_unit_names_singular_sextarius	Sextarius	true
commodity_unit_names_plural_cask	Casks	true
commodity_unit_names_singular_hundreds	Hundred	true
commodity_unit_names_plural_ounce	Ounces	true
commodity_unit_names_plural_slabs	Slabs	true
commodity_unit_names_plural_bales	Bales	true
commodity_unit_names_plural_sacks	Sacks	true
commodity_unit_names_plural_tusks	Tusks	true
commodity_unit_names_plural_logs	Logs	true
commodity_unit_names_plural_ingot	Ingots	true
