key	text	tooltip
#Loc;1;text/db/event_feed_strings.loc		
event_feed_strings_text_att_event_feed_string_faction_succession_description_king_of_kings	Our ruler is dead, and the mantle of leadership has been passed.\\n\\nLong may he live!	true
event_feed_strings_text_att_event_feed_string_faction_technology_researched_secondary_detail	#(technology.description)\\n	true
event_feed_strings_text_att_event_feed_string_character_born_legitimate_description_female	Joyous occasion! These family members have been blessed with a daughter.	true
event_feed_strings_text_att_event_feed_string_scripted_event_independence_secondary_detail	History is full of the stories of great men wasted under the command of weak rulers. Justinian, alas, has proved himself just such a lord – his jealousy hampering Belisarius at every turn, eventually becoming a threat to his life and position. The Emperor may have been born to rule, but Belisarius was also born with a destiny. He will restore the faded glory of the Western Empire, and any impediments will be left behind. Justinian is furious at this betrayal, and overcoming him will be as much of a challenge as the conquest of Italy. Nonetheless, Belisarius embraces the task. Unleashed, he will bring the world to its knees!	true
event_feed_strings_text_att_event_feed_string_scripted_bel_olives_buildings_secondary_detail	Practice makes perfect. Your people's olive-growing expertise remains unmatched anywhere in the world.	true
event_feed_strings_text_att_event_feed_string_character_ancillary_all_primary_detail	#(ancillary)	true
event_feed_strings_text_att_event_feed_string_scripted_event_military_building_title	Bards' Hall Unlocked	true
event_feed_strings_text_att_event_feed_string_diplomacy_treaty_broken_trade_agreement_dissolved_description	Changing circumstances have resulted in the need for us to dissolve trade relations with this faction.	true
event_feed_strings_text_att_event_feed_string_diplomacy_faction_destroyed_description_theirs	This faction has been destroyed by their enemies.	true
event_feed_strings_text_att_event_feed_string_diplomacy_trespassing_secondary_detail	Trespassing near: #(force.region)\\n\\nOwning faction: #(faction)\\n	true
event_feed_strings_text_att_event_feed_string_scripted_bel_hilderic_imprisoned_primary_detail	 	true
event_feed_strings_text_att_event_feed_string_provinces_settlement_sacked_description	The enemy scourge have ransacked our settlement, leaving desolation in their wake!	true
event_feed_strings_text_att_event_feed_string_character_dies_suspicious_description	Our subject has died under suspicious circumstances. Beware enemy agents.	true
event_feed_strings_text_att_event_feed_string_diplomacy_war_coordination_target_unavailable_primary_details	Targets Lost	true
event_feed_strings_text_att_event_feed_string_plague_starts_secondary_detail	Location: #(region)	true
event_feed_strings_text_att_event_feed_string_provinces_building_all_primary_detail	#(building)	true
event_feed_strings_text_att_event_feed_string_agent_action_success_description_male	Our agent has accomplished his mission with due diligence and loyalty!	true
event_feed_strings_text_att_event_feed_string_plague_force_from_region_description	Our forces have contracted the plague whilst passing through infected territory!	true
event_feed_strings_text_att_event_feed_string_provinces_building_demolished_secondary_detail	#(building.region_and_province)	true
event_feed_strings_text_att_event_feed_string_faction_succession_regency_description_roman	Our ruler has passed away, but his designated heir is too young to assume the mantle of leadership. As such, a regent has been appointed until such time when he is old enough to rule.	true
event_feed_strings_text_att_event_feed_string_provinces_settlement_region_and_province_primary_detail	#(settlement.region_and_province)	true
event_feed_strings_text_att_event_feed_string_scripted_event_religious_info_primary_detail	New Religions	true
event_feed_strings_text_att_event_feed_string_diplomacy_war_coordination_target_all_primary_detail	#(faction.known_to)	true
event_feed_strings_text_att_event_feed_string_scripted_event_avar_khaganate_primary_detail	[ph] Avar Khaganate Formed Primary Detail	true
event_feed_strings_text_att_event_feed_string_scripted_event_primary_detail	#(primary_detail)	true
event_feed_strings_text_att_event_feed_string_military_ambusher_description	We have detected a foreign force attempting to lay an ambush!	true
event_feed_strings_text_att_event_feed_string_character_loyalty_low_secondary_detail	Rank: #(character.rank)\\n\\nLocation: #(character.region_and_province)\\n	true
event_feed_strings_text_att_event_feed_string_plague_region_from_region_description	Plague has spread to our settlement from nearby lands and infected the populace!	true
event_feed_strings_text_att_event_feed_string_horde_building_demolished_description	This building has been demolished. The population surplus once invested in it may now be applied elsewhere.	true
event_feed_strings_text_att_event_feed_string_conquest_siege_established_description_theirs	An enemy force has begun its investment of one of our settlements! We are surrounded!	true
event_feed_strings_text_att_event_feed_string_diplomacy_treaty_broken_client_state_manipulated_description	Our vassal has declared independence, egged on by a manipulative third-party.	true
event_feed_strings_text_att_event_feed_string_faction_event_mission_aborted_secondary_detail	#(mission.description)	true
event_feed_strings_text_att_event_feed_string_provinces_settlement_razed_theirs_description	We have stripped this enemy settlement of its riches and razed it to the ground, as is the right of the conqueror.	true
event_feed_strings_text_att_event_feed_string_agent_action_all_primary_detail	#(action_info)	true
event_feed_strings_text_att_event_feed_string_military_army_rank_gained_description_nomadic	The brave warriors of this horde have known many victories, establishing a legacy for which they will be long remembered.	true
event_feed_strings_text_att_event_feed_string_diplomacy_secondary_detail_recipient_region_province	Capital: #(recipient.region_and_province)\\n	true
event_feed_strings_text_att_event_feed_string_scripted_bel_belisarius_confederation_secondary_detail	The Western Roman Empire has risen in glory once more! For years it has slumbered: diluted, profaned and finally crushed by barbarian hordes. But it has lived on, sustained by the aspirations of the true Romans who sought to restore it through the ages.\\n\\nOther Emperors have tried and failed, dragged down by the weight of this task. Only the spiritual successor to the great conquerors of old, the likes of Julius Caesar, Augustus and Marcus Aurelius, could succeed in this task. Now, just such a man has risen.\\n\\nAll hail Belisarius, Lord of the Western Empire!	true
event_feed_strings_text_att_event_feed_string_faction_horde_ends_description	It is time for a new beginning. Our people have settled once more.	true
event_feed_strings_text_att_event_feed_string_faction_political_party_power_change_secondary_detail	Current Power: #(party.power)%	true
event_feed_strings_text_att_event_feed_string_scripted_event_horde_info_title	Empires of Sand	true
event_feed_strings_text_att_event_feed_string_faction_campaign_chapter_objective_complete_secondary_detail	#(mission.description)\\n\\nBonus objectives complete: #(mission.completed_bonus_objectives)/#(mission.total_bonus_objectives)\\n	true
event_feed_strings_text_att_event_feed_string_military_army_rank_gained_description	The brave men of this army have known many victories, establishing a legacy for which they will be long remembered.	true
event_feed_strings_text_att_event_feed_string_conquest_sea_region_all_primary_detail	#(region)	true
event_feed_strings_text_att_event_feed_string_diplomacy_faction_encountered_secondary_detail	Capital: #(faction_2.region_and_province)\\n	true
