key	text	tooltip
#Loc;1;text/db/factions.loc		
factions_clan_summary_name_when_shogun_cha_fact_rebel_saxon	placeholder	true
factions_senator_text_gain_n_mk_fact_muscovy	Support: +%n  Court Nobles	true
factions_senator_text_lose_n_mk_fact_swabia	Support: -%n Court Nobles	true
factions_senator_text_lose_1_mk_fact_swabia	Support: -%n Court Noble	true
factions_senator_text_n_out_of_n_mk_fact_separatists_seljuks	%n of %n Court Nobles	true
factions_screen_name_when_shogun_mk_fact_separatists_trier	placeholder	true
factions_senator_text_lose_n_mk_fact_makuria	Support: -%n Court Nobles	true
factions_screen_name_mk_fact_rebels_north_italians	Lombard Rebels	true
factions_senator_text_n_out_of_n_mk_fact_hospitaller	%n of %n Court Nobles	true
factions_senator_text_lose_n_mk_fact_serbia	Support: -%n Senators	true
factions_senator_text_lose_1_mk_fact_serbia	Support: -%n Senator	true
factions_senator_text_lose_n_mk_fact_bavaria	Support: -%n Senators	true
factions_senator_text_gain_n_mk_fact_aleppo	Support: +%n Nobles	true
factions_senator_text_gain_1_mk_fact_aleppo	Support: +%n Nobles	true
factions_defend_desc_att_fact_iuti	You are defending against the Jutes!	true
factions_clan_summary_name_when_shogun_cha_fact_rebel_muslim	placeholder	true
factions_attack_desc_mk_fact_rebels_berber	You are attacking Berber Rebels!	true
factions_screen_name_att_fact_separatist_visigothic	Visigothic Separatists	true
factions_screen_name_when_shogun_mk_fact_rebels_rus	placeholder	true
factions_senator_text_gain_n_mk2_fact_separatists_austria	Support: +%n  Court Nobles	true
factions_defend_desc_mk_fact_rebels_steppe	You are defending against Steppe Rebels!	true
factions_senator_text_gain_n_mk2_fact_separatists_brabant	Support: +%n  Court Nobles	true
factions_clan_summary_name_mk_fact_earldoms	placeholder	true
factions_senator_text_n_out_of_n_mk2_fact_castile	%n of %n Court Nobles	true
factions_screen_name_mk2_fact_separatists_timurids	Timurid Pretenders	true
factions_senator_text_gain_n_mk2_fact_separatists_ireland	Support: +%n  Court Nobles	true
factions_screen_adjective_mk2_fact_separatists_epirus	Epirote	true
factions_clan_summary_name_when_shogun_cha_fact_papal_states	placeholder	true
factions_senator_text_lose_1_mk2_fact_schwyz	Support: -%n Senator	true
factions_defend_desc_mk_fact_rebels_bulgar	You are defending against Bulgarian Rebels!	true
factions_attack_desc_mk_fact_rebels_nordic	You are attacking Nordic Rebels!	true
factions_clan_summary_name_cha_fact_sicily	placeholder	true
factions_screen_name_cha_fact_avars	Avars	true
factions_senator_text_gain_n_mk_fact_burgundy	Support: +%n Senators	true
factions_senator_text_gain_n_mk_fact_marinids	Support: +%n  Court Nobles	true
factions_clan_summary_name_mk2_fact_brandenburg	placeholder	true
factions_senator_text_lose_1_mk_fact_bavaria	Support: -%n Senator	true
