key	text	tooltip
#Loc;1;text/db/mkscript_dilemmas.loc		
dilemmas_localised_description_mk_dilemma_byzantium_greek_fire	Reserves of liquid fire have begun to dwindle despite your best efforts, so the time has come to decide: should you pay the exorbitant sum required to manufacture more, or is it perhaps time to lay this wonder weapon to bed once and for all?	true
dilemmas_localised_description_mk_dilemma_byzantium_greek_fire_explosion	Grave news! An explosion has severely damaged the Kontoskalion at Constantinople, caused by the accidental ignition of greek fire reserves. Not only will the costs of repair for the structual damage be high, but the cost of re-formulating and re-producing the greek fire that was lost will be even higher.	true
dilemmas_localised_description_mk_dilemma_crusades_join_fifth_crusade	The time has come to prove yourself a true servant of the Lord. His Holiness, Pope Honorius III now calls upon every able-bodied Christian in Europe to answer his call to arms. The main target of the crusade is Cairo, and if taken, the crusade may proceed into the Holy Land and liberate it from infidel hands once and for all. Joining the crusade will be a substantial commitment, though not without rewards, but abstaining will surely trouble the Pope.	true
dilemmas_localised_description_mk_dilemma_crusades_owned_target	With the capture of the Crusade's target from the infidels, the Crusaders have clearly triumphed. However, the Pope now demands that all titles seized during the crusade be transferred to the Kingdom of Jerusalem, or alternatively that you push on to Jerusalem and take the city for the Kingdom of Jerusalem.	true
dilemmas_localised_description_mk_dilemma_hre_border_dispute	A border dispute between the faction1 and the faction2 has recently flared up into open conflict between the two factions. As the emperor, you must choose a faction to support in order to end this dispute.	true
dilemmas_localised_description_mk_dilemma_hre_imperial_diet	An imperial diet has been called, with representatives of the various member-states of the empire gathering to deliberate matters of policy. However, negotiations between the representatives of the faction1 and the faction2 have rapidly devolved into fiery arguments. You may choose to support either faction's case, to forge a compromise, or to push forward your own agenda irrespective of the other factions.	true
dilemmas_localised_description_mk_dilemma_hre_imperial_immediacy	A subject of the faction1 has petitioned you to grant it imperial immediacy, thereby bypassing their lord and placing them directly under your authority. Such a move would strengthen your authority as emperor, but would likely provoke the faction1.	true
dilemmas_localised_description_mk_dilemma_hre_noble_conflict	Nobles from the families of the faction1 and the faction2 have been embroiled in a dispute for some time, and now both sides seek to present their case to you. As the emperor, you have the power to resolve this dispute, although not without angering someone in the process.	true
dilemmas_localised_description_mk_dilemma_hre_pretender_nomination	Dissatisfied with the reigning Holy Roman Emperor's piety or rule, the Pope has decided to appoint a champion of his will as a pretender to the Imperial Throne. His Holiness has chosen you, as the strongest power among all of Christendom, to take your rightful place as monarch of the Holy Roman Emperor by conquest. Accepting His Holiness' task will surely lead to war with the Holy Roman Empire...	true
dilemmas_localised_description_mk_dilemma_islam_hajj		
dilemmas_localised_description_mk_dilemma_rome_attacked_christian	Rome, the center of the world, has fallen to your armies. The Pope is now at your mercy. Deposing him and destroying his instution will surely anger all of Christendom, but you will free yourself from his power. On the other hand, allowing the Pope to remain in power in the Vatican will negate any serious qualms about your conquest of Rome, but on the other hand, the Pope will be in power.	true
dilemmas_localised_description_mk_dilemma_story_aragon_albigensian_intervention	Having defeated the Moors in the Battle of Las Navas de Tolosa, the Pope now requests your aid to the North in the crusade against the Cathars. However, France's influence over Languedoc grows and it is likely that the King of France intends to annex the entirety of the region to his Kingdom. As such, multiple options now lay open to you: to help Toulouse fight off the Albigensian Crusade by monetary assistance or more direct means, to ignore the situation, or to pounce upon Toulouse whilst it is weak and secure its lands before the French are able.	true
dilemmas_localised_description_mk_dilemma_story_england_magna_carta	Discontented and outright rebellious nobles have now mustered the audacity to demand of you certain restrictions on your power. Among them are the establishment of a parliament and lowered taxes on the nobility. Should you choose to sign it, war may be avoided, but refusing to sign it will make war an inevitability.  	true
dilemmas_localised_description_mk_dilemma_story_england_magna_carta_renew	With the passing of rulership to the new king, the time has come to re-iterate the crown's commitment to the Magna Carta. Failure to do so will certainly stir up discontented nobles.	true
dilemmas_localised_description_mk_dilemma_story_england_war_with_france	Whispers have alerted the King that nobles are conspiring, thinking him weak. The King of England must prove his worth and return prestige to the English crown. France has inflicted great defeats on the Angevin dynasty in recent years, returning the favour would quell these rebels, if only momentarily.	true
