key	text	tooltip
#Loc;1;text/db/mkscript_effect_bundles.loc		
effect_bundles_localised_description_mk_bundle_crusade_target	A Catholic crusade is targetting your lands! Your men are motivated to defend their homeland from the infidels to the death if necessary.	true
effect_bundles_localised_title_mk_bundle_hajj_did_not_go	A Great Sin	true
effect_bundles_localised_description_mk_bundle_the_new_emperor	A new emperor now reigns in the Holy Roman Empire, having usurped the title with the backing of the Pope.	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_22	An Occupied Empire	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_1	Annexing Vassal - 1 Region	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_10	Annexing Vassal - 10-15 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_15	Annexing Vassal - 15-20 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_2	Annexing Vassal - 2 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_20	Annexing Vassal - 20-25 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_25	Annexing Vassal - 25+ Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_3	Annexing Vassal - 3 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_4	Annexing Vassal - 4 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_5	Annexing Vassal - 5 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_6	Annexing Vassal - 6 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_7	Annexing Vassal - 7 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_8	Annexing Vassal - 8 Regions	true
effect_bundles_localised_title_mk_bundle_annex_vassal_regions_9	Annexing Vassal - 9 Regions	true
effect_bundles_localised_title_mk_bundle_army_armenia_formed	Armenia has finally been reconquered by the true Armenians - Now they are poised to become a true power!	true
effect_bundles_localised_title_mk_bundle_christendoms_outcry	Christendom’s Outcry	true
effect_bundles_localised_title_mk_bundle_christian_dejection	Christian Dejection	true
effect_bundles_localised_description_mk_bundle_byzantium_formed	Constantinople is now back in Roman hands. No pretender may now claim the imperial title - only you can now be called Emperor - Basileios - of the Romans.	true
effect_bundles_localised_title_mk_bundle_army_crusade_defense	Crusade Defense Force	true
effect_bundles_localised_title_mk_bundle_crusade_target	Crusade Target!	true
effect_bundles_localised_title_mk_bundle_army_crusade	Crusader Army	true
effect_bundles_localised_description_mk_bundle_story_hungary_cumans	Cuman migrants have now settled in your land, allowing the recruitment of their units.	true
effect_bundles_localised_title_mk_bundle_crusade_target_lost	Defeat in a Crusade!	true
effect_bundles_localised_description_mk_bundle_population_no_replenishment	Due to a lack of required manpower in this force's region for one or more of its population classes, it is no longer able to replenish.	true
effect_bundles_localised_description_mk_bundle_population_no_replenishment_sea	Due to being at sea, this non-naval force is no longer able to replenish.	true
effect_bundles_localised_title_mk_bundle_pope_excommunication	Excommunicated!	true
effect_bundles_localised_title_mk_bundle_crusade_failure	Failed Crusade	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_13	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_14	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_15	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_16	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_17	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_18	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_19	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_description_mk_effect_bundle_hre_imperial_expansionism_20	Few independent members of the Holy Roman Empire remain, most being occupied by your forces.	true
effect_bundles_localised_title_mk_bundle_polish_kingdom_formed	Flight of the Piast Eagle	true
effect_bundles_localised_title_mk_bundle_story_hungary_golden_bull_1222	Golden Bull of 1222	true
effect_bundles_localised_title_mk_bundle_byz_greek_fire_lost	Greek Fire Lost	true
effect_bundles_localised_description_mk_bundle_horde_settle_reduced_upkeep	Having recently been settled, your armies are content with lower upkeep due to the loot and plunder they have amassed, though this will not last forever.	true
effect_bundles_localised_description_mk_bundle_horde_settle_reduced_upkeep_ai	Having recently been settled, your armies are content with lower upkeep due to the loot and plunder they have amassed, though this will not last forever.	true
effect_bundles_localised_description_mk_bundle_pope_favour_0	His Holiness believes the flames of eternal damnation are too good for you.	true
effect_bundles_localised_description_mk_bundle_pope_favour_5	His Holiness feels neither ill will or good will towards you.	true
effect_bundles_localised_description_mk_bundle_pope_favour_6	His Holiness feels no ill will against you.	true
effect_bundles_localised_description_mk_bundle_pope_favour_3	His Holiness has found your faith wanting.	true
effect_bundles_localised_description_mk_bundle_pope_favour_4	His Holiness has little good to say about you.	true
effect_bundles_localised_description_mk_bundle_pope_favour_1	His Holiness hopes there is place amongst the flames of eternal damnation for you.	true
effect_bundles_localised_description_mk_bundle_pope_favour_9	His Holiness is inspired by your faith.	true
effect_bundles_localised_description_mk_bundle_pope_favour_8	His Holiness is pleased by your faith.	true
effect_bundles_localised_description_mk_bundle_pope_favour_7	His Holiness is satisfied by your faith.	true
effect_bundles_localised_description_mk_bundle_pope_favour_2	His Holiness will not suffer you to be mentioned in his presence.	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_encourage_development	Imperial Decree - Encourage Development	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_encourage_development	Imperial Decree - Encourage Development	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_expand_bureaucracy	Imperial Decree - Expand The Bureaucracy	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_expand_bureaucracy	Imperial Decree - Expand The Bureaucracy	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_lessen_tax_burdens	Imperial Decree - Lessen Tax Burdens	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_lessen_tax_burdens	Imperial Decree - Lessen Tax Burdens	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_imperial_levies	Imperial Decree - Muster Imperial Levies	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_imperial_levies	Imperial Decree - Muster Imperial Levies	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_patronize_universities	Imperial Decree - Patronize Universities	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_patronize_universities	Imperial Decree - Patronize Universities	true
effect_bundles_localised_title_mk_effect_bundle_hre_decree_promote_commerce	Imperial Decree - Promote Commerce	true
effect_bundles_localised_title_mk_effect_bundle_hre_member_promote_commerce	Imperial Decree - Promote Commerce	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_10	Imperial Expansionism - 10 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_11	Imperial Expansionism - 11 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_12	Imperial Expansionism - 12 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_13	Imperial Expansionism - 13 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_14	Imperial Expansionism - 14 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_15	Imperial Expansionism - 15 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_16	Imperial Expansionism - 16 Regions	true
effect_bundles_localised_title_mk_effect_bundle_hre_imperial_expansionism_17	Imperial Expansionism - 17 Regions	true
