key	text	tooltip
#Loc;1;text/db/mkscript_uied_component_texts.loc		
uied_component_texts_localised_string_Achievement_Progress_Text	Achievements Unlocked: 0/0 (0%)	true
uied_component_texts_localised_string_Achievement_Unlocked_Text	Achievement Unlocked!	true
uied_component_texts_localised_string_button_accept_Tooltip_1000043	Accept & Open	true
uied_component_texts_localised_string_button_accept_Tooltip_1000045	Accept & Run Executable	true
uied_component_texts_localised_string_button_annex_vassal_Tooltip_100001	Annex Vassal||Click this button to annex the selected faction. If greyed out, the selected faction is either not your vassal or it has not yet been 20 turns since they have been vassalized.	true
uied_component_texts_localised_string_button_cancel_Tooltip_1000042	Cancel	true
uied_component_texts_localised_string_button_challenges_Tooltip_390068	Challenges	true
uied_component_texts_localised_string_button_change_capital_Tooltip	Change Capital||Move your capital to this region. This will open a prompt.	true
uied_component_texts_localised_string_button_college_of_cardinals_Tooltip_100666	College of Cardinals	true
uied_component_texts_localised_string_button_confirm_Tooltip_2d0066	Recruit Crusaders	true
uied_component_texts_localised_string_button_decision_Tooltip_19003e	Decisions||Enact decisions that can impact your realm or ruler.	true
uied_component_texts_localised_string_button_gift_region_Tooltip	Gift Region to Ally||Open a list of allies and vassals to gift this region to.	true
uied_component_texts_localised_string_button_hre_Tooltip_19003e	Holy Roman Empire||View the Holy Roman Empire panel and interact with its member states.	true
uied_component_texts_localised_string_button_join_crusade_Tooltip_100003	Send this army on crusade!	true
uied_component_texts_localised_string_button_MOTD_Tooltip_001212	MK1212 Discord	true
uied_component_texts_localised_string_button_MOTD_Tooltip_101212	Update Information	true
uied_component_texts_localised_string_button_pope_Tooltip_19666e	Papacy||View the Papacy panel and take actions as the Papal controller.	true
uied_component_texts_localised_string_button_random_faction_Tooltip_19003f	Select a random faction!	true
uied_component_texts_localised_string_button_release_buffer_state_Tooltip_100002	Release Buffer State||Release a vassalized buffer state faction in this region.	true
uied_component_texts_localised_string_button_select_NewState_Text_3a0063	Select Campaign	true
uied_component_texts_localised_string_button_trade_regions_Tooltip_100090	Trade Regions||Click this button to open the diplomacy panel for region trading. If greyed out, the selected faction is ineligible for region trading with you, likely due to either being at war or having insufficient tradable regions.	true
uied_component_texts_localised_string_button_txt_NewState_Text_100047	Increase Slots	true
uied_component_texts_localised_string_button_txt_NewState_Text_300066	View Script Disclaimer	true
uied_component_texts_localised_string_button_txt_NewState_Text_b002e	Enable Challenge	true
uied_component_texts_localised_string_CoC_Heading_Text_Title	College of Cardinals	true
uied_component_texts_localised_string_date_NewState_Text_1e000f	Difficulty: Hard	true
uied_component_texts_localised_string_dy_achievement_description_Text	dy_achievement_description	true
uied_component_texts_localised_string_dy_achievement_name_Text	dy_achievement_name	true
uied_component_texts_localised_string_dy_cardinal_age_Text	16	true
uied_component_texts_localised_string_dy_cardinal_faction_Text	dy_cardinal_faction	true
uied_component_texts_localised_string_dy_cardinal_level_Text	5	true
uied_component_texts_localised_string_dy_cardinal_name_Text	dy_cardinal_name	true
uied_component_texts_localised_string_dy_cardinal_rank_Text	Cardinal	true
uied_component_texts_localised_string_dy_cardinals_Text_100071	Cardinals	true
uied_component_texts_localised_string_dy_conditions_NewState_Text_36005e	Conditions	true
uied_component_texts_localised_string_dy_faction_rank_NewState_Text_33		true
uied_component_texts_localised_string_dy_faction_state_Tooltip_100034	This faction is a member of the Holy Roman Empire!	true
uied_component_texts_localised_string_dy_imperial_authority_NewState_Text_100031	40/100	true
uied_component_texts_localised_string_dy_ironman_NewState_Text_9005e	Ironman: Disabled	true
uied_component_texts_localised_string_dy_pope_name_Text	dy_pope_name	true
uied_component_texts_localised_string_dy_population_NewState_Text_100007	Unknown	true
uied_component_texts_localised_string_dy_preferati_Text_100070	Preferati	true
uied_component_texts_localised_string_dy_regions_in_HRE_NewState_Text_100024	1	true
uied_component_texts_localised_string_dy_unlock_date_Text	Achievement not yet unlocked!	true
uied_component_texts_localised_string_game_name_NewState_Text_3a001f	This is Total War!	true
uied_component_texts_localised_string_header_faction_NewState_Text_410063	Faction Attributes	true
uied_component_texts_localised_string_heading_tx_NewState_Text_23001c	Challenges	true
uied_component_texts_localised_string_heading_tx_NewState_Text_6e002a	Achievements	true
uied_component_texts_localised_string_heading_txt_0_Text_1000041	Open the MK1212 Discord?	true
uied_component_texts_localised_string_heading_txt_0_Text_1000044	Run Executable to Increase Hardcoded Building Slot Limit?	true
uied_component_texts_localised_string_heading_txt_0_Text_1000045	Run Executable to Change Capital to dy_region?	true
uied_component_texts_localised_string_HRE_Button_Title_Back_Candidate	Back Candidate	true
uied_component_texts_localised_string_HRE_Button_Title_Cast_Vote	Cast Vote	true
uied_component_texts_localised_string_HRE_Button_Title_Close_Panel	Close Panel	true
uied_component_texts_localised_string_HRE_Button_Title_Information	Details	true
uied_component_texts_localised_string_HRE_Button_Title_Policies	Decrees	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Authority	Imperial Authority: (40 / 100)	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Decrees	Active Decree: None	true
uied_component_texts_localised_string_HRE_Hbar_Heading_Text_Faction_Name	dy_faction_name	true
uied_component_texts_localised_string_HRE_Heading_Text_Title	Holy Roman Empire	true
uied_component_texts_localised_string_HRE_Panel_Heading_Text_Reforms	Support For Next Reform: (6 / 18)	true
uied_component_texts_localised_string_HRE_Tooltip_Tab_Information	This tab shows details of the selected Holy Roman Empire member state, as well as election options.	true
uied_component_texts_localised_string_HRE_Tooltip_Tab_Policies	This tab, interactable with only by the emperor, contains imperial decrees which can be enacted with various boons and drawbacks.	true
uied_component_texts_localised_string_ironman_mode_tx_NewState_Text_100050	Enable Ironman Mode	true
uied_component_texts_localised_string_ironman_mode_tx_Tooltip_100048	Check this box to enable Ironman mode.||- Enables MK1212's achievements.\\n- Forcibly enables the Lucky Nations setting.\\n- Manual saving is disabled.\\n- The game automatically saves at the start and end of your turn.\\n- The game automatically saves before and after battles.\\n- The game automatically saves when war is declared by or upon you, or when a peace deal is made.	true
uied_component_texts_localised_string_LandBanner_1_Text_300000		true
uied_component_texts_localised_string_lucky_nations_tx_NewState_Text_100051	Enable Lucky Nations	true
uied_component_texts_localised_string_lucky_nations_tx_Tooltip_100049	Check this box to enable Lucky Nations.||- Grants certain AI factions small bonuses to autoresolve, recruitment, and income.\\n - This setting helps certain AI factions survive into the late game.	true
uied_component_texts_localised_string_max_units_Tooltip_1e0666	Number of available crusaders	true
uied_component_texts_localised_string_merch_type_crusader_Tooltip_3f0666	Crusader Unit||This unit is available due to this army being on crusade. Crusader units can be recruited for free during crusades in regions that are majority-Catholic. However, they are limited in number and do not replenish until the next Crusade.	true
uied_component_texts_localised_string_offers_title_faction_left_Text_001212	Offer Region	true
uied_component_texts_localised_string_pope_election_panel_Heading_Text	Papal Conclave	true
uied_component_texts_localised_string_string_NewState_Text_10008	Achievements	true
uied_component_texts_localised_string_string_NewState_Text_1c0025	Grand Campaign	true
uied_component_texts_localised_string_tab_events_Tooltip_3b006eqg	Required Regions: (0 / 0)	true
uied_component_texts_localised_string_text_tx_NewState_Text_100040	Confirming will open an invite to the MK1212 Discord in your internet browser.	true
uied_component_texts_localised_string_text_tx_NewState_Text_100046	In order to increase the hardcoded UI limit of building slots for regions from 6 to 10, an executable file that increases the hardcoded value in memory will need to be run. Accepting this prompt will extract an executable embedded in the script to the game's directory and run it.\\n\\nNOTE: THIS WILL ONLY WORK ON WINDOWS OPERATING SYSTEMS	true
uied_component_texts_localised_string_text_tx_NewState_Text_100047	In order to change your capital, the scripts will automatically save your game, modify it with an executable and then reload the campaign from the modified save. If you are on Legendary difficulty, you will need to manually reload your save in order for it to work.\\n\\nNOTE: THIS WILL ONLY WORK ON WINDOWS OPERATING SYSTEMS	true
