key	text	tooltip
#Loc;1;text/db/names.loc		
names_name_2147380140	Alda	true
names_name_2147380540	Xystus IV	true
names_name_2147381340	Agnese	true
names_name_2147382040	Marianou	true
names_name_2147382240	Raphael	true
names_name_2147382540	Persi	true
names_name_2147382740	Hackeem	true
names_name_2147383240	Melesse	true
names_name_2147383740	Swietoslaw	true
names_name_2147384540	Hupold	true
names_name_2147384740	Rutger	true
names_name_2147385340	Bedrich	true
names_name_2147386340	József	true
names_name_2147386740	Jolán	true
names_name_2147386840	Matild	true
names_name_2147386940	Abel	true
names_name_2147387940	Einar	true
names_name_2147388240	Samund	true
names_name_2147388440	Edla	true
names_name_2147388840	Havard	true
names_name_2147389240	Ragnfrid	true
names_name_2147390541	Eliz	true
names_name_2147380141	Altun	true
names_name_2147380641	Augusto	true
names_name_2147381341	Agostina	true
names_name_2147381441	Berenice	true
names_name_2147382041	Marieio	true
names_name_2147382141	Môusês Geôrgiou	true
names_name_2147382941	Sisay	true
names_name_2147383641	Peregryn	true
names_name_2147383841	Zbyszko	true
names_name_2147384241	Baldarich	true
names_name_2147384641	Lutbert	true
names_name_2147385541	Milic	true
names_name_2147385741	Zikmund	true
names_name_2147385941	Libuse	true
names_name_2147386341	Jenõ	true
names_name_2147387241	Oluf	true
names_name_2147388041	Gustav	true
names_name_2147388141	Kol	true
names_name_2147389441	Gheorghe	true
names_name_2147389641	Stanislav	true
names_name_2147389941	Tatjana	true
names_name_2147390040	Aleksandr	true
names_name_2147390440	Zakare	true
names_name_2147390540	Dalita	true
names_name_2147391040	Nasr	true
names_name_2147322348	Namiorix	true
names_name_2147322848	Annauos	true
names_name_2147323248	Adgelei	true
names_name_2147323548	Dubnia	true
names_name_2147325448	Kurigalzu	true
names_name_2147326048	Aedinius	true
names_name_2147326148	Arsinius	true
names_name_2147327048	Mucius	true
names_name_2147328548	Barbatus	true
names_name_2147328848	Denter	true
names_name_2147329948	Dento	true
names_name_2147330549	Tuditana	true
names_name_2147330949	Horatia	true
names_name_2147332949	Adalard	true
names_name_2147333149	Aregisel	true
names_name_2147333849	Guntram	true
names_name_2147334149	Leudast	true
names_name_2147334849	Willihard	true
names_name_2147335349	Hamesindis	true
names_name_2147335449	Ingoberg	true
names_name_2147336849	Oarozbalakos	true
names_name_2147337649	Gemeti	true
names_name_2147380242	Lashin	true
names_name_2147380342	Goshtasb	true
names_name_2147380442	Benedictus XI	true
names_name_2147380542	Innocentius VIII	true
names_name_2147381142	Ottone	true
names_name_2147381542	Eudossia	true
names_name_2147381742	Gualterio	true
names_name_2147382642	Berihun	true
names_name_2147382742	Haeran	true
names_name_2147383042	Yekuno Amlak	true
names_name_2147383142	Debre	true
names_name_2147383242	Nishan	true
names_name_2147383442	Gaudenty	true
names_name_2147383742	Szczesny	true
names_name_2147384142	Miroslawa	true
names_name_2147384242	Baldewin	true
names_name_2147384542	Jakob	true
names_name_2147385042	Heike	true
names_name_2147385142	Isentrude	true
names_name_2147386442	Nándor	true
names_name_2147386542	Vilmos	true
names_name_2147387142	Jorgen	true
names_name_2147387542	Freja	true
names_name_2147387642	Kirsten	true
names_name_2147390443	Zarmihr	true
names_name_2147390543	Gadar	true
names_name_2147390843	Abidin	true
names_name_2147322649	Vertoris	true
names_name_2147325849	Alittum	true
names_name_2147326349	Caerellius	true
names_name_2147327449	Sentius	true
names_name_2147327649	Tremellius	true
names_name_2147328049	Perpernus	true
names_name_2147328349	Gabinius	true
names_name_2147328549	Bassus	true
names_name_2147328749	Cornicen	true
names_name_2147328949	Gracchus	true
names_name_2147329749	Caeca	true
names_name_2147331048	Modia	true
names_name_2147333548	Ernust	true
names_name_2147333748	Gisbert	true
names_name_2147334148	Leudagar	true
names_name_2147335548	Nantechildis	true
names_name_2147335648	Ruothild	true
names_name_2147335848	Argouanagos	true
names_name_2147336148	Chouarsazos	true
names_name_2147337048	Radamasis	true
names_name_2147337248	Shu-turul	true
names_name_2147337548	Xshayarshan	true
names_name_2147381343	Alda	true
names_name_2147382343	Timotheos	true
names_name_2147382843	Mamo	true
names_name_2147383543	Maciej	true
names_name_2147383743	Tomasz	true
names_name_2147383943	Jolanta	true
names_name_2147384043	Rycheza	true
names_name_2147384943	Binhilde	true
names_name_2147385243	Romilda	true
names_name_2147385843	Eliska	true
names_name_2147385943	Ludmila	true
names_name_2147386243	Ernõ	true
names_name_2147387043	Esben	true
names_name_2147387443	Ase	true
names_name_2147388043	Halsten	true
names_name_2147388543	Ingrid	true
names_name_2147389143	Gjertrud	true
names_name_2147389843	Jelka	true
names_name_2147343048	Anzaze	true
names_name_2147343548	Scylas	true
names_name_2147344248	Hormizd	true
names_name_2147344348	Anzaze	true
names_name_2147344448	Gemeti	true
names_name_2147345348	Menrot	true
names_name_2147346048	Ingiborg	true
names_name_2147346248	Torgnyr	true
names_name_2147346548	Ecgfrith	true
names_name_2147346848	Wihtleg	true
names_name_2147347348	Goar	true
names_name_2147347748	Godas	true
names_name_2147348748	Rechiar	true
names_name_2147349448	Aryesbokhe	true
names_name_2147349848	Takideamani	true
names_name_2147349948	Ammyitha	true
names_name_2147350149	Yasa	true
names_name_2147351249	Gratianus	true
names_name_2147352749	Deusdedit	true
names_name_2147353449	Marius	true
names_name_2147353549	Michael	true
names_name_2147353949	Serenus	true
names_name_2147354349	Arinthaeus	true
names_name_2147355149	Ulithus	true
names_name_2147356149	Judith	true
names_name_2147356249	Glassan	true
names_name_2147356549	Enna	true
names_name_2147356649	Sithmaith	true
names_name_2147357749	Abegina	true
names_name_2147358749	Adrian	true
names_name_2147358949	Barbata	true
names_name_2147359549	Nigra	true
names_name_2147359749	Scaeva	true
names_name_2147380744	Corrado	true
names_name_2147380844	Fausto	true
names_name_2147380944	Giovanni	true
names_name_2147381644	Lucrezia	true
names_name_2147383144	Debtera	true
names_name_2147383244	Nyala	true
names_name_2147383444	Gierolt	true
names_name_2147385244	Serhilda	true
names_name_2147386844	Natália	true
names_name_2147388244	Sorkver	true
names_name_2147389144	Gudrid	true
names_name_2147390145	Davit	true
names_name_2147390245	Manuel	true
names_name_2147390745	Yeva	true
names_name_2147390945	Hamad	true
names_name_2147343249	Cassivellaunus	true
names_name_2147343749	Spurius Acilius Lepidus	true
names_name_2147344649	Irene	true
names_name_2147345249	Rua	true
names_name_2147345449	Arnbjorg	true
names_name_2147345749	Gauthildr	true
names_name_2147347249	Osweald	true
names_name_2147348049	Vandalarius	true
names_name_2147348949	Teklombrouthes	true
names_name_2147349049	Dil	true
names_name_2147349149	Talatem	true
names_name_2147349349	Amanishakheto	true
names_name_2147349649	Nasakhma	true
names_name_2147350248	Jabalah	true
names_name_2147350448	Fakhriyah	true
names_name_2147351148	Hunilo	true
names_name_2147351348	Ybor, Poet of Godan	true
names_name_2147351548	Argentea	true
names_name_2147352348	Antiochus	true
names_name_2147353348	Leon	true
names_name_2147354248	Viator	true
names_name_2147354448	Malalas	true
names_name_2147355048	Promotus	true
names_name_2147356448	Rechtabra	true
names_name_2147357448	Gailtram	true
names_name_2147357548	Domelch	true
names_name_2147357848	Anasonia	true
names_name_2147359048	Capito	true
names_name_2147359448	Mamerca	true
names_name_2147359548	Nerva	true
names_name_2147359748	Saturnina	true
names_name_2147380345	Innocentius III	true
names_name_2147381045	Luigi	true
names_name_2147381345	Alessandra	true
names_name_2147382545	Pesi	true
names_name_2147383445	Gniewomir	true
names_name_2147385345	Benes	true
names_name_2147385745	Adléta	true
names_name_2147386545	Zoltán	true
names_name_2147386645	Czenzi	true
names_name_2147387345	Samund	true
names_name_2147387745	Svanhild	true
names_name_2147387845	Balder	true
names_name_2147388445	Elin	true
names_name_2147388945	Rolf	true
names_name_2147389445	Grigorii	true
names_name_2147389645	Stjepan	true
names_name_2147360148	Fabricia	true
names_name_2147360448	Salvia	true
names_name_2147361048	Nuniolina	true
names_name_2147361748	Idwal	true
names_name_2147361948	Pope Eugene II	true
names_name_2147362048	Toramana	true
names_name_2147362448	Lasota	true
names_name_2147362848	Wingies	true
names_name_2147363748	Ibrahim	true
names_name_2147363848	Sa'ud	true
names_name_2147364648	Alexander	true
names_name_2147364848	Reginald	true
names_name_2147365248	Godafres	true
names_name_2147365448	Alaïs	true
names_name_2147365648	Madalena	true
names_name_2147366048	Eochaid	true
names_name_2147367148	Hector	true
names_name_2147367948	Ambroos	true
names_name_2147368048	Emmo	true
names_name_2147368548	Gerda	true
names_name_2147369848	Mihangel	true
names_name_2147369948	Padarn	true
names_name_2147370449	Euronwy	true
names_name_2147370649	Mawd	true
names_name_2147371749	Guiomar	true
names_name_2147372049	Vela	true
names_name_2147372149	Maddalen	true
names_name_2147372549	Gian	true
names_name_2147372949	Alessandra	true
names_name_2147375249	Desislava	true
names_name_2147375849	Aleksandra	true
names_name_2147376149	Alexandru	true
names_name_2147376349	Laurentiu	true
names_name_2147376449	Stefan	true
names_name_2147376649	Maria	true
names_name_2147377049	Trifon	true
names_name_2147377149	Yemelyan	true
names_name_2147377449	Sviatoslava	true
names_name_2147378149	Batbayan	true
names_name_2147378549	Sandil	true
names_name_2147378649	Tokhtaman	true
names_name_2147379049	Shurkka	true
names_name_2147379249	Ituk	true
names_name_2147380046	Respendial	true
names_name_2147380346	Honorius III	true
names_name_2147381146	Pagano	true
names_name_2147381246	Silvestro	true
names_name_2147381746	Guglielmo	true
names_name_2147382446	Kapenê	true
names_name_2147384446	Gotthard	true
names_name_2147384646	Magnus	true
names_name_2147384846	Werner	true
names_name_2147385146	Jutta	true
names_name_2147386046	Zdenka	true
names_name_2147386146	Bertók	true
names_name_2147388346	Torolf	true
