key	text	tooltip
#Loc;1;text/db/political_parties.loc		
political_parties_name_localised_mk_politics_ayyubid_council	Other Nobles	true
political_parties_description_localised_mk_politics_antioch_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk_politics_castile_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk_politics_almohad_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk2_politics_artuq_council	Comprised of royal officials, high-ranking officers and ministers, the Grandees keep the power of the great noble families in check. 	true
political_parties_name_localised_mk2_politics_bosnia_ruler	Kotromanic Dynasty	true
political_parties_name_localised_mk_politics_denmark_ruler	Estridsen Dynasty	true
political_parties_name_localised_mk2_politics_separatists_navarre_council	Other Nobles	true
political_parties_description_localised_pro_politics_visigothi_ruler	The Visigoths were originally settled agriculturalists in Dacia. Now, uprooted by nomadic invaders from the steppes, they have revealed a great aptitude for war. 	true
political_parties_name_localised_mk_politics_dauphine_council	Other Nobles	true
political_parties_description_localised_mk2_politics_separatists_denmark_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk2_politics_separatists_whitehorde_council	The elders of noble Mongol families are considered the wisest, and therefore the most qualified to give council to their warlord.	true
political_parties_name_localised_mk2_politics_separatists_brandenburg_ruler	House of Luxembourg	true
political_parties_name_localised_mk_politics_timurids_ruler	Timurid Dynasty	true
political_parties_description_localised_mk_politics_provence_ruler	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_cha_politics_mercia_ruler	The Iclingas	true
political_parties_description_localised_mk_politics_georgia_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_mk2_politics_verona_ruler	House of della Scala	true
political_parties_name_localised_mk2_politics_serbia_ruler	Lazarevic Dynasty	true
political_parties_name_localised_mk_politics_england_ruler	Angevin Dynasty	true
political_parties_name_localised_mk_politics_ireland_ruler	 Ó Concubair Dynasty	true
political_parties_name_localised_mk_politics_mamluks_ruler	Bahri Dynasty	true
political_parties_description_localised_mk2_politics_separatists_granada_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk2_politics_separatists_venice_ruler	Having deposed their Merovingian predecessors, the Hammer's descendants rule Francia with the Pope's blessings and a mailed fist.	true
political_parties_description_localised_mk2_politics_separatists_candar_ruler	The Sassanids have brought a revival of Iranian culture to Persia many years of Hellenisation. Theirs is a rigid social structure with the Shahanshah – The King of Kings - at its apex.	true
political_parties_description_localised_mk2_politics_separatists_mentese_council	Comprised of royal officials, high-ranking officers and ministers, the Grandees keep the power of the great noble families in check. 	true
political_parties_name_localised_mk2_politics_verona_council	Other Patricians	true
political_parties_description_localised_mk2_politics_separatists_jalayirids_council	The elders of noble Mongol families are considered the wisest, and therefore the most qualified to give council to their warlord.	true
political_parties_description_localised_mk2_politics_france_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_att_politics_himyar_separatist_ruler	Surrounded on all sides by ancestral enemies and having recently changed their state religion, the militant kings of Himyar are intolerant of perceived threats to their power - regardless of the source.	true
political_parties_description_localised_mk2_politics_separatists_hospitaller_ruler	Having deposed their Merovingian predecessors, the Hammer's descendants rule Francia with the Pope's blessings and a mailed fist.	true
political_parties_name_localised_mk_politics_portugal_ruler	Afonsine Dynasty	true
political_parties_description_localised_att_politics_franci_separatist_ruler	The Franks are a confederation of Germanic tribes who once occupied the Middle and Lower Rhine regions. In return for fighting as Roman federates, they rule a largely independent kingdom in the province of Gaul. 	true
political_parties_description_localised_mk2_politics_separatists_mihrabanids_ruler	The Sassanids have brought a revival of Iranian culture to Persia many years of Hellenisation. Theirs is a rigid social structure with the Shahanshah – The King of Kings - at its apex.	true
political_parties_name_localised_mk_politics_bologna_ruler	Geremèi Famiglia	true
political_parties_name_localised_mk_politics_ottoman_ruler	House of Osman	true
political_parties_name_localised_mk2_politics_separatists_whitehorde_ruler	Borjigin Clan	true
political_parties_name_localised_mk_politics_almohad_ruler	Almohad Dynasty	true
political_parties_name_localised_att_politics_burgundii_ruler	The Burgundians	true
political_parties_description_localised_mk2_politics_brandenburg_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk2_politics_separatists_ottoman_council	Comprised of royal officials, high-ranking officers and ministers, the Grandees keep the power of the great noble families in check. 	true
political_parties_description_localised_mk_politics_separatists_genoa_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_mk_politics_seljuks_council	Comprised of royal officials, high-ranking officers and ministers, the Grandees keep the power of the great noble families in check. 	true
political_parties_description_localised_mk_politics_burgundy_ruler	Having deposed their Merovingian predecessors, the Hammer's descendants rule Francia with the Pope's blessings and a mailed fist.	true
political_parties_name_localised_mk2_politics_cyprus_ruler	Lusignan Dynasty	true
political_parties_name_localised_mk_politics_navarre_council	Other Nobles	true
political_parties_name_localised_mk2_politics_naples_ruler	House of Anjou	true
political_parties_name_localised_mk2_politics_trier_council	Other Nobles	true
political_parties_name_localised_mk2_politics_papacy_ruler	Holy See	true
political_parties_name_localised_mk_politics_granada_ruler	Nasrid Dynasty	true
political_parties_description_localised_mk_politics_lorraine_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_description_localised_cha_politics_mercia_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_att_politics_franci_council	Other Nobles	true
political_parties_name_localised_mk_politics_separatists_wallachia_council	Other Nobles	true
political_parties_description_localised_bel_politics_visigothi_ruler	Former foederati of the Western Empire allowed to settle, the Visigoths ruled for some time in southern Gaul and northern Hispania, over a largely independent kingdom. However, since the collapse of the Western Empire, the neighbouring Franks have pushed them out of Gaul altogether.	true
political_parties_description_localised_mk2_politics_hazaraspids_council	Comprised of royal officials, high-ranking officers and ministers, the Grandees keep the power of the great noble families in check. 	true
political_parties_description_localised_mk2_politics_separatists_poland_ruler	Having deposed their Merovingian predecessors, the Hammer's descendants rule Francia with the Pope's blessings and a mailed fist.	true
political_parties_name_localised_mk2_politics_serbia_council	Other Nobles	true
political_parties_description_localised_att_politics_ostrogothi_ruler	"To the north of the Black Sea, the eastern Goths - literally ""glorified by the rising sun"" - have built a powerful empire between the Don and Dniester Rivers."	true
political_parties_description_localised_bel_politics_ostrogothi_ruler	Since seizing Italy from the hand of Odoacer, the Romans’ treacherous client king, the Ostrogoths have entered a golden age of prosperity and progress. However, recent dynastic struggles following the death of Theoderic the Great have made them vulnerable to attack from all sides.	true
political_parties_name_localised_att_politics_hunni_council	Other Nobles	true
political_parties_name_localised_mk2_politics_separatists_mecklenburg_ruler	House of Mecklenburg	true
political_parties_name_localised_att_politics_alani_council	Other Nobles	true
political_parties_name_localised_mk_politics_bulgaria_ruler	Asen Dynasty	true
political_parties_description_localised_mk_politics_shirvan_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_mk_politics_cilicia_ruler	Rubenid Dynasty	true
political_parties_name_localised_mk_politics_marinid_ruler	Marinid Dynasty	true
political_parties_description_localised_mk_politics_dauphine_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_mk_politics_antioch_ruler	Poitiers Dynasty	true
political_parties_name_localised_mk2_politics_separatists_denmark_council	Other Nobles	true
political_parties_description_localised_mk2_politics_separatists_navarre_council	When he deems it necessary, the nobles are the wisest and most qualified to counsel the king in matters of state.	true
political_parties_name_localised_pro_politics_visigothi_ruler	The Visigoths	true
