key	text	tooltip
#Loc;1;text/db/provincial_initiative_records.loc		
provincial_initiative_records_localised_name_mk_edict_all_religious_tolerance	Religious Tolerance	true
provincial_initiative_records_localised_name_mk_edict_sunni_support_madaris	Support the Madaris	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_semitic	Military Fervour	true
provincial_initiative_records_localised_name_att_edict_barbarian_resettlement	Resettlement	true
provincial_initiative_records_localised_name_mk_edict_all_militia_drilling	Organized Militia Drilling	true
provincial_initiative_records_localised_name_att_edict_manichaeist_induction_hearers	Induction of the Hearers	true
provincial_initiative_records_localised_name_att_edict_arian_docrines_arius	Doctrines of Arius	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_judaism	Military Fervour	true
provincial_initiative_records_localised_name_mk_edict_all_rural_weigh_houses	Construct Rural Weigh Houses	true
provincial_initiative_records_localised_name_att_edict_eastern_enlightenment	Eastern Enlightenment	true
provincial_initiative_records_localised_name_att_edict_sands_trade_judaism	Trade & Industry	true
provincial_initiative_records_localised_name_att_edict_manichaeist_exaltation_elect	Exaltation of the Elect	true
provincial_initiative_records_localised_name_att_edict_sands_trade_semitic	Trade & Industry	true
provincial_initiative_records_localised_name_att_edict_celtic_power_taranis	Power of Taranis	true
provincial_initiative_records_localised_name_att_edict_slavic_sacred_winds	Sacred Winds	true
provincial_initiative_records_localised_name_att_edict_slavic_peruns_glory	Perun's Glory	true
provincial_initiative_records_localised_name_att_edict_rome_east_rural_development	Rural Development	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_teachings	Teachings of Zoroaster	true
provincial_initiative_records_localised_name_mk_edict_all_levy_taxes	Levy Taxes	true
provincial_initiative_records_localised_name_att_edict_celtic_aegis_toutatis	Aegis of Toutatis	true
provincial_initiative_records_localised_name_att_edict_tengri_wisdom	Wisdom of Tengri	true
provincial_initiative_records_localised_name_att_edict_catholic_ecumenical_matters	Ecumenical Matters	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_blessing_minerva	Blessing of Minerva	true
provincial_initiative_records_localised_name_att_edict_tengri_glory_ancestors	Glory of the Ancestors	true
provincial_initiative_records_localised_name_att_edict_rome_east_urbanisation	Urbanisation	true
provincial_initiative_records_localised_name_att_edict_germanic_might_tiw	Might of Tiw	true
provincial_initiative_records_localised_name_att_edict_zoroastrian_pursuit_truth	Pursuit of Truth	true
provincial_initiative_records_localised_name_att_edict_arian_almsgiving	Almsgiving	true
provincial_initiative_records_localised_name_att_edict_barbarian_warrior_rites	Warrior Rites	true
provincial_initiative_records_localised_name_mk_edict_all_organize_raids	Organize Raiding Campaigns	true
provincial_initiative_records_localised_name_att_edict_orthodox_progress	Christian Progress	true
provincial_initiative_records_localised_name_mk_edict_sunni_enforce_jizya	Enforce Jizya	true
provincial_initiative_records_localised_name_mk_edict_all_settle_tribes	Settle Tribes	true
provincial_initiative_records_localised_name_att_edict_orthodox_divine_liturgy	Divine Liturgy	true
provincial_initiative_records_localised_name_att_edict_graeco_roman_will_jupiter	Will of Jupiter	true
provincial_initiative_records_localised_name_att_edict_catholic_mission	Christian Mission	true
provincial_initiative_records_localised_name_att_edict_rome_west_bread_circuses	Bread and Circuses	true
provincial_initiative_records_localised_name_att_edict_eastern_mass_conscription	Mass Conscription	true
provincial_initiative_records_localised_name_att_edict_sands_religious_edict_east_chruch	Military Fervour	true
provincial_initiative_records_localised_name_mk_edict_all_local_autonomy	Empower Local Ruler	true
provincial_initiative_records_localised_name_mk_edict_all_raise_levies	Raise Levies	true
provincial_initiative_records_localised_name_att_edict_rome_west_auxiliary_recruitment	Auxiliary Support	true
provincial_initiative_records_localised_name_att_edict_sands_trade_east_church	Trade & Industry	true
provincial_initiative_records_localised_name_att_edict_germanic_judgment_wodan	Judgment of Wodan	true
