key	text	tooltip
#Loc;1;text/db/random_localisation_strings.loc		
random_localisation_strings_string_finances_vassal_income_breakdown_faction	%S	true
random_localisation_strings_string_building_construction_requires_main_slot_upgrade	You must rebuild your city first.	true
random_localisation_strings_string_sea_region_control_status_hostile	Hostile	true
random_localisation_strings_string_siege_suffering_attrition	Garrison has run out of supplies and is suffering attrition	true
random_localisation_strings_string_finances_tribute_income_breakdown_other	From others	true
random_localisation_strings_string_cancel_construction_confirmation	This building is being constructed, are you sure you wish to dismantle it?	true
random_localisation_strings_string_unit_stat_bonus_morale_superior	Superior morale	true
random_localisation_strings_string_unit_stat_bonus_armour_improved	Improved armour	true
random_localisation_strings_string_famous_battle_battle_of	Battle of	true
random_localisation_strings_string_round_id_august	August	true
random_localisation_strings_string_round_id_late_july	Late July	true
random_localisation_strings_string_difficulty_level_4	Very Hard	true
random_localisation_strings_string_difficulty_level_5	Legendary	true
random_localisation_strings_string_difficulty_level_2	Normal	true
random_localisation_strings_string_difficulty_level_3	Hard	true
random_localisation_strings_string_difficulty_level_1	Easy	true
random_localisation_strings_string_siege_turns_to_attrition	Turns remaining before garrison will run out of supplies:	true
random_localisation_strings_string_character_role_daughter	Daughter	true
random_localisation_strings_string_cannot_build_insufficient_funds	You have insufficient funds to order this construction.	true
random_localisation_strings_string_StratHud_Building_Card_Recruit_Selection	Left-click to construct this building, right-click for further information.	true
random_localisation_strings_string_finance_header_liege_lord	Overlord	true
random_localisation_strings_string_character_role_retainer	Retainer	true
random_localisation_strings_string_stats_clan_naval_ranked_games_won	text_rejected	true
random_localisation_strings_string_character_situation_conversion_catholic	Province Conversion	true
random_localisation_strings_string_click_to_mark_current_selection_for_dismantling	Click to mark current selection for dismantling. Dismanting a building will return some funds to your treasury.	true
random_localisation_strings_string_opponent_accepts_surrender_title	Surrender Accepted	true
random_localisation_strings_string_replenish_prerequisites_not_met	You must be able to recruit the unit types locally and have sufficient funds to replenish this army. Cost:	true
random_localisation_strings_string_unknown_ship_state	Some of this squadron's details are unknown. Moving closer may reveal more information.	true
random_localisation_strings_string_round_id_late_june	Late June	true
random_localisation_strings_string_StratHudbutton_Construction_Site	Undeveloped land||You can create new construction sites here.	true
random_localisation_strings_string_mission_text_text_mis_activity_attain_fame_level_specific	PLACEHOLDER %d	true
random_localisation_strings_string_unit_upgrade_insufficient_funds	You do not have enough funds in your treasury to upgrade this unit.	true
random_localisation_strings_string_trade_node_tooltip_supply_to_other	supplied to their capital	true
random_localisation_strings_string_resource_exporting_percentage_zero	A trade route is required to export this resource.	true
random_localisation_strings_string_AUA_LOCKED_HEAVILY_DAMAGED	text_rejected	true
