key	text	tooltip
#Loc;1;text/db/religions.loc		
religions_onscreen_mk_rel_chr_cathar	Катар. християнство	true
religions_onscreen_mk_rel_ibadi_islam	Ібадський іслам	true
religions_onscreen_att_rel_semitic_paganism	Сунітський іслам	true
religions_onscreen_cha_rel_paganism	Язичництво	true
religions_onscreen_att_rel_east_zoroastrian	Зороастризм	true
religions_onscreen_att_rel_east_manichaeism	Маніхейство	true
religions_onscreen_cha_rel_tengrism	Тенгріанство	true
religions_onscreen_att_rel_pag_slavic	Балтійське язичництво	true
religions_onscreen_cha_rel_judaism	Юдаїзм	true
religions_onscreen_att_rel_chr_arian	Аріан. християнство	true
religions_onscreen_att_rel_pag_roman	Гр.-рим. язичництво	true
religions_onscreen_mk_rel_shia_islam	Шиїтський іслам	true
religions_onscreen_att_rel_pag_celtic	Кельт. язичництво	true
religions_onscreen_att_rel_judaism	Юдаїзм	true
religions_onscreen_att_rel_pag_tengri	Тенгріанство	true
religions_onscreen_att_rel_church_east	Східне християнство	true
religions_onscreen_att_rel_pag_germanic	Герман. язичництво	true
religions_onscreen_cha_rel_christianity	Християнство	true
religions_onscreen_cha_rel_islam	Іслам	true
religions_onscreen_att_rel_other	Католицькі єресі	true
religions_onscreen_att_rel_chr_catholic	Католицизм	true
religions_onscreen_mk_rel_chr_bogomilist	Богоміл. християнство	true
religions_onscreen_att_rel_chr_orthodox	Православ'я	true
