key	text	tooltip
#Loc;1;text/db/shortcut_localisation.loc		
shortcut_localisation_onscreen_increase_camera_rot	+ camera rotate speed	true
shortcut_localisation_onscreen_deselect_all	Deselect all	true
shortcut_localisation_onscreen_attack_ping	Attack ping	true
shortcut_localisation_onscreen_shift	Shift	true
shortcut_localisation_onscreen_show_diplomacy	Show diplomacy	true
shortcut_localisation_onscreen_game_controls	Game/UI Controls	true
shortcut_localisation_onscreen_fps	FPS	true
shortcut_localisation_onscreen_toggle_labels	Toggle labels	true
shortcut_localisation_onscreen_step_fwd_fast	Move forward fast	true
shortcut_localisation_onscreen_keyboard_OEM_102	Keyboard-specific OEM key assigned as hotkey.	true
shortcut_localisation_onscreen_standard_ping	Standard ping	true
shortcut_localisation_onscreen_decel	Slow down camera	true
shortcut_localisation_onscreen_accel	Speed up camera	true
shortcut_localisation_onscreen_adv_shift_rclick_queue	By keeping Shift pressed and giving right-click commands, orders ending in an attack move can be queued.	true
shortcut_localisation_onscreen_select_prev	Select previous	true
shortcut_localisation_onscreen_toggle_minimised_radar	Toggle	true
shortcut_localisation_onscreen_chat_with_all	Chat with everyone	true
shortcut_localisation_onscreen_show_radial	Show radial	true
shortcut_localisation_onscreen_decrease_camera_rot	- camera rotate speed	true
shortcut_localisation_onscreen_select_all_artillery	Select all siege engine units	true
shortcut_localisation_onscreen_ctrl	Control	true
shortcut_localisation_onscreen_intelli_zoom	Intelligent zoom	true
shortcut_localisation_onscreen_misc	Miscellaneous	true
shortcut_localisation_onscreen_step_r	Scroll right	true
shortcut_localisation_onscreen_step_l	Scroll left	true
shortcut_localisation_onscreen_show_overview	Show selected overview	true
shortcut_localisation_onscreen_general_zoom	Pan to general	true
shortcut_localisation_onscreen_none		true
shortcut_localisation_onscreen_show_prestige	Show prestige screen	true
shortcut_localisation_onscreen_unit_control	Unit Action Controls	true
shortcut_localisation_onscreen_chat_with_team	Chat with team	true
shortcut_localisation_onscreen_select_all_infantry	Select all infantry units	true
shortcut_localisation_onscreen_select_next	Select next	true
shortcut_localisation_onscreen_show_finance	Show finance panel	true
shortcut_localisation_onscreen_sho	Speed-up camera	true
shortcut_localisation_onscreen_show_details	Show selected details	true
shortcut_localisation_onscreen_show_faction_overview	text_rejected	true
shortcut_localisation_onscreen_information	Information	true
shortcut_localisation_onscreen_alt	Alt	true
