key	text	tooltip
#Loc;1;text/db/incidents.loc		
incidents_localised_title_att_dilemma_religious_tengri_religious_sanctions_1_FIRST	Religious Freedom	true
incidents_localised_description_att_incident_religious_arian_emmigration_1	Belief in the Arian faith is spreading to neighbouring lands; people are converting in their droves.	true
incidents_localised_description_slav_incident_venedians_bonus	Lord, an opportunity has presented itself to us. Though the Huns have left us alone for now, they have desolated nearby regions. Rather than occupying the territory, they have stripped it down and burned everything before moving on. These territories, though in disarray, are now exposed. We could capture these lands for ourselves and revitalise them. The people will thank us, and our strength will grow as a result. Strike forth, my lord, and seize greatness!	true
incidents_localised_title_att_subject_military_none_the_lanista_1_b	The Lanista	true
incidents_localised_title_att_subject_military_none_the_lanista_1_c	The Lanista	true
incidents_localised_title_att_subject_military_none_the_lanista_1_a	The Lanista	true
incidents_localised_title_att_subject_military_none_the_lanista_1_d	The Lanista	true
incidents_localised_title_att_incident_religious_chirstian_vandalism_religious_other	Christian Destruction	true
incidents_localised_description_cha_incident_verden_failure	You may have cut the heathens down, but in doing so you have outraged the Saxon people. Your slights against their pagan gods and vile, heathen ways have led to open rebellion. You have insulted and worn away at the very bedrock of their lives, something they will no longer stand for. Take up arms in the name of God, for the Saxons will surely show no quarter!	true
incidents_localised_description_att_incident_religious_orthodox_emmigration_1	Belief in the Orthodox Christian faith is spreading to neighbouring lands; people are converting in their droves.	true
incidents_localised_title_att_eos_sassanid_insult_mid	Careless Talk	true
incidents_localised_title_att_eos_incident_marib_dam_1_fully_repaired	Collateral Damage	true
incidents_localised_description_att_incident_religious_chirstian_vandalism_religious_zoroastrian_major_burial	The fallout of the Theodosian Decrees has been felt throughout the Christian world for some time. 'Heathen' works have been defaced as the Christian populace are stirred into a righteous frenzy.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_C	The man's crimes soon come to light, as does your involvement. People mutter of your cowardice in the streets; your family's name will be forever tarnished.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_B	The man is put to death for his crimes. All praise your decision to bring him to justice.	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_A	One of your men silences the freedman and disposes of his body. Unfortunately, the bloated corpse resurfaces in the river shortly afterwards. Although no one can directly connect you to the crime, rumours are soon flying…	true
incidents_localised_description_att_subject_domestic_roman_slave_murderer_i_D	The freedman leaves your home. Before long, rumours abound that the brothers of the murdered man have taken their revenge…	true
incidents_localised_description_cha_incident_rebels_ireland	The Irish people know their history is long and illustrious. For centuries they have ruled themselves – to live under another’s yoke is abhorrent to them. In response to your attempts to rule there, they have risen up to liberate the Emerald Isle once and for all.	true
incidents_localised_description_att_subject_religious_barb_stones_i_D	You send men to investigate the claims. When they arrive the earth has already ceased quaking, the stone warriors slumber, and all is well.	true
incidents_localised_title_att_subject_religious_zoroastrian_pilgrims_1_SECOND	Pilgrims	true
incidents_localised_description_att_subject_religious_barb_stones_i_A	The wise man lays his hands upon the stones and chants late into the night. When the sun rises the next day the stones are still standing. There is no sign of the dead warriors' spirits escaping from their stony prisons.	true
incidents_localised_description_att_subject_religious_barb_stones_i_B	As you arrive to make your offerings one of the stones falls to the ground and cracks in two. The people cry in horror, as the spirit of the enemy is now free to walk among them.	true
incidents_localised_description_att_subject_religious_barb_stones_i_C	Blood seeps into the earth around the stones and there are no further quakes from that moment on. The people praise your quick thinking.	true
incidents_localised_title_att_subject_politics_civil_challenger_i_D	The Challenger	true
incidents_localised_title_att_eos_incident_religious_event_rebellion_att_fact_axum_att_rel_semitic_paganism	Religious Uprising!	true
incidents_localised_title_att_subject_politics_civil_challenger_i_B	The Challenger	true
incidents_localised_title_att_subject_politics_civil_challenger_i_C	The Challenger	true
incidents_localised_title_att_subject_politics_civil_challenger_i_A	The Challenger	true
incidents_localised_description_cha_incident_rebels_croatia	Though they may have bent the knee when you first conquered them, the Slavs have declared that they will no longer be your thralls. You have supplanted their religion, and washed away the very bedrock of their lives. They can take no more, digging out old weapons and armour to rise up against you in insurrection.\\nTheir armies will spread heathen paganism until they are destroyed.	true
incidents_localised_title_att_incident_religious_zoroastrian_emmigration_1	Emigration	true
incidents_localised_title_att_eos_incident_tanukhid_mission_1	An Audience with Mavia – Intimidation	true
incidents_localised_title_att_eos_incident_tanukhid_mission_3	An Audience with Mavia – Coronation	true
incidents_localised_title_att_eos_incident_tanukhid_mission_2	An Audience with Mavia – Liberation	true
incidents_localised_title_cha_incident_rebels_saxony	Saxon Uprising	true
incidents_localised_title_att_political_action_incident_diminish_popularity_followup_lynched_target	What They Deserve	true
incidents_localised_description_cha_incident_rome_attacked	This is a dark day indeed! Rome has been attacked, the seat of the Papacy has once again suffered the blight of war; unsurprisingly, Christians across the lands are greatly upset at this turn of events.	true
