key	text	tooltip
#Loc;1;text/db/land_units.loc		
land_units_onscreen_name_mk_bulg_t1_heavy_spearmen	Despot’s Spearmen (Early)	true
land_units_onscreen_name_mk_bulg_t2_heavy_spearmen	Despot’s Spearmen (High)	true
land_units_onscreen_name_mk_bulg_t3_heavy_spearmen	Despot’s Spearmen (Late)	true
land_units_onscreen_name_att_rom_civilian_townsfolk	Civilians	true
land_units_onscreen_name_cha_vik_axe_freemen	Axe Freemen	true
land_units_onscreen_name_att_merc_nor_nordic_brigade	Mercenary Nordic Brigade	true
land_units_onscreen_name_att_mar_est_sassanid_bowman_marines	Sassanid Bowman Marines	true
land_units_onscreen_name_att_nom_steppe_mounted_tribespeople	Steppe Mounted Tribespeople	true
land_units_onscreen_name_mk_gran_t3_ghumara_tribal_gunners	Midfa'iyyah al-Ghumara	true
land_units_onscreen_name_mk_vlach_t3_curteni_foot_archers	Curteni Foot Archers	true
land_units_onscreen_name_mk_vlach_t2_voynik_archer_spearmen	Voynik Archer Spearmen (High)	true
land_units_onscreen_name_mk_vlach_t3_voynik_archer_spearmen	Voynik Archer Spearmen (Late)	true
land_units_onscreen_name_mk_rum_t1_martolos_crossbowmen	Martolos Crossbowmen (Early)	true
land_units_onscreen_name_cha_mus_armoured_cav	Armoured Cavalry	true
land_units_onscreen_name_mk_tre_t1_tourkoupoloi	Tourkopouloi (Early)	true
land_units_onscreen_name_mk_nic_t1_siphonatores	Cheirosiphonatores (Early)	true
land_units_onscreen_name_mk_rus_t3_pomostniki_cavalry	Pomostniki	true
land_units_onscreen_name_mk_mio_t1_templar_confraters	Templar Confraters	true
land_units_onscreen_name_mk_epi_t3_tzangratoroi	Tzangratoroi (Late)	true
land_units_onscreen_name_mk_zag_t2_hara_sagarat_guard	Hara Sagarat	true
land_units_onscreen_name_cha_cel_levy_archers	Levy Archers	true
land_units_onscreen_name_att_mar_rom_roman_artillery_dbl_crew	Roman Artillery Crew	true
land_units_onscreen_name_mk_ayy_t2_bedouin_camel_riders	Jamal al-'Urban at-Ta'a (High)	true
land_units_onscreen_name_bel_ost_milites_comitatenses	Milites Comitatenses	true
land_units_onscreen_name_att_merc_nom_steppe_raiders	Mercenary Steppe Raiders	true
land_units_onscreen_name_mk_byz_naval_t3_handgunner	Rhomaioi Handgunner Marines (Late)	true
land_units_onscreen_name_att_merc_nom_steppe_lancers	Mercenary Steppe Lancers	true
land_units_onscreen_name_att_mar_cel_celtic_light_marauders	Celtic Light Marauders	true
land_units_onscreen_name_att_mar_nor_nordic_light_marauders	Nordic Light Marauders	true
land_units_onscreen_name_att_nom_chosen_uar_warriors	Chosen Uar Warriors	true
land_units_onscreen_name_mk_rus_naval_t1_ushkuinik	Ushkuiniki	true
